Values,Moved_to
William Cunningham\cunniwi01,East
Kevin Willis\willike02,East
Mario Bennett\bennema01,East
Mark Bryant\bryanma01,East
David Vaughn\vaughda02,East
Micheal Williams\willimi02,East
Stephon Marbury\marbust01,East
Sam Perkins\perkisa01,East
Mitch Richmond*\richmmi01,East
Elden Campbell\campbel01,East
Anthony Johnson\johnsan02,East
Otis Thorpe\thorpot01,East
Johnny Newman\newmajo01,East
Eddie Jones\jonesed02,East
Chuck Person\persoch01,East
George Lynch\lynchge01,East
Chris Carr\carrch01,East
Michael Stewart\stewami01,East
Corie Blount\blounco01,East
Willie Burton\burtowi01,East
Latrell Sprewell\sprewla01,East
Tony Battie\battito01,East
Khalid Reeves\reevekh01,East
Joe Wolf\wolfjo01,East
David Wingate\wingada01,East
Rick Brunson\brunsri01,East
Jim McIlvaine\mcilvji01,East
Brent Barry\barrybr01,East
Mark Hendrickson\hendrma01,East
LaPhonso Ellis\ellisla01,East
Alvin Williams\willial02,East
Kurt Thomas\thomaku01,East
Terry Porter\portete01,East
Vinny Del Negro\delnevi01,East
Kenny Anderson\anderke01,East
Blue Edwards\edwarbl01,East
Loy Vaught\vaughlo01,East
Eric Riley\rileyer01,East
Chauncey Billups\billuch01,West
Glen Rice\ricegl01,West
John Starks\starkjo01,West
Carlos Rogers\rogerca01,West
Drew Barry\barrydr01,West
Joe Kleine\kleinjo01,West
Luc Longley\longllu01,West
Sherman Douglas\douglsh01,West
Damon Stoudamire\stoudda01,West
Randy Livingston\livinra01,West
Terry Cummings\cummite01,West
Anthony Miller\millean01,West
Derek Harper\harpede01,West
Kevin Ollie\ollieke01,West
Malik Sealy\sealyma01,West
Johnny Taylor\taylojo01,West
Vernon Maxwell\maxweve01,West
Jimmy Oliver\oliveji01,West
Scot Pollard\pollasc01,West
Terrell Brandon\brandte01,West
Oliver Miller\milleol01,West
Chris Webber\webbech01,West
Shawn Respert\respesh01,West
Travis Knight\knightr01,West
Steve Kerr\kerrst01,West
Scottie Pippen*\pippesc01,West
Chris Mills\millsch01,West
Dennis Rodman*\rodmade01,West
Don MacLean\macledo01,West
J.R. Reid\reidjr01,West
Jason Caffey\caffeja01,West
Jim Jackson\jacksji01,West
Vlade Divac\divacvl01,West
