Values,Moved_to
Jeff Judkins\judkije01,East
Otis Birdsong\birdsot01,East
Scott Wedman\wedmasc01,East
Ron Brewer\brewero01,East
Mel Bennett\benneme01,East
Alan Hardy\hardyal01,East
James Silas\silasja01,East
John Lucas\lucasjo01,East
Kevin Restani\restake01,East
Paul Westphal\westppa01,East
James Bailey\baileja01,East
Geoff Crompton\crompge01,East
Brad Holland\hollabr01,East
Vinnie Johnson\johnsvi01,East
Butch Carter\cartebu01,East
Jim Chones\choneji01,East
Sam Lacey\laceysa01,East
Geoff Huston\hustoge01,East
Tom Owens\owensto01,East
Cliff Robinson\robincl01,West
Larry Drew\drewla01,West
Bob McAdoo*\mcadobo01,West
Dudley Bradley\bradldu01,West
Elvin Hayes*\hayesel01,West
Greg Kelser\kelsegr01,West
Roger Phegley\pheglro01,West
Mike Mitchell\mitchmi01,West
Sam Worthen\worthsa01,West
Mike Bratz\bratzmi01,West
Charlie Criss\crissch01,West
Mike Woodson\woodsmi01,West
Mitch Kupchak\kupchmi01,West
