Values,Moved_to
Byron Mullens\mulleby01,East
Shane Battier\battish01,East
Beno Udrih\udrihbe01,East
J.R. Smith\smithjr01,East
Larry Owens\owensla01,East
Gary Forbes\forbega01,East
George Hill\hillge01,East
Carmelo Anthony\anthoca01,East
Armon Johnson\johnsar02,East
Renaldo Balkman\balkmre01,East
Kyrylo Fesenko\fesenky01,East
Dan Gadzuric\gadzuda01,East
Mehmet Okur\okurme01,East
Omri Casspi\casspom01,East
David West\westda01,East
Francisco Elson\elsonfr01,East
Tyson Chandler\chandty01,East
Shelden Williams\willish02,East
Baron Davis\davisba01,East
Jeremy Lin\linje01,East
Mickael Pietrus\pietrmi01,East
Rasual Butler\butlera01,East
DeShawn Stevenson\stevede01,East
Reggie Williams\willire02,East
Lou Amundson\amundlo01,East
Luke Walton\waltolu01,East
Vladimir Radmanovic\radmavl01,East
Aaron Gray\grayaa01,East
Willie Green\greenwi01,East
Deron Williams\willide01,East
Ish Smith\smithis01,East
Steve Novak\novakst01,East
Jason Kapono\kaponja01,West
Brandon Rush\rushbr01,West
T.J. Ford\fordtj01,West
Wilson Chandler\chandwi01,West
John Salmons\salmojo01,West
J.J. Hickson\hicksjj01,West
Mo Williams\willima01,West
Danilo Gallinari\gallida01,West
Nazr Mohammed\mohamna01,West
Nate Robinson\robinna01,West
Marreese Speights\speigma01,West
Gerald Wallace\wallage01,West
Jamal Crawford\crawfja01,West
Yi Jianlian\jianlyi01,West
Michael Redd\reddmi01,West
Raymond Felton\feltora01,West
Earl Boykins\boykiea01,West
Dominic McGuire\mcguido01,West
Devin Harris\harride01,West
Delonte West\westde01,West
Troy Murphy\murphtr01,West
Timofey Mozgov\mozgoti01,West
Josh McRoberts\mcrobjo01,West
Gilbert Arenas\arenagi01,West
Derrick Favors\favorde01,West
Travis Outlaw\outlatr01,West
Kurt Thomas\thomaku01,West
Trey Johnson\johnstr01,West
Solomon Jones\jonesso01,West
Kwame Brown\brownkw01,West
Brian Skinner\skinnbr01,West
Josh Howard\howarjo01,West
DaJuan Summers\summeda01,West
Reggie Evans\evansre01,West
