Values,Moved_to
Chauncey Billups\billuch01,East
Chris Douglas-Roberts\douglch01,East
Tony Wroten\wroteto01,East
DeMarre Carroll\carrode01,East
Metta World Peace\artesro01,East
Mike James\jamesmi01,East
Caron Butler\butleca01,East
Elton Brand\brandel01,East
James Anderson\anderja01,East
Jeremy Tyler\tylerje01,East
John Salmons\salmojo01,East
Darius Johnson-Odom\johnsda03,East
Darius Morris\morrida01,East
Roger Mason\masonro01,East
Earl Clark\clarkea01,East
Gary Neal\nealga01,East
Luke Ridnour\ridnolu01,East
Chuck Hayes\hayesch01,East
Andrei Kirilenko\kirilan01,East
O.J. Mayo\mayooj01,East
Jarrett Jack\jackja01,East
Henry Sims\simshe01,East
Luis Scola\scolalu01,East
Chris Johnson\johnsch04,East
Toney Douglas\douglto01,East
Patrick Patterson\pattepa01,East
Greivis Vasquez\vasqugr01,East
Al Jefferson\jeffeal01,East
Dexter Pittman\pittmde01,East
DeAndre Liggins\liggide01,East
Jerryd Bayless\bayleje01,East
Ronnie Price\pricero01,East
Eric Maynor\maynoer01,East
Cole Aldrich\aldrico01,East
Daniel Orton\ortonda01,East
Marcin Gortat\gortama01,East
Julyan Stone\stoneju01,East
Michael Beasley\beaslmi01,East
Paul Millsap\millspa01,East
Shannon Brown\brownsh01,East
Byron Mullens\mulleby01,West
Royal Ivey\iveyro01,West
Maalik Wayns\waynsma01,West
Quincy Acy\acyqu01,West
Jordan Crawford\crawfjo02,West
Viacheslav Kravtsov\kravtvi01,West
Ronnie Brewer\brewero02,West
Josh Childress\childjo01,West
Hedo Turkoglu\turkohe01,West
Jose Calderon\caldejo01,West
Ed Davis\davised01,West
Leandro Barbosa\barbole01,West
Damion James\jamesda01,West
Jeff Ayres\pendeje02,West
Omri Casspi\casspom01,West
Dorell Wright\wrighdo01,West
Nate Robinson\robinna01,West
Malcolm Thomas\thomama01,West
Gerald Green\greenge01,West
Samuel Dalembert\dalemsa01,West
A.J. Price\priceaj01,West
Nick Young\youngni01,West
John Lucas III\lucasjo02,West
Courtney Lee\leeco01,West
J.J. Redick\redicjj01,West
Tayshaun Prince\princta01,West
Mike Miller\millemi01,West
Devin Harris\harride01,West
Reggie Williams\willire02,West
Shavlik Randolph\randosh01,West
Jrue Holiday\holidjr01,West
Anthony Morrow\morroan01,West
Luc Mbah a Moute\mbahalu01,West
Miles Plumlee\plumlmi01,West
MarShon Brooks\brookma01,West
Aaron Gray\grayaa01,West
Marco Belinelli\belinma01,West
Ish Smith\smithis01,West
Monta Ellis\ellismo01,West
