Values,Moved_to
Ron Carter\cartero01,East
Randy Smith\smithra01,East
Willie Smith\smithwi02,East
Jackie Robinson\robinja01,East
Corky Calhoun\calhoco01,East
John Kuester\kuestjo01,East
Kevin Restani\restake01,East
Joe Hassett\hassejo01,East
Dave Robisch\robisda01,East
John Brown\brownjo01,East
Robert Smith\smithro01,East
Ron Lee\leero01,East
Alex English*\englial01,East
Mickey Johnson\johnsmi01,East
Johnny Davis\davisjo01,East
James Edwards\edwarja01,East
Ron Behagen\behagro01,East
Mike Bantom\bantomi01,East
Lionel Hollins\hollili01,East
Rick Robey\robeyri01,East
Clemon Johnson\johnscl01,East
Kenny Carr\carrke01,East
Bingo Smith\smithbi02,West
Jim Brewer\breweji01,West
Butch Lee\leebu01,West
Marvin Barnes\barnema01,West
James Hardy\hardyja01,West
Bernard King*\kingbe01,West
Truck Robinson\robintr01,West
Mike Green\greenmi01,West
Allan Bristow\bristal01,West
Terry Furlow\furlote01,West
Jo Jo White*\whitejo01,West
Jim Chones\choneji01,West
Spencer Haywood*\haywosp01,West
Ben Poquette\poquebe01,West
Dwight Jones\jonesdw01,West
Harvey Catchings\catchha01,West
Andre Wakefield\wakefan01,West
Coby Dietrick\dietrco01,West
Joe Bryant\bryanjo01,West
Glen Gondrezick\gondrgl01,West
