Values,Moved_to
James Posey\poseyja01,East
Carlos Boozer\boozeca01,East
Darren Collison\collida01,East
Cartier Martin\martica01,East
Ryan Hollins\holliry01,East
C.J. Watson\watsocj01,East
Ronny Turiaf\turiaro01,East
Matt Carroll\carroma01,East
Ronnie Brewer\brewero02,East
Juwan Howard\howarju01,East
Jordan Farmar\farmajo01,East
Roger Mason\masonro01,East
Leandro Barbosa\barbole01,East
Earl Clark\clarkea01,East
Othyus Jeffers\jeffeot01,East
Quinton Ross\rossqu01,East
Malik Allen\allenma01,East
Sasha Pavlovic\pavloal01,East
Jason Richardson\richaja01,East
Drew Gooden\goodedr01,East
Sasha Vujacic\vujacsa01,East
Al Thornton\thornal01,East
Sundiata Gaines\gainesu01,East
Joey Dorsey\dorsejo01,East
Jon Brockman\brockjo01,East
Johan Petro\petrojo01,East
Erick Dampier\dampier01,East
Etan Thomas\thomaet01,East
Corey Maggette\maggeco01,East
Anthony Carter\cartean01,East
Joey Graham\grahajo01,East
Hilton Armstrong\armsthi01,East
Garrett Temple\templga01,East
Jerryd Bayless\bayleje01,East
Darius Songaila\songada01,East
Travis Outlaw\outlatr01,East
Josh Powell\poweljo01,East
Julian Wright\wrighju01,East
Spencer Hawes\hawessp01,East
Andres Nocioni\nocioan01,East
Eduardo Najera\najered01,East
Anthony Morrow\morroan01,East
Ramon Sessions\sessira01,East
Damien Wilkins\wilkida02,East
Brian Skinner\skinnbr01,East
Josh Howard\howarjo01,East
D.J. White\whitedj01,East
Keith Bogans\boganke01,East
Kyle Korver\korveky01,East
Amar'e Stoudemire\stoudam01,East
Bobby Simmons\simmobo01,West
Antoine Wright\wrighan01,West
Royal Ivey\iveyro01,West
Rodney Carney\carnero01,West
Caron Butler\butleca01,West
Charlie Bell\bellch01,West
Jason Smith\smithja02,West
Al Harrington\harrial01,West
Vince Carter\cartevi01,West
Joe Smith\smithjo02,West
Daequan Cook\cookda02,West
Dan Gadzuric\gadzuda01,West
Jordan Hill\hilljo01,West
Fabricio Oberto\obertfa01,West
Acie Law\lawac01,West
Brad Miller\millebr01,West
Francisco Elson\elsonfr01,West
Chris Quinn\quinnch01,West
Luke Ridnour\ridnolu01,West
Dorell Wright\wrighdo01,West
Tyson Chandler\chandty01,West
Samuel Dalembert\dalemsa01,West
Shelden Williams\willish02,West
Courtney Lee\leeco01,West
Darnell Jackson\jacksda01,West
Jarrett Jack\jackja01,West
Randy Foye\foyera01,West
Hakim Warrick\warriha01,West
Mickael Pietrus\pietrmi01,West
DeShawn Stevenson\stevede01,West
David Lee\leeda02,West
Terrence Williams\willite01,West
Luther Head\headlu01,West
Matt Barnes\barnema02,West
Leon Powe\powele01,West
Kendrick Perkins\perkike01,West
Pops Mensah-Bonsu\mensapo01,West
Willie Green\greenwi01,West
Earl Barron\barroea01,West
Danny Green\greenda02,West
Earl Watson\watsoea01,West
Brendan Haywood\haywobr01,West
Marcin Gortat\gortama01,West
Tony Allen\allento01,West
Michael Beasley\beaslmi01,West
Marco Belinelli\belinma01,West
Theo Ratliff\ratlith01,West
Raja Bell\bellra01,West
