Values,Moved_to
Marcus Camby\cambyma01,East
Reggie Evans\evansre01,East
Royal Ivey\iveyro01,East
Ian Mahinmi\mahinia01,East
Josh Childress\childjo01,East
Al Harrington\harrial01,East
Daequan Cook\cookda02,East
Emeka Okafor\okafoem01,East
Kyle Lowry\lowryky01,East
Nazr Mohammed\mohamna01,East
Anthony Tolliver\tollian01,East
Sam Young\youngsa01,East
Jason Terry\terryja01,East
Nate Robinson\robinna01,East
Dorell Wright\wrighdo01,East
Malcolm Thomas\thomama01,East
Gerald Wallace\wallage01,East
Samuel Dalembert\dalemsa01,East
Darko Milicic\milicda01,East
Raymond Felton\feltora01,East
Courtney Lee\leeco01,East
Chris Andersen\anderch01,East
Dominic McGuire\mcguido01,East
Hakim Warrick\warriha01,East
Jason Kidd*\kiddja01,East
Devin Harris\harride01,East
Arron Afflalo\afflaar01,East
Trevor Ariza\arizatr01,East
Jeremy Pargo\pargoje01,East
Terrence Williams\willite01,East
Ekpe Udoh\udohek01,East
Jeff Adrien\adrieje01,East
Josh McRoberts\mcrobjo01,East
Martell Webster\webstma02,East
Earl Barron\barroea01,East
Kurt Thomas\thomaku01,East
Nene Hilario\hilarne01,East
Joel Przybilla\przybjo01,East
Gustavo Ayon\ayongu01,East
Solomon Jones\jonesso01,East
Kwame Brown\brownkw01,East
Brendan Haywood\haywobr01,East
Marco Belinelli\belinma01,East
Kenyon Martin\martike01,East
Monta Ellis\ellismo01,East
C.J. Miles\milescj01,East
Darren Collison\collida01,West
Jon Leuer\leuerjo01,West
Dwight Howard\howardw01,West
Dahntay Jones\jonesda02,West
Ryan Hollins\holliry01,West
Mike James\jamesmi01,West
Ronny Turiaf\turiaro01,West
Elton Brand\brandel01,West
Andre Iguodala\iguodan01,West
Roger Mason\masonro01,West
Keyon Dooling\doolike01,West
Earl Clark\clarkea01,West
JaVale McGee\mcgeeja01,West
Jodie Meeks\meeksjo01,West
Sasha Pavlovic\pavloal01,West
Jermaine O'Neal\onealje01,West
Omer Asik\asikom01,West
Austin Daye\dayeau01,West
Stephen Jackson\jacksst02,West
Antawn Jamison\jamisan01,West
Boris Diaw\diawbo01,West
Jeremy Lin\linje01,West
Toney Douglas\douglto01,West
Jared Jeffries\jeffrja01,West
Marvin Williams\willima02,West
Dexter Pittman\pittmde01,West
Ryan Anderson\anderry01,West
DeAndre Liggins\liggide01,West
Jerryd Bayless\bayleje01,West
Eddy Curry\curryed01,West
Lou Amundson\amundlo01,West
Andrew Bogut\bogutan01,West
Greg Stiemsma\stiemgr01,West
Daniel Orton\ortonda01,West
Chris Duhon\duhonch01,West
Carlos Delfino\delfica01,West
James Johnson\johnsja01,West
Terrel Harris\harrite01,West
Justin Dentmon\dentmju01,West
Willie Green\greenwi01,West
