Values,Moved_to
Trey Burke\burketr01,East
D.J. Augustin\augusdj01,East
Quincy Acy\acyqu01,East
Jon Leuer\leuerjo01,East
Dwight Howard\howardw01,East
Markieff Morris\morrima02,East
Luke Babbitt\babbilu01,East
Jeff Green\greenje02,East
Rajon Rondo\rondora01,East
Trevor Booker\booketr01,East
Marcus Thornton\thornma01,East
Briante Weber\weberbr01,East
Jason Terry\terryja01,East
Roy Hibbert\hibbero01,East
Courtney Lee\leeco01,East
Chris Andersen\anderch01,East
Randy Foye\foyera01,East
Axel Toupane\toupaax01,East
Boban Marjanovic\marjabo01,East
Dion Waiters\waitedi01,East
C.J. Wilcox\wilcocj01,East
Mirza Teletovic\teletmi01,East
Ryan Kelly\kellyry01,East
Gerald Henderson\hendege02,East
Damjan Rudez\rudezda01,East
Serge Ibaka\ibakase01,East
Archie Goodwin\goodwar01,East
Michael Beasley\beaslmi01,East
Marco Belinelli\belinma01,East
Steve Novak\novakst01,East
George Hill\hillge01,West
Evan Turner\turneev01,West
E'Twaun Moore\mooreet01,West
Thomas Robinson\robinth01,West
Joel Anthony\anthojo01,West
Anderson Varejao\varejan01,West
Jarnell Stokes\stokeja01,West
Jose Calderon\caldejo01,West
Dewayne Dedmon\dedmode01,West
Johnny O'Bryant\obryajo01,West
Jared Dudley\dudleja01,West
Anthony Tolliver\tollian01,West
Jordan Hill\hilljo01,West
Shabazz Napier\napiesh01,West
Jerami Grant\grantje01,West
Jarrett Jack\jackja01,West
Arron Afflalo\afflaar01,West
Alan Anderson\anderal01,West
Tyler Ennis\ennisty01,West
David Lee\leeda02,West
Timofey Mozgov\mozgoti01,West
Troy Daniels\danietr01,West
Luol Deng\denglu01,West
Langston Galloway\gallola01,West
Jarell Eddie\eddieja01,West
Garrett Temple\templga01,West
Victor Oladipo\oladivi01,West
Joe Johnson\johnsjo02,West
Solomon Hill\hillso01,West
Nene Hilario\hilarne01,West
Pau Gasol\gasolpa01,West
