Values,Moved_to
Glen Rice\ricegl01,East
Chris Herren\herrech01,East
Obinna Ekezie\ekeziob01,East
Jamel Thomas\thomaja01,East
Luc Longley\longllu01,East
Bryant Stith\stithbr01,East
Troy Hudson\hudsotr01,East
Bruno Sundov\sundobr01,East
Joe Smith\smithjo02,East
Vladimir Stepania\stepavl01,East
Anthony Miller\millean01,East
Corliss Williamson\willico02,East
Etdrick Bohannon\bohanet01,East
Tyrone Corbin\corbity01,East
A.C. Green\greenac01,East
Jermaine O'Neal\onealje01,East
Milt Palacio\palacmi01,East
Vernon Maxwell\maxweve01,East
Brian Grant\grantbr01,East
Felton Spencer\spencfe01,East
Tyrone Nesby\nesbyty01,East
Bryce Drew\drewbr01,East
Cedric Ceballos\cebalce01,East
Travis Knight\knightr01,East
Keon Clark\clarkke01,East
Felipe Lopez\lopezfe01,East
Ron Mercer\mercero01,East
Popeye Jones\jonespo01,East
Don MacLean\macledo01,East
Erick Strickland\stricer01,East
Jason Caffey\caffeja01,East
Cory Alexander\alexaco01,East
Jerome Kersey\kerseje01,East
Calbert Cheaney\cheanca01,West
Pervis Ellison\ellispe01,West
Kevin Willis\willike02,West
Isaiah Rider\rideris01,West
Mark Bryant\bryanma01,West
Will Perdue\perduwi01,West
John Crotty\crottjo01,West
Tariq Abdul-Wahad\abdulta01,West
Voshon Lenard\lenarvo01,West
Isaac Austin\austiis01,West
Chris Mullin*\mullich01,West
Elliot Perry\perryel01,West
Doug Christie\chrisdo01,West
Danny Fortson\fortsda01,West
Patrick Ewing*\ewingpa01,West
Christian Laettner\laettch01,West
Earl Boykins\boykiea01,West
Larry Hughes\hughela01,West
Shawn Kemp\kempsh01,West
Chris Dudley\dudlech02,West
David Wingate\wingada01,West
Mark Strickland\stricma01,West
Corey Maggette\maggeco01,West
Danny Manning\mannida01,West
Bob Sura\surabo01,West
LaPhonso Ellis\ellisla01,West
Danny Ferry\ferryda01,West
Vinny Del Negro\delnevi01,West
Dale Davis\davisda01,West
Derek Strong\stronde01,West
Loy Vaught\vaughlo01,West
