Values,Moved_to
James Posey\poseyja01,East
Bobby Simmons\simmobo01,East
Randy Livingston\livinra01,East
Andre Barrett\barrean01,East
Caron Butler\butleca01,East
Ervin Johnson\johnser02,East
Jerome James\jamesje01,East
James Thomas\thomaja02,East
Peja Stojakovic\stojape01,East
Malik Rose\rosema01,East
Jason Williams\willija02,East
Scott Padgett\padgesc01,East
Jake Voskuhl\voskuja01,East
Calvin Booth\boothca01,East
Bo Outlaw\outlabo01,East
John Thomas\thomajo02,East
Maurice Taylor\tayloma01,East
Mike Wilks\wilksmi01,East
Maurice Evans\evansma01,East
Derek Anderson\anderde01,East
Matt Barnes\barnema02,East
Chris Webber\webbech01,East
Lee Nailon\nailole01,East
Darius Songaila\songada01,East
Quentin Richardson\richaqu01,East
Steven Hunter\huntest01,East
Joe Johnson\johnsjo02,East
Clifford Robinson\robincl02,East
Antonio Daniels\daniean01,East
Alan Henderson\hendeal01,East
Dale Davis\davisda01,East
Jamaal Magloire\magloja01,East
Dan Dickau\dickada01,East
Darrick Martin\martida01,East
Jumaine Jones\jonesju01,East
Aaron Williams\williaa01,West
Juan Dixon\dixonju01,West
Marcus Fizer\fizerma01,West
Marcus Banks\banksma01,West
Desmond Mason\masonde01,West
Ronald Dupree\duprero01,West
Laron Profit\profila01,West
Mark Blount\blounma01,West
Jamal Sampson\sampsja01,West
Metta World Peace\artesro01,West
Keith Van Horn\vanhoke01,West
Corliss Williamson\willico02,West
Eddie Jones\jonesed02,West
Jason Hart\hartja01,West
Aaron McKie\mckieaa01,West
Justin Reed\reedju01,West
Anthony Goldwire\goldwan01,West
Nazr Mohammed\mohamna01,West
Vin Baker\bakervi01,West
Walter McCarty\mccarwa01,West
Moochie Norris\norrimo01,West
Milt Palacio\palacmi01,West
Kenny Thomas\thomake01,West
Smush Parker\parkesm01,West
Boris Diaw\diawbo01,West
Rafer Alston\alstora01,West
Rasual Butler\butlera01,West
Adrian Griffin\griffad01,West
Tim Thomas\thomati01,West
James Jones\jonesja02,West
Kurt Thomas\thomaku01,West
DeSagana Diop\diopde01,West
Steve Blake\blakest01,West
Kwame Brown\brownkw01,West
