Values,Moved_to
Alaa Abdelnaby\abdelal01,East
Dwayne Schintzius\schindw01,East
Olden Polynice\polynol01,East
Bart Kofoed\kofoeba01,East
Danny Young\youngda01,East
Gerald Glass\glassge01,East
Jerome Lane\laneje01,East
Eric Murdock\murdoer01,East
Sidney Green\greensi02,East
Pooh Richardson\richapo01,East
Sam Mitchell\mitchsa01,East
Rolando Blackman\blackro01,East
Donald Royal\royaldo01,East
Doc Rivers\riverdo01,East
Herb Williams\willihe01,East
Buck Johnson\johnsbu01,East
Charles Smith\smithch01,East
Tim Perry\perryti01,East
Andrew Lang\langan01,East
Randy Breuer\breuera01,East
Rodney McCray\mccraro01,East
Jeff Hornacek\hornaje01,East
Tony Campbell\campbto01,East
Mark Randall\randama01,East
Bo Kimble\kimblbo01,East
Steve Burtt\burttst01,East
Tom Tolbert\tolbeto01,East
Blue Edwards\edwarbl01,East
Trent Tucker\tucketr01,East
Chucky Brown\brownch01,East
Henry James\jameshe01,West
Mark Jackson\jacksma01,West
Micheal Williams\willimi02,West
Kiki Vandeweghe\vandeki01,West
Tom Hammonds\hammoto01,West
Sean Higgins\higgise01,West
Morlon Wiley\wileymo01,West
Chuck Person\persoch01,West
Jeff Grayer\grayeje01,West
Jay Humphries\humphja01,West
Charles Barkley*\barklch01,West
Kennard Winchester\winchke01,West
Dale Ellis\ellisda01,West
Larry Krystkowiak\krystla01,West
Lester Conner\connele01,West
Brad Sellers\sellebr01,West
J.R. Reid\reidjr01,West
Lance Blanks\blankla01,West
William Bedford\bedfowi01,West
Bob McCann\mccanbo01,West
Stanley Roberts\roberst01,West
