Values,Moved_to
Richard Dumas\dumasri02,East
Adrian Caldwell\caldwad01,East
Greg Grant\grantgr01,East
Randy Brown\brownra02,East
Robert Pack\packro01,East
Carlos Rogers\rogerca01,East
John Crotty\crottjo01,East
Chris Whitney\whitnch01,East
Terry Cummings\cummite01,East
Tim Legler\legleti01,East
Antonio Lang\langan02,East
Gary Grant\grantga01,East
Spud Webb\webbsp01,East
Trevor Wilson\wilsotr01,East
Otis Thorpe\thorpot01,East
Willie Anderson\anderwi01,East
Randolph Keys\keysra01,East
Ricky Pierce\piercri01,East
Mike Brown\brownmi01,East
Stacey King\kingst01,East
Danny Schayes\schayda01,East
Vernon Maxwell\maxweve01,East
Jack Haley\haleyja01,East
Doug Smith\smithdo03,East
Dan Majerle\majerda01,East
Zan Tabak\tabakza01,East
Tony Massenburg\masseto01,East
Kendall Gill\gillke01,East
James Edwards\edwarja01,East
Tracy Murray\murratr01,East
Dennis Rodman*\rodmade01,East
J.R. Reid\reidjr01,East
Trevor Ruffin\ruffitr01,East
Doug Edwards\edwardo01,West
Will Perdue\perduwi01,West
Jaren Jackson\jacksja01,West
Anthony Avent\aventan01,West
Brad Lohaus\lohaubr01,West
Eric Mobley\mobleer01,West
Hersey Hawkins\hawkihe01,West
Eric Murdock\murdoer01,West
B.J. Armstrong\armstbj01,West
Fred Roberts\roberfr01,West
Sam Mitchell\mitchsa01,West
Greg Anderson\andergr01,West
Keith Tower\towerke01,West
Byron Scott\scottby01,West
Corie Blount\blounco01,West
Tyrone Corbin\corbity01,West
David Wingate\wingada01,West
Greg Anthony\anthogr01,West
Hot Rod Williams\williho01,West
Kenny Gattison\gattike01,West
Jon Barry\barryjo01,West
Don MacLean\macledo01,West
Derek Strong\stronde01,West
Monty Williams\willimo01,West
Chris Morris\morrich01,West
Doug Overton\overtdo01,West
