Values,Moved_to
Mike McGee\mcgeemi01,East
Jay Murphy\murphja01,East
Hank McDowell\mcdowha01,East
Gerald Henderson\hendege01,East
Tim McCormick\mccorti01,East
Jack Sikma\sikmaja01,East
Granville Waiters\waitegr01,East
Steve Colter\coltest01,East
Danny Vranes\vraneda01,East
Pace Mannion\mannipa01,East
Fred Roberts\roberfr01,East
John Lucas\lucasjo01,East
Tyrone Corbin\corbity01,East
Jerome Henderson\hendeje01,East
Elston Turner\turneel01,East
Ray Williams\willira01,East
Adrian Dantley*\dantlad01,East
Pete Verhoeven\verhope01,East
Craig Ehlo\ehlocr01,East
Jay Vincent\vinceja01,East
Michael Adams\adamsmi01,East
Junior Bridgeman\bridgju01,East
Darrell Walker\walkeda01,West
Mike Smrek\smrekmi01,West
Kelly Tripucka\tripuke01,West
Eddie Johnson\johnsed02,West
Quintin Dailey\dailequ01,West
Dirk Minniefield\minnidi01,West
Alton Lister\listeal01,West
Terence Stansbury\stanste01,West
Mike Holton\holtomi01,West
Kent Benson\bensoke01,West
Kenny Fields\fieldke01,West
Ben McDonald\mcdonbe01,West
Clemon Johnson\johnscl01,West
Perry Moss\mosspe01,West
