Values,Moved_to
Aaron Williams\williaa01,East
Isaiah Rider\rideris01,East
Chris Anstey\anstech01,East
Matt Maloney\malonma01,East
Will Perdue\perduwi01,East
Sherman Douglas\douglsh01,East
John Crotty\crottjo01,East
Hersey Hawkins\hawkihe01,East
Tariq Abdul-Wahad\abdulta01,East
Michael Hawkins\hawkimi01,East
Muggsy Bogues\boguemu01,East
Todd Fuller\fulleto02,East
Kevin Ollie\ollieke01,East
Michael Smith\smithmi02,East
Johnny Taylor\taylojo01,East
Danny Fortson\fortsda01,East
Billy Owens\owensbi01,East
Jim Jackson\jacksji01,East
Lorenzen Wright\wrighlo02,East
Danny Manning\mannida01,East
Eric Williams\willier01,East
Dale Ellis\ellisda01,East
Bimbo Coles\colesbi01,East
Pat Garrity\garripa01,East
Gerard King\kingge02,East
J.R. Reid\reidjr01,East
Reggie Jordan\jordare01,East
Lamond Murray\murrala01,East
Monty Williams\willimo01,East
Stanley Roberts\roberst01,East
Mario Bennett\bennema01,West
Ben Davis\davisbe01,West
Charles Jones\jonesch03,West
Tim Legler\legleti01,West
Eric Murdock\murdoer01,West
Chuck Person\persoch01,West
Damon Jones\jonesda01,West
Nick Anderson\anderni01,West
Mark West\westma01,West
Etdrick Bohannon\bohanet01,West
Corie Blount\blounco01,West
Tyrone Corbin\corbity01,West
Mookie Blaylock\blaylmo01,West
Steve Smith\smithst01,West
Ron Harper\harpero01,West
Jeff McInnis\mcinnje01,West
Anfernee Hardaway\hardaan01,West
Horace Grant\grantho01,West
Grant Long\longgr01,West
Derek Anderson\anderde01,West
Randell Jackson\jacksra02,West
Brent Barry\barrybr01,West
Shammond Williams\willish01,West
Armen Gilliam\gilliar01,West
Mark Davis\davisma02,West
Bill Wennington\wennibi01,West
Terry Porter\portete01,West
Ron Mercer\mercero01,West
Marty Conlon\conloma01,West
Popeye Jones\jonespo01,West
