Values,Moved_to
Beno Udrih\udrihbe01,East
Cory Joseph\josepco01,East
Jared Cunningham\cunnija01,East
Glenn Robinson\robingl02,East
Dahntay Jones\jonesda02,East
Wayne Ellington\ellinwa01,East
Anthony Bennett\bennean01,East
Thomas Robinson\robinth01,East
Mo Williams\willima01,East
Jarnell Stokes\stokeja01,East
Nik Stauskas\stausni01,East
Sean Kilpatrick\kilpase01,East
Tiago Splitter\splitti01,East
Jordan Hill\hilljo01,East
Jeremy Lamb\lambje01,East
Thaddeus Young\youngth01,East
Gerald Green\greenge01,East
Aron Baynes\baynear01,East
Derrick Williams\willide02,East
Chase Budinger\budinch01,East
Monta Ellis\ellismo01,East
Robin Lopez\lopezro01,East
Arron Afflalo\afflaar01,East
Jeremy Lin\linje01,East
Isaiah Canaan\canaais01,East
Richard Jefferson\jefferi01,East
David Lee\leeda02,East
Troy Daniels\danietr01,East
Reggie Bullock\bullore01,East
Marcus Morris\morrima03,East
Nicolas Batum\batumni01,East
Reggie Jackson\jacksre01,East
Spencer Hawes\hawessp01,East
Carl Landry\landrca01,East
Ramon Sessions\sessira01,East
Steve Blake\blakest01,East
Justin Holiday\holidju01,East
Miles Plumlee\plumlmi01,East
Isaiah Thomas\thomais02,East
Ish Smith\smithis01,East
Goran Dragic\dragigo01,East
Brandon Knight\knighbr03,West
D.J. Augustin\augusdj01,West
Quincy Acy\acyqu01,West
Caron Butler\butleca01,West
Paul Pierce\piercpa01,West
Zaza Pachulia\pachuza01,West
Nazr Mohammed\mohamna01,West
Marcus Thornton\thornma01,West
James Ennis\ennisja01,West
Tim Frazier\fraziti01,West
David West\westda01,West
Norris Cole\coleno01,West
Chuck Hayes\hayesch01,West
Roy Hibbert\hibbero01,West
Shelvin Mack\macksh01,West
Chris Andersen\anderch01,West
Maurice Harkless\harklma01,West
Pablo Prigioni\prigipa01,West
Mike Miller\millemi01,West
Rasual Butler\butlera01,West
Andre Miller\millean02,West
Lou Williams\willilo02,West
John Jenkins\jenkijo01,West
Mirza Teletovic\teletmi01,West
Kyle Singler\singlky01,West
Noah Vonleh\vonleno01,West
Gerald Henderson\hendege02,West
K.J. McDaniels\mcdankj01,West
Cole Aldrich\aldrico01,West
Mason Plumlee\plumlma01,West
Damjan Rudez\rudezda01,West
Mario Chalmers\chalmma01,West
Luc Mbah a Moute\mbahalu01,West
Kevin Garnett\garneke01,West
Michael Beasley\beaslmi01,West
Deron Williams\willide01,West
Lance Stephenson\stephla01,West
Brandon Bass\bassbr01,West
Cory Jefferson\jeffeco01,West
