Values,Moved_to
Juan Dixon\dixonju01,East
Desmond Mason\masonde01,East
Ricky Davis\davisri01,East
Mark Blount\blounma01,East
Anthony Johnson\johnsan02,East
Alexander Johnson\johnsal01,East
Jason Richardson\richaja01,East
Maurice Evans\evansma01,East
Adonal Foyle\foylead01,East
Mike Bibby\bibbymi01,East
Zach Randolph\randoza01,East
Maurice Ager\agerma01,East
Stephen Graham\grahast01,East
Ray Allen*\allenra02,East
Brian Cook\cookbr01,East
Cedric Simmons\simmoce01,East
Kevin Garnett\garneke01,East
Jamaal Magloire\magloja01,East
Devin Brown\brownde02,East
Rashard Lewis\lewisra02,East
Reggie Evans\evansre01,East
Ronald Dupree\duprero01,West
Donyell Marshall\marshdo01,West
Andre Barrett\barrean01,West
Sebastian Telfair\telfase01,West
Michael Doleac\doleami01,West
Eddie Jones\jonesed02,West
Gerald Green\greenge01,West
Morris Peterson\petermo01,West
Darko Milicic\milicda01,West
Orien Greene\greenor01,West
Steve Francis\francst01,West
Melvin Ely\elyme01,West
Wally Szczerbiak\szczewa02,West
Channing Frye\fryech01,West
Bobby Jones\jonesbo02,West
Ryan Gomes\gomesry01,West
Delonte West\westde01,West
Trevor Ariza\arizatr01,West
Ruben Patterson\patteru01,West
Grant Hill*\hillgr01,West
Chris Webber\webbech01,West
Al Jefferson\jeffeal01,West
Mikki Moore\mooremi01,West
Steven Hunter\huntest01,West
Antoine Walker\walkean02,West
Brevin Knight\knighbr01,West
Brian Skinner\skinnbr01,West
Kyle Korver\korveky01,West
