Values,Moved_to
Rickey Brown\brownri01,East
Billy Paultz\paultbi01,East
Linton Townes\towneli01,East
Reggie Johnson\johnsre01,East
Bill Willoughby\willobi01,East
Kelvin Ransey\ranseke01,East
Sam Williams\willisa02,East
Mark Landsberger\landsma01,East
Ray Williams\willira01,East
Jeff Cook\cookje01,East
Geoff Crompton\crompge01,East
Mike Dunleavy\dunlemi01,East
Lorenzo Romar\romarlo01,East
Micheal Ray Richardson\richami01,East
Ben Poquette\poquebe01,East
David Thirdkill\thirdda01,East
Lonnie Shelton\sheltlo01,East
Brook Steppe\steppbr01,East
Ray Tolbert\tolbera01,East
Dennis Johnson*\johnsde01,East
Lionel Hollins\hollili01,East
Billy Knight\knighbi01,West
Sleepy Floyd\floydsl01,West
Larry Spriggs\sprigla01,West
Mark McNamara\mcnamma01,West
Darren Tillis\tillida01,West
Don Collins\collido02,West
John Lucas\lucasjo01,West
Steve Hayes\hayesst01,West
Mark Olberding\olberma01,West
Ricky Pierce\piercri01,West
Paul Westphal\westppa01,West
Dave Batton\battoda01,West
Edgar Jones\jonesed01,West
Phil Ford\fordph01,West
Steve Lingenfelter\lingest01,West
Mickey Johnson\johnsmi01,West
Mike Bratz\bratzmi01,West
Charles Bradley\bradlch01,West
Keith Edmonson\edmonke01,West
Steve Hawes\hawesst01,West
Rick Robey\robeyri01,West
