Values,Moved_to
Darrell Walker\walkeda01,East
Johnny Rogers\rogerjo01,East
Dirk Minniefield\minnidi01,East
Larry Krystkowiak\krystla01,East
Adrian Branch\brancad01,East
Kent Benson\bensoke01,East
Chris Washburn\washbch01,East
Mark Alarie\alarima01,East
Artis Gilmore*\gilmoar01,East
Dell Curry\curryde01,East
William Bedford\bedfowi01,East
Jim Paxson\paxsoji02,East
Mike McGee\mcgeemi01,West
Sam Vincent\vincesa01,West
Brad Wright\wrighbr01,West
Michael Brooks\brookmi01,West
Conner Henry\henryco01,West
Earl Cureton\curetea01,West
Greg Kite\kitegr01,West
Pete Myers\myerspe01,West
Bill Martin\martibi01,West
Melvin Turpin\turpime01,West
Andre Turner\turnean01,West
Jawann Oldham\oldhaja01,West
Jerry Sichting\sichtje01,West
James Bailey\baileja01,West
Tony Campbell\campbto01,West
Darryl Dawkins\dawkida01,West
Jay Vincent\vinceja01,West
World B. Free\freewo01,West
Michael Adams\adamsmi01,West
Leon Wood\woodle01,West
