Values,Moved_to
Samaki Walker\walkesa01,East
Sean Rooks\rooksse01,East
Desmond Mason\masonde01,East
Mark Blount\blounma01,East
Rod Strickland\stricro02,East
Stephon Marbury\marbust01,East
Chris Whitney\whitnch01,East
Juwan Howard\howarju01,East
Joe Smith\smithjo02,East
Damon Jones\jonesda01,East
Anthony Goldwire\goldwan01,East
Wang Zhizhi\zhizhwa01,East
Gordan Giricek\giricgo01,East
Mengke Bateer\bateeme01,East
Moochie Norris\norrimo01,East
Steve Smith\smithst01,East
Stephen Jackson\jacksst02,East
Drew Gooden\goodedr01,East
Scot Pollard\pollasc01,East
Anfernee Hardaway\hardaan01,East
Marc Jackson\jacksma02,East
Lamar Odom\odomla01,East
Gilbert Arenas\arenagi01,East
Tremaine Fowlkes\fowlktr01,East
Jiri Welsch\welscji01,East
Kendall Gill\gillke01,East
Bob Sura\surabo01,East
Robert Archibald\archiro01,East
Loren Woods\woodslo01,East
Jason Collier\collija02,East
Brevin Knight\knighbr01,East
Scottie Pippen*\pippesc01,East
Raef LaFrentz\lafrera01,East
Kenny Anderson\anderke01,East
Mateen Cleaves\cleavma01,East
Bryon Russell\russebr01,West
Bobby Simmons\simmobo01,West
Tony Delk\delkto01,West
Darius Miles\milesda01,West
Jahidi White\whiteja01,West
Jamal Sampson\sampsja01,West
Randy Livingston\livinra01,West
Clarence Weatherspoon\weathcl01,West
Howard Eisley\eisleho01,West
Ervin Johnson\johnser02,West
Ronald Murray\murraro01,West
Voshon Lenard\lenarvo01,West
Fred Hoiberg\hoibefr01,West
Vladimir Stepania\stepavl01,West
Sam Cassell\cassesa01,West
Eddie House\houseed01,West
Brad Miller\millebr01,West
Charles Oakley\oaklech01,West
Latrell Sprewell\sprewla01,West
Ryan Humphrey\humphry01,West
Travis Best\besttr01,West
Mike Miller\millemi01,West
Trenton Hassell\hassetr01,West
Horace Grant\grantho01,West
Anthony Carter\cartean01,West
Charlie Ward\wardch01,West
Mikki Moore\mooremi01,West
Ray Allen*\allenra02,West
Antoine Walker\walkean02,West
Brian Cardinal\cardibr01,West
Clifford Robinson\robincl02,West
Sean Lampley\lamplse01,West
Ron Mercer\mercero01,West
Jon Barry\barryjo01,West
