Values,Moved_to
Matt Fish\fishma01,East
Henry James\jameshe01,East
Scott Brooks\brooksc01,East
Frank Brickowski\brickfr01,East
Joe Kleine\kleinjo01,East
Jaren Jackson\jacksja01,East
Rod Strickland\stricro02,East
Gerald Wilkins\wilkige01,East
Brad Lohaus\lohaubr01,East
Harvey Grant\grantha01,East
Ashraf Amaya\amayaas01,East
Jalen Rose\roseja01,East
Sam Cassell\cassesa01,East
Lorenzo Williams\willilo01,East
Anthony Miller\millean01,East
Jerome Allen\allenje01,East
Walt Williams\williwa02,East
Aaron McKie\mckieaa01,East
Eldridge Recasner\recasel01,East
Elliot Perry\perryel01,East
Frankie King\kingfr01,East
Clifford Rozier\roziecl01,East
Lucious Harris\harrilu01,East
Keith Tower\towerke01,East
Dikembe Mutombo*\mutomdi01,East
Buck Williams\willibu01,East
Tyrone Corbin\corbity01,East
Christian Laettner\laettch01,East
Reggie Williams\willire01,East
Tim Hardaway\hardati01,East
Reggie Slater\slatere01,East
Mark Davis\davisma02,East
Rony Seikaly\seikaro01,East
David Wood\woodda01,East
Vincent Askew\askewvi01,East
Jon Barry\barryjo01,East
Tony Smith\smithto02,East
Popeye Jones\jonespo01,East
Cuonzo Martin\marticu01,East
Don MacLean\macledo01,East
Derek Strong\stronde01,East
Dell Demps\dempsde01,East
Vlade Divac\divacvl01,East
Bison Dele\delebi01,East
Doug Overton\overtdo01,East
Chucky Brown\brownch01,East
Brent Price\pricebr01,West
Kevin Willis\willike02,West
Dwayne Schintzius\schindw01,West
Matt Bullard\bullama01,West
Kevin Duckworth\duckwke01,West
Scott Burrell\burresc01,West
Joe Courtney\courtjo01,West
Mark Jackson\jacksma01,West
Terry Cummings\cummite01,West
Eric Leckner\leckner01,West
Rasheed Wallace\wallara01,West
Derek Harper\harpede01,West
Greg Graham\grahagr01,West
Rex Chapman\chapmre01,West
Mitchell Butler\butlemi02,West
Elmer Bennett\benneel01,West
Jimmy King\kingji02,West
Lee Mayberry\maybele01,West
Ricky Pierce\piercri01,West
Donald Royal\royaldo01,West
Kevin Gamble\gamblke01,West
Mike Brown\brownmi01,West
Billy Owens\owensbi01,West
Stacey King\kingst01,West
Vernon Maxwell\maxweve01,West
Charles Smith\smithch01,West
Jim McIlvaine\mcilvji01,West
Oliver Miller\milleol01,West
Brooks Thompson\thompbr01,West
Eric Montross\montrer01,West
Mark Price\pricema01,West
Lou Roe\roelo01,West
Craig Ehlo\ehlocr01,West
Bimbo Coles\colesbi01,West
Shaquille O'Neal*\onealsh01,West
Stacey Augmon\augmost01,West
Kenny Anderson\anderke01,West
LaSalle Thompson\thompla01,West
Reggie Jordan\jordare01,West
Tim Kempton\kemptti01,West
