Values,Moved_to
Matt Bullard\bullama01,East
Carlos Rogers\rogerca01,East
Jaren Jackson\jacksja01,East
Shandon Anderson\andersh01,East
Howard Eisley\eisleho01,East
Greg Foster\fostegr01,East
Damon Jones\jonesda01,East
Othella Harrington\harriot01,East
Corie Blount\blounco01,East
Tyronn Lue\luety01,East
Vonteego Cummings\cummivo01,East
Patrick Ewing*\ewingpa01,East
Christian Laettner\laettch01,East
Hakeem Olajuwon*\olajuha01,East
Jason Kidd*\kiddja01,East
Horace Grant\grantho01,East
Greg Anthony\anthogr01,East
Mark Strickland\stricma01,East
Hubert Davis\davishu01,East
LaPhonso Ellis\ellisla01,East
Reggie Slater\slatere01,East
Ira Newble\newblir01,East
Clifford Robinson\robincl02,East
Jon Barry\barryjo01,East
Jacque Vaughn\vaughja01,East
Brian Skinner\skinnbr01,East
Stacey Augmon\augmost01,East
Emanual Davis\davisem01,East
Courtney Alexander\alexaco02,East
Shareef Abdur-Rahim\abdursh01,East
Derrick Dial\dialde01,East
Glen Rice\ricegl01,West
Rodney Buford\buforro01,West
Obinna Ekezie\ekeziob01,West
Evan Eschmeyer\eschmev01,West
Stephon Marbury\marbust01,West
Elton Brand\brandel01,West
Mitch Richmond*\richmmi01,West
Juwan Howard\howarju01,West
Joe Smith\smithjo02,West
Johnny Newman\newmajo01,West
Jason Hart\hartja01,West
Eldridge Recasner\recasel01,West
John Wallace\wallajo01,West
Jake Voskuhl\voskuja01,West
Calvin Booth\boothca01,West
Bo Outlaw\outlabo01,West
John Amaechi\amaecjo01,West
Stephen Jackson\jacksst02,West
Dan Majerle\majerda01,West
Rick Brunson\brunsri01,West
Bruce Bowen\bowenbr01,West
Lindsey Hunter\hunteli01,West
Adrian Griffin\griffad01,West
Lorenzen Wright\wrighlo02,West
Tim Hardaway\hardati01,West
Eddie Gill\gilled01,West
Felipe Lopez\lopezfe01,West
Brevin Knight\knighbr01,West
Scott Williams\willisc01,West
Cedric Henderson\hendece02,West
Mateen Cleaves\cleavma01,West
Doug Overton\overtdo01,West
Chucky Brown\brownch01,West
