Values,Moved_to
Kurt Rambis\rambiku01,East
Mike McGee\mcgeemi01,East
Sam Vincent\vincesa01,East
Larry Nance\nancela01,East
Kiki Vandeweghe\vandeki01,East
Dave Feitl\feitlda01,East
Earl Cureton\curetea01,East
Dave Hoppen\hoppeda01,East
Charles Davis\davisch02,East
Charles Jones\jonesch02,East
Darnell Valentine\valenda01,East
Kevin Gamble\gamblke01,East
Mike Sanders\sandemi01,East
Jay Humphries\humphja01,East
Pete Myers\myerspe01,East
Andre Turner\turnean01,East
Kelly Tripucka\tripuke01,East
Rickey Green\greenri01,East
Mike Holton\holtomi01,East
Robert Reid\reidro01,East
Derek Smith\smithde02,East
Reggie Theus\theusre01,East
James Edwards\edwarja01,East
Darryl Dawkins\dawkida01,East
Lester Conner\connele01,East
Steve Harris\harrist01,East
Ray Tolbert\tolbera01,East
Joe Barry Carroll\carrojo01,East
Kevin Williams\willike01,East
Adrian Branch\brancad01,West
Mark McNamara\mcnamma01,West
Kevin Johnson\johnske02,West
Tim McCormick\mccorti01,West
Frank Johnson\johnsfr01,West
Mark West\westma01,West
Pat Cummings\cummipa01,West
John Lucas\lucasjo01,West
Pearl Washington\washipe01,West
Chuck Nevitt\nevitch01,West
Tyrone Corbin\corbity01,West
John Stroeder\stroejo01,West
Mike Brown\brownmi01,West
Elston Turner\turneel01,West
Orlando Woolridge\woolror01,West
Clinton Wheeler\wheelcl01,West
Dallas Comegys\comegda01,West
Jerry Reynolds\reynoje01,West
Scott Hastings\hastisc01,West
Manute Bol\bolma01,West
Ennis Whatley\whatlen01,West
Rory Sparrow\sparrro01,West
Albert King\kingal01,West
Sedale Threatt\threase01,West
