Values,Moved_to
Qyntel Woods\woodsqy01,East
Kevin Willis\willike02,East
Rodney Buford\buforro01,East
Tony Delk\delkto01,East
Kaniel Dickens\dickeka01,East
Gary Payton*\paytoga01,East
Jahidi White\whiteja01,East
Jamal Sampson\sampsja01,East
Omar Cook\cookom01,East
Matt Carroll\carroma01,East
Tom Gugliotta\guglito01,East
Kareem Rush\rushka01,East
Kelvin Cato\catoke01,East
Rasheed Wallace\wallara01,East
Hedo Turkoglu\turkohe01,East
Jabari Smith\smithja01,East
Mo Williams\willima01,East
Keyon Dooling\doolike01,East
Jason Hart\hartja01,East
Jannero Pargo\pargoja01,East
Gerald Wallace\wallage01,East
Donnell Harvey\harvedo01,East
Sasha Pavlovic\pavloal01,East
Steve Francis\francst01,East
Antawn Jamison\jamisan01,East
Travis Best\besttr01,East
Jeff McInnis\mcinnje01,East
Melvin Ely\elyme01,East
DeShawn Stevenson\stevede01,East
Anthony Peeler\peelean01,East
Theron Smith\smithth01,East
Adrian Griffin\griffad01,East
Antonio McDyess\mcdyean01,East
Predrag Drobnjak\drobnpr01,East
Eddie Gill\gilled01,East
Michael Ruffin\ruffimi01,East
Antoine Walker\walkean02,East
Carlos Arroyo\arroyca01,East
Scott Williams\willisc01,East
Ron Mercer\mercero01,East
Shaquille O'Neal*\onealsh01,East
Eric Piatkowski\piatker01,East
Carlos Boozer\boozeca01,West
David Wesley\wesleda01,West
Greg Buckner\buckngr01,West
Tracy McGrady*\mcgratr01,West
Rod Strickland\stricro02,West
Shareef Abdur-Rahim\abdursh01,West
Jumaine Jones\jonesju01,West
Caron Butler\butleca01,West
Kerry Kittles\kittlke01,West
Rodney Rogers\rogerro01,West
Lonny Baxter\baxtelo01,West
Juwan Howard\howarju01,West
Dion Glover\glovedi01,West
Mehmet Okur\okurme01,West
Chucky Atkins\atkinch01,West
George Lynch\lynchge01,West
Gordan Giricek\giricgo01,West
David West\westda01,West
Dikembe Mutombo*\mutomdi01,West
Jason Terry\terryja01,West
Chris Mihm\mihmch01,West
Paul Shirley\shirlpa01,West
Brian Grant\grantbr01,West
Mamadou N'Diaye\ndiayma02,West
Baron Davis\davisba01,West
DerMarr Johnson\johnsde03,West
Darrell Armstrong\armstda01,West
Rick Brunson\brunsri01,West
Jerry Stackhouse\stackje01,West
Lamar Odom\odomla01,West
P.J. Brown\brownpj01,West
Tierre Brown\brownti01,West
Lee Nailon\nailole01,West
Bob Sura\surabo01,West
Glenn Robinson\robingl01,West
Steven Hunter\huntest01,West
Joel Przybilla\przybjo01,West
Zeljko Rebraca\rebraze01,West
Brian Skinner\skinnbr01,West
Linton Johnson\johnsli01,West
Alan Henderson\hendeal01,West
Jamaal Magloire\magloja01,West
Dan Dickau\dickada01,West
Mateen Cleaves\cleavma01,West
Kenyon Martin\martike01,West
Theo Ratliff\ratlith01,West
Kirk Penney\penneki01,West
