Values,Moved_to
Ben Davis\davisbe01,East
Chris Gatling\gatlich01,East
Wesley Person\persowe01,East
Scott Burrell\burresc01,East
Mark Jackson\jacksma01,East
Randy Livingston\livinra01,East
Roy Rogers\rogerro02,East
Terry Cummings\cummite01,East
Ervin Johnson\johnser02,East
Tony Dumas\dumasto01,East
Eric Murdock\murdoer01,East
B.J. Armstrong\armstbj01,East
Andrew DeClercq\declean01,East
Tyus Edney\edneyty01,East
Derek Harper\harpede01,East
Darvin Ham\hamda01,East
Chris Mullin*\mullich01,East
Greg Graham\grahagr01,East
Jamie Feick\feickja01,East
Mitchell Butler\butlemi02,East
Greg Anderson\andergr01,East
Bo Outlaw\outlabo01,East
Malik Sealy\sealyma01,East
Ricky Pierce\piercri01,East
Donald Royal\royaldo01,East
Vernon Maxwell\maxweve01,East
Shawn Kemp\kempsh01,East
Chris Dudley\dudlech02,East
Eric Snow\snower01,East
Oliver Miller\milleol01,East
Travis Knight\knightr01,East
Jamal Mashburn\mashbja01,East
Brooks Thompson\thompbr01,East
Eric Montross\montrer01,East
Mark Price\pricema01,East
Duane Causwell\causwdu01,East
Lawrence Moten\motenla01,East
Jim Jackson\jacksji01,East
Tim Kempton\kemptti01,East
Adrian Caldwell\caldwad01,West
Reggie Geary\gearyre01,West
Tony Delk\delkto01,West
Robert Pack\packro01,West
Brian Shaw\shawbr01,West
Alton Lister\listeal01,West
David Vaughn\vaughda02,West
Ivano Newbill\newbiiv01,West
Jaren Jackson\jacksja01,West
John Crotty\crottjo01,West
Brad Lohaus\lohaubr01,West
Gary Grant\grantga01,West
Muggsy Bogues\boguemu01,West
Otis Thorpe\thorpot01,West
Johnny Newman\newmajo01,West
Shawn Bradley\bradlsh01,West
Malik Rose\rosema01,West
Walt Williams\williwa02,West
Anthony Goldwire\goldwan01,West
Clifford Rozier\roziecl01,West
Vin Baker\bakervi01,West
Willie Burton\burtowi01,West
Khalid Reeves\reevekh01,West
Joe Wolf\wolfjo01,West
Duane Ferrell\ferredu01,West
Tony Massenburg\masseto01,West
Hubert Davis\davishu01,West
Erick Dampier\dampier01,West
Eric Williams\willier01,West
Eddie Johnson\johnsed03,West
Mark Hendrickson\hendrma01,West
Dennis Scott\scottde01,West
Rick Fox\foxri01,West
Vincent Askew\askewvi01,West
Kurt Thomas\thomaku01,West
Jon Barry\barryjo01,West
George Zidek\zidekge01,West
Priest Lauderdale\laudepr01,West
