Values,Moved_to
Antoine Wright\wrighan01,East
Tracy McGrady*\mcgratr01,East
Sonny Weems\weemsso01,East
Rodney Carney\carnero01,East
Dahntay Jones\jonesda02,East
Shaun Livingston\livinsh01,East
John Salmons\salmojo01,East
Joe Smith\smithjo02,East
Chris Wilcox\wilcoch01,East
Chucky Atkins\atkinch01,East
Fabricio Oberto\obertfa01,East
Brad Miller\millebr01,East
Jason Collins\collija04,East
Jamal Crawford\crawfja01,East
Tyson Chandler\chandty01,East
Shelden Williams\willish02,East
Paul Davis\davispa01,East
Stephen Jackson\jacksst02,East
Mike Miller\millemi01,East
Randy Foye\foyera01,East
Hakim Warrick\warriha01,East
Rafer Alston\alstora01,East
Luther Head\headlu01,East
Jerry Stackhouse\stackje01,East
Matt Barnes\barnema02,East
James Singleton\singlja01,East
Shavlik Randolph\randosh01,East
Kurt Thomas\thomaku01,East
Shaquille O'Neal*\onealsh01,East
Earl Watson\watsoea01,East
Marco Belinelli\belinma01,East
Brandon Bass\bassbr01,East
Sean May\mayse01,West
Dwayne Jones\jonesdw02,West
Cartier Martin\martica01,West
Adam Morrison\morriad01,West
Matt Carroll\carroma01,West
Shawn Marion\mariosh01,West
Kareem Rush\rushka01,West
Juwan Howard\howarju01,West
Emeka Okafor\okafoem01,West
Travis Diener\dienetr01,West
Malik Allen\allenma01,West
Sasha Pavlovic\pavloal01,West
Drew Gooden\goodedr01,West
Nathan Jawai\jawaina01,West
Arron Afflalo\afflaar01,West
Richard Jefferson\jefferi01,West
Andre Miller\millean02,West
Etan Thomas\thomaet01,West
Oleksiy Pecherov\pecheol01,West
Tim Thomas\thomati01,West
Antonio McDyess\mcdyean01,West
Joey Graham\grahajo01,West
Darius Songaila\songada01,West
Brian Cook\cookbr01,West
Thabo Sefolosha\sefolth01,West
Andres Nocioni\nocioan01,West
Eduardo Najera\najered01,West
Ramon Sessions\sessira01,West
Keith Bogans\boganke01,West
Aaron Gray\grayaa01,West
Shannon Brown\brownsh01,West
