Values,Moved_to
Bob McAdoo*\mcadobo01,East
Kyle Macy\macyky01,East
Mickey Johnson\johnsmi01,East
George Gervin*\gervige01,East
Earl Jones\jonesea01,East
Mike Holton\holtomi01,East
Bryan Warrick\warribr01,East
Bill Walton*\waltobi01,East
John Paxson\paxsojo01,East
Michael Young\youngmi01,East
Chuck Nevitt\nevitch01,East
Gene Banks\banksge01,East
Caldwell Jones\jonesca01,West
Guy Williams\willigu02,West
Greg Ballard\ballagr01,West
Devin Durrant\durrade01,West
Jim Thomas\thomaji01,West
George Johnson\johnsge02,West
Steve Johnson\johnsst03,West
Terry Tyler\tylerte01,West
Geoff Huston\hustoge01,West
Dave Greenwood\greenda01,West
Rod Higgins\higgiro01,West
Steve Hayes\hayesst01,West
Ray Williams\willira01,West
Wes Matthews\matthwe01,West
Cedric Maxwell\maxwece01,West
Granville Waiters\waitegr01,West
