Values,Moved_to
Brian Roberts\roberbr01,East
Aaron Brooks\brookaa01,East
DeJuan Blair\blairde01,East
Kevin Love\loveke01,East
Quincy Acy\acyqu01,East
Jason Smith\smithja02,East
Shawn Marion\mariosh01,East
Shane Larkin\larkish01,East
Jose Calderon\caldejo01,East
Jae Crowder\crowdja01,East
Jared Dudley\dudleja01,East
Marcus Thornton\thornma01,East
Jodie Meeks\meeksjo01,East
Malcolm Thomas\thomama01,East
Samuel Dalembert\dalemsa01,East
Robert Covington\covinro01,East
A.J. Price\priceaj01,East
John Lucas III\lucasjo02,East
Lance Thomas\thomala01,East
Mike Miller\millemi01,East
Channing Frye\fryech01,East
Timofey Mozgov\mozgoti01,East
Andre Miller\millean02,East
Marvin Williams\willima02,East
Evan Fournier\fournev01,East
Kent Bazemore\bazemke01,East
Thabo Sefolosha\sefolth01,East
Lou Amundson\amundlo01,East
Greg Stiemsma\stiemgr01,East
James Johnson\johnsja01,East
Kendall Marshall\marshke01,East
Luc Mbah a Moute\mbahalu01,East
Pau Gasol\gasolpa01,East
Ricky Ledo\ledori01,East
Willie Green\greenwi01,East
Shawne Williams\willish03,East
Alexey Shved\shvedal01,East
Chris Douglas-Roberts\douglch01,West
Beno Udrih\udrihbe01,West
Charlie Villanueva\villach01,West
Carlos Boozer\boozeca01,West
Shaun Livingston\livinsh01,West
Lorenzo Brown\brownlo01,West
Anthony Bennett\bennean01,West
Josh Smith\smithjo03,West
John Salmons\salmojo01,West
Jeff Green\greenje02,West
Rajon Rondo\rondora01,West
Trevor Booker\booketr01,West
Dwight Buycks\buyckdw01,West
Miroslav Raduljica\radulmi01,West
Thaddeus Young\youngth01,West
Jason Terry\terryja01,West
Tyson Chandler\chandty01,West
Raymond Felton\feltora01,West
Arron Afflalo\afflaar01,West
Chris Johnson\johnsch04,West
Trevor Ariza\arizatr01,West
Toney Douglas\douglto01,West
Jameer Nelson\nelsoja01,West
Ekpe Udoh\udohek01,West
Jeff Adrien\adrieje01,West
Elliot Williams\williel01,West
Vander Blue\blueva01,West
Ronnie Price\pricero01,West
Dion Waiters\waitedi01,West
Spencer Hawes\hawessp01,West
Alonzo Gee\geeal01,West
Ramon Sessions\sessira01,West
Glen Davis\davisgl01,West
Reggie Evans\evansre01,West
Steve Novak\novakst01,West
