Values,Moved_to
Cliff Robinson\robincl01,East
Dudley Bradley\bradldu01,East
Larry Spriggs\sprigla01,East
Ernie Grunfeld\grunfer01,East
Charlie Criss\crissch01,East
Mark Olberding\olberma01,East
Bernard King*\kingbe01,East
Jim Smith\smithji01,East
John Duren\durenjo01,East
Truck Robinson\robintr01,East
Moses Malone*\malonmo01,East
Jawann Oldham\oldhaja01,East
George Johnson\johnsge02,East
Billy Ray Bates\batesbi01,East
Armond Hill\hillar01,East
Phil Ford\fordph01,East
Mike Bratz\bratzmi01,East
Dave Corzine\corzida01,East
World B. Free\freewo01,East
Carl Nicks\nicksca01,East
Jeff Judkins\judkije01,West
Terry Duerod\duerote01,West
John Drew\drewjo01,West
Randy Smith\smithra01,West
Ron Brewer\brewero01,West
Lowes Moore\moorelo01,West
Pat Cummings\cummipa01,West
Joe Cooper\coopejo01,West
Mike Evans\evansmi01,West
Maurice Lucas\lucasma01,West
Caldwell Jones\jonesca01,West
Don Buse\busedo01,West
James Bailey\baileja01,West
Robert Smith\smithro01,West
Ray Williams\willira01,West
Geoff Crompton\crompge01,West
James Edwards\edwarja01,West
Micheal Ray Richardson\richami01,West
Artis Gilmore*\gilmoar01,West
Coby Dietrick\dietrco01,West
Lionel Hollins\hollili01,West
Kenny Carr\carrke01,West
