Values,Moved_to
Greg Grant\grantgr01,East
Pervis Ellison\ellispe01,East
Frank Brickowski\brickfr01,East
Micheal Williams\willimi02,East
Tim McCormick\mccorti01,East
Dell Curry\curryde01,East
Eric Leckner\leckner01,East
Gary Leonard\leonaga01,East
Muggsy Bogues\boguemu01,East
Dave Hoppen\hoppeda01,East
Rex Chapman\chapmre01,East
Byron Irvin\irvinby01,East
Drazen Petrovic*\petrodr01,East
Danny Schayes\schayda01,East
Andre Turner\turnean01,East
Kelly Tripucka\tripuke01,East
Derrick Chievous\chievde01,East
Stuart Gray\grayst01,East
Robert Reid\reidro01,East
Adrian Dantley*\dantlad01,East
Manute Bol\bolma01,East
Kenny Gattison\gattike01,East
Armen Gilliam\gilliar01,East
Maurice Cheeks*\cheekma01,East
J.R. Reid\reidjr01,East
Ed Nealy\nealyed01,West
Sam Vincent\vincesa01,West
Scott Brooks\brooksc01,West
Terry Catledge\catlete01,West
Rod Strickland\stricro02,West
Sidney Green\greensi02,West
Scott Skiles\skilesc01,West
Steve Colter\coltest01,West
Morlon Wiley\wileymo01,West
Nick Anderson\anderni01,West
Mark Acres\acresma01,West
Pat Cummings\cummipa01,West
Greg Anderson\andergr01,West
Bob Thornton\thornbo01,West
Dave Greenwood\greenda01,West
Corey Gaines\gaineco01,West
Jeff Turner\turneje01,West
Otis Smith\smithot01,West
Jeff Malone\malonje01,West
Pete Myers\myerspe01,West
Paul Mokeski\mokespa01,West
Tony Brown\brownto01,West
Jerry Reynolds\reynoje01,West
Paul Pressey\presspa01,West
Reggie Williams\willire01,West
Clifford Lett\lettcl01,West
Greg Butler\butlegr01,West
Michael Ansley\anslemi01,West
Rory Sparrow\sparrro01,West
Dave Corzine\corzida01,West
Antoine Carr\carran01,West
Anthony Mason\masonan01,West
Joe Barry Carroll\carrojo01,West
Leon Wood\woodle01,West
