Values,Moved_to
Sam Vincent\vincesa01,East
Bob Hansen\hansebo01,East
Terry Catledge\catlete01,East
Dave Feitl\feitlda01,East
Scott Skiles\skilesc01,East
Sean Higgins\higgise01,East
Morlon Wiley\wileymo01,East
Nick Anderson\anderni01,East
Mark Acres\acresma01,East
Greg Kite\kitegr01,East
Ralph Sampson*\sampsra01,East
Jeff Turner\turneje01,East
Otis Smith\smithot01,East
Blair Rasmussen\rasmubl01,East
David Wingate\wingada01,East
Orlando Woolridge\woolror01,East
Tony Massenburg\masseto01,East
Jerry Reynolds\reynoje01,East
Kennard Winchester\winchke01,East
Dale Ellis\ellisda01,East
Michael Ansley\anslemi01,East
Kevin Pritchard\pritcke01,East
Dennis Scott\scottde01,East
Larry Robinson\robinla01,East
Travis Mays\maystr01,East
Anthony Frederick\fredean01,East
Xavier McDaniel\mcdanxa01,East
Kenny Battle\battlke01,East
Anthony Mason\masonan01,East
Michael Adams\adamsmi01,East
Jack Haley\haleyja01,West
Steve Scheffler\schefst01,West
Billy Thompson\thompbi01,West
Terry Davis\daviste01,West
Dennis Hopson\hopsode01,West
James Edwards\edwarja01,West
Tree Rollins\rollitr01,West
Scott Hastings\hastisc01,West
Jerrod Mustaf\mustaje01,West
Jud Buechler\buechju01,West
Vinnie Johnson\johnsvi01,West
Trent Tucker\tucketr01,West
Gerald Henderson\hendege01,West
Ricky Pierce\piercri01,West
Doc Rivers\riverdo01,West
Spud Webb\webbsp01,West
Chucky Brown\brownch01,West
