Values,Moved_to
Chauncey Billups\billuch01,East
Antonio Harvey\harvean01,East
Bryon Russell\russebr01,East
Tony Delk\delkto01,East
Robert Pack\packro01,East
Mark Bryant\bryanma01,East
Greg Buckner\buckngr01,East
Darius Miles\milesda01,East
Olumide Oyedeji\oyedeol01,East
Randy Livingston\livinra01,East
Donyell Marshall\marshdo01,East
Rodney Rogers\rogerro01,East
Voshon Lenard\lenarvo01,East
Amal McCaskill\mccasam01,East
Zendon Hamilton\hamilze01,East
Vin Baker\bakervi01,East
Kenny Thomas\thomake01,East
Larry Hughes\hughela01,East
Shawn Kemp\kempsh01,East
Rick Brunson\brunsri01,East
Grant Long\longgr01,East
Lindsey Hunter\hunteli01,East
Danny Manning\mannida01,East
Tierre Brown\brownti01,East
Tim Hardaway\hardati01,East
Shammond Williams\willish01,East
Art Long\longar01,East
Jelani McCoy\mccoyje01,East
Marcus Camby\cambyma01,West
Randy Brown\brownra02,West
Vitaly Potapenko\potapvi01,West
Mark Blount\blounma01,West
Wesley Person\persowe01,West
Rod Strickland\stricro02,West
A.J. Guyton\guytoaj01,West
Mark Jackson\jacksma01,West
Chris Whitney\whitnch01,West
Troy Hudson\hudsotr01,West
Damon Jones\jonesda01,West
Speedy Claxton\claxtsp01,West
Matt Harpring\harprma01,West
Mark Strickland\stricma01,West
Andre Miller\millean02,West
Kendall Gill\gillke01,West
Reggie Slater\slatere01,West
Keon Clark\clarkke01,West
Rodney White\whitero02,West
Joe Johnson\johnsjo02,West
Tracy Murray\murratr01,West
Popeye Jones\jonespo01,West
Kenny Anderson\anderke01,West
Jeff Trepagnier\trepaje01,West
Jim Jackson\jacksji01,West
Joseph Forte\fortejo01,West
Raja Bell\bellra01,West
