Values,Moved_to
Rick Barry*\barryri01,East
Al Skinner\skinnal01,East
Dan Roundfield\roundda01,East
Eric Money\moneyer01,East
Ben Poquette\poquebe01,East
Rickey Green\greenri01,East
Leon Douglas\douglle01,East
Ralph Simpson\simpsra01,East
Bobby Jones\jonesbo01,East
Marvin Webster\webstma01,East
E.C. Coleman\colemec01,East
Earl Tatum\tatumea01,East
M.L. Carr\carrml01,East
Bob Lanier*\laniebo01,East
Jacky Dorsey\dorseja01,East
Chris Ford\fordch01,East
John Williamson\willijo01,East
Swen Nater\natersw01,West
Ted McClain\mcclate01,West
Randy Smith\smithra01,West
Kevin Stacom\stacoke01,West
Ollie Johnson\johnsol01,West
George McGinnis*\mcginge01,West
John Lucas\lucasjo01,West
Kermit Washington\washike01,West
Scott Lloyd\lloydsc01,West
Kim Hughes\hugheki01,West
Kevin Kunnert\kunneke01,West
Bob Bigelow\bigelbo01,West
Sidney Wicks\wickssi01,West
John Brown\brownjo01,West
Dick Snyder\snydedi01,West
Jim McMillian\mcmilji01,West
Tom Boswell\bosweto01,West
Tony Robertson\roberto01,West
Darnell Hillman\hillmda01,West
World B. Free\freewo01,West
Lonnie Shelton\sheltlo01,West
