Values,Moved_to
Viktor Khryapa\khryavi01,East
Dijon Thompson\thompdi01,East
Ronald Dupree\duprero01,East
David Wesley\wesleda01,East
Bostjan Nachbar\nachbbo01,East
Mike Dunleavy\dunlemi02,East
Ronald Murray\murraro01,East
Sebastian Telfair\telfase01,East
Eddie Jones\jonesed02,East
Eddie House\houseed01,East
Nazr Mohammed\mohamna01,East
Julius Hodge\hodgeju01,East
Rasho Nesterovic\nestera01,East
Speedy Claxton\claxtsp01,East
Rawle Marshall\marshra01,East
Earl Boykins\boykiea01,East
Darrell Armstrong\armstda01,East
Wally Szczerbiak\szczewa02,East
Marquis Daniels\daniema01,East
Troy Murphy\murphtr01,East
Andre Miller\millean02,East
Ruben Patterson\patteru01,East
Adrian Griffin\griffad01,East
P.J. Brown\brownpj01,East
Lorenzen Wright\wrighlo02,East
Mikki Moore\mooremi01,East
Stanislav Medvedenko\medvest01,East
Kris Humphries\humphkr01,East
Brian Skinner\skinnbr01,East
Michael Olowokandi\olowomi01,East
Ike Diogu\dioguik01,East
Theo Ratliff\ratlith01,East
Eric Piatkowski\piatker01,West
Ime Udoka\udokaim01,West
Luke Schenscher\schenlu01,West
Ricky Davis\davisri01,West
Mike James\jamesmi01,West
Randy Livingston\livinra01,West
Anthony Johnson\johnsan02,West
Jalen Rose\roseja01,West
Al Harrington\harrial01,West
John Salmons\salmojo01,West
Peja Stojakovic\stojape01,West
Scott Padgett\padgesc01,West
Allen Iverson*\iversal01,West
Jannero Pargo\pargoja01,West
Tyson Chandler\chandty01,West
Maurice Taylor\tayloma01,West
Stephen Jackson\jacksst02,West
Mike Wilks\wilksmi01,West
Maurice Evans\evansma01,West
Marc Jackson\jacksma02,West
Matt Barnes\barnema02,West
Eric Williams\willier01,West
Stephen Graham\grahast01,West
Alvin Williams\willial02,West
Austin Croshere\croshau01,West
Raef LaFrentz\lafrera01,West
Jacque Vaughn\vaughja01,West
Jackie Butler\butleja01,West
Jamaal Magloire\magloja01,West
Rafael Araujo\araujra01,West
Dan Dickau\dickada01,West
Jumaine Jones\jonesju01,West
Matt Bonner\bonnema01,West
