Values,Moved_to
Ed Nealy\nealyed01,East
Jon Sundvold\sundvjo01,East
Joe Kleine\kleinjo01,East
Kevin Edwards\edwarke01,East
Billy Thompson\thompbi01,East
Morlon Wiley\wileymo01,East
Pat Cummings\cummipa01,East
Greg Anderson\andergr01,East
Dave Greenwood\greenda01,East
Ed Pinckney\pincked01,East
Detlef Schrempf\schrede01,East
Otis Smith\smithot01,East
Calvin Natt\nattca01,East
Grant Long\longgr01,East
Purvis Short\shortpu01,East
Sam Bowie\bowiesa01,East
Jerry Reynolds\reynoje01,East
Scott Hastings\hastisc01,East
Reggie Williams\willire01,East
Steve Kerr\kerrst01,East
Rory Sparrow\sparrro01,East
Alvin Robertson\roberal01,East
Rony Seikaly\seikaro01,East
Johnny Dawkins\dawkijo01,East
Mark Aguirre\aguirma01,East
LaSalle Thompson\thompla01,East
Tellis Frank\frankte01,East
Kurt Rambis\rambiku01,West
Chris Welp\welpch01,West
Mike McGee\mcgeemi01,West
Micheal Williams\willimi02,West
Terry Cummings\cummite01,West
Dell Curry\curryde01,West
Kelvin Upshaw\upshake01,West
Wayman Tisdale\tisdawa01,West
Muggsy Bogues\boguemu01,West
Dave Hoppen\hoppeda01,West
Rex Chapman\chapmre01,West
Danny Ainge\aingeda01,West
Buck Williams\willibu01,West
Ron Harper\harpero01,West
Herb Williams\willihe01,West
Andre Turner\turnean01,West
Kelly Tripucka\tripuke01,West
David Wingate\wingada01,West
Mike Holton\holtomi01,West
Stuart Gray\grayst01,West
Robert Reid\reidro01,West
Randy Breuer\breuera01,West
Adrian Dantley*\dantlad01,West
Brian Rowsom\rowsobr01,West
Maurice Cheeks*\cheekma01,West
Tom Tolbert\tolbeto01,West
Brad Sellers\sellebr01,West
Steve Harris\harrist01,West
Sidney Lowe\lowesi01,West
Tim Kempton\kemptti01,West
