Values,Moved_to
Aaron Williams\williaa01,East
Sleepy Floyd\floydsl01,East
Luc Longley\longllu01,East
Jaren Jackson\jacksja01,East
Mark Jackson\jacksma01,East
Jud Buechler\buechju01,East
Greg Dreiling\dreilgr01,East
Mark West\westma01,East
Doug Christie\chrisdo01,East
Jeff Grayer\grayeje01,East
Tyrone Corbin\corbity01,East
Billy Owens\owensbi01,East
Michael Cage\cagemi01,East
Ron Harper\harpero01,East
Jeff Malone\malonje01,East
Alphonso Ford\fordal01,East
Oliver Miller\milleol01,East
Chris Webber\webbech01,East
Negele Knight\knighne01,East
Tony Campbell\campbto01,East
Jim Les\lesji01,East
John Williams\willijo02,East
Mike Peplowski\peplomi01,East
Tom Tolbert\tolbeto01,East
Alaa Abdelnaby\abdelal01,West
Charles Jones\jonesch01,West
Olden Polynice\polynol01,West
Rod Higgins\higgiro01,West
Greg Foster\fostegr01,West
Tom Gugliotta\guglito01,West
Pooh Richardson\richapo01,West
Malik Sealy\sealyma01,West
Adam Keefe\keefead01,West
Doc Rivers\riverdo01,West
Danny Schayes\schayda01,West
Stacey King\kingst01,West
Steve Henson\hensost01,West
Moses Malone*\malonmo01,West
Bill Cartwright\cartwbi01,West
Jeff Hornacek\hornaje01,West
Manute Bol\bolma01,West
Rony Seikaly\seikaro01,West
David Wood\woodda01,West
Lester Conner\connele01,West
Blue Edwards\edwarbl01,West
Sean Elliott\elliose01,West
