Values,Moved_to
Marcus Banks\banksma01,East
Javaris Crittenton\crittja01,East
Tarence Kinsey\kinseta01,East
Mike James\jamesmi01,East
Donyell Marshall\marshdo01,East
Elton Brand\brandel01,East
Shawn Marion\mariosh01,East
Al Harrington\harrial01,East
Juwan Howard\howarju01,East
Allen Iverson*\iversal01,East
Andre Brown\brownan01,East
Francisco Elson\elsonfr01,East
Luke Ridnour\ridnolu01,East
Yakhouba Diawara\diawaya01,East
Jarrett Jack\jackja01,East
Trenton Hassell\hassetr01,East
Devin Harris\harride01,East
Wally Szczerbiak\szczewa02,East
Mickael Pietrus\pietrmi01,East
Delonte West\westde01,East
Boris Diaw\diawbo01,East
Josh McRoberts\mcrobjo01,East
Tim Thomas\thomati01,East
James Jones\jonesja02,East
DeSagana Diop\diopde01,East
Eduardo Najera\najered01,East
Austin Croshere\croshau01,East
Kwame Brown\brownkw01,East
Linton Johnson\johnsli01,East
Patrick O'Bryant\obryapa01,East
Raja Bell\bellra01,East
Chauncey Billups\billuch01,West
Blake Ahearn\ahearbl01,West
James Posey\poseyja01,West
Desmond Mason\masonde01,West
Antoine Wright\wrighan01,West
Ricky Davis\davisri01,West
Jermareo Davidson\davidje01,West
Rodney Carney\carnero01,West
Ryan Hollins\holliry01,West
Nenad Krstic\krstine01,West
Marcus Williams\willima03,West
Joe Smith\smithjo02,West
Renaldo Balkman\balkmre01,West
Roger Mason\masonro01,West
Malik Rose\rosema01,West
Jared Dudley\dudleja01,West
Kevin Ollie\ollieke01,West
Calvin Booth\boothca01,West
Jason Collins\collija04,West
Courtney Sims\simsco01,West
Jamal Crawford\crawfja01,West
Shelden Williams\willish02,West
Jason Richardson\richaja01,West
Fred Jones\jonesfr01,West
Jason Kidd*\kiddja01,West
Zach Randolph\randoza01,West
Mardy Collins\collima01,West
Shavlik Randolph\randosh01,West
Michael Ruffin\ruffimi01,West
Lou Amundson\amundlo01,West
Antonio Daniels\daniean01,West
Shaquille O'Neal*\onealsh01,West
Cheikh Samb\sambch01,West
Ike Diogu\dioguik01,West
Devin Brown\brownde02,West
Shawne Williams\willish03,West
