Values,Moved_to
George Johnson\johnsge03,East
Richard Washington\washiri01,East
Scott May\maysc01,East
Bob Wilkerson\wilkebo01,East
Kent Benson\bensoke01,East
Mack Calvin\calvima01,East
Marques Johnson\johnsma01,East
Don Ford\forddo01,East
Ollie Johnson\johnsol01,East
George McGinnis*\mcginge01,East
Anthony Roberts\roberan01,East
Pat Cummings\cummipa01,East
Robert Parish*\parisro01,East
Dave Greenwood\greenda01,East
Quinn Buckner\bucknqu01,East
Maurice Lucas\lucasma01,East
Sidney Moncrief\moncrsi01,East
Kim Hughes\hugheki01,East
Don Buse\busedo01,East
Reggie Theus\theusre01,East
Tom Burleson\burleto01,East
Tom Abernethy\abernto01,East
Mike Bratz\bratzmi01,East
Artis Gilmore*\gilmoar01,East
Dwight Jones\jonesdw01,East
Harvey Catchings\catchha01,East
Coby Dietrick\dietrco01,East
Len Elmore\elmorle01,East
Brian Winters\wintebr01,East
Ricky Sobers\soberri01,East
Junior Bridgeman\bridgju01,East
Jeff Judkins\judkije01,West
Eddie Jordan\jordaed01,West
George Gervin*\gervige01,West
Rudy Tomjanovich\tomjaru01,West
John Shumate\shumajo01,West
Billy Paultz\paultbi01,West
Jim Spanarkel\spanaji01,West
Phil Chenier\cheniph01,West
Bill Willoughby\willobi01,West
Major Jones\jonesma01,West
Roy Hamilton\hamilro01,West
Rich Kelley\kelleri01,West
James Silas\silasja01,West
Mark Olberding\olberma01,West
Kevin Restani\restake01,West
Calvin Murphy*\murphca01,West
Winford Boynes\boynewi01,West
Paul Griffin\griffpa01,West
Joe Hassett\hassejo01,West
Joe Meriweather\meriwjo01,West
Mike Gale\galemi01,West
Moses Malone*\malonmo01,West
John Lambert\lambejo01,West
George Johnson\johnsge02,West
Calvin Natt\nattca01,West
Tom Henderson\hendeto01,West
Dave Robisch\robisda01,West
Robert Reid\reidro01,West
Armond Hill\hillar01,West
Rudy White\whiteru01,West
Allen Leavell\leaveal01,West
Alex English*\englial01,West
Mike Dunleavy\dunlemi01,West
Dave Corzine\corzida01,West
Leon Douglas\douglle01,West
Geoff Huston\hustoge01,West
Henry Bibby\bibbyhe01,West
