Values,Moved_to
Chris Engler\englech01,East
Terry Cummings\cummite01,East
Ron Brewer\brewero01,East
Craig Hodges\hodgecr01,East
Major Jones\jonesma01,East
Jerry Eaves\eavesje01,East
Gus Williams\willigu01,East
Bill Garnett\garnebi02,East
Mark West\westma01,East
Don Collins\collido02,East
Pat Cummings\cummipa01,East
Steve Hayes\hayesst01,East
Ricky Pierce\piercri01,East
Caldwell Jones\jonesca01,East
Greg Kelser\kelsegr01,East
James Bailey\baileja01,East
Edgar Jones\jonesed01,East
Steve Johnson\johnsst03,East
Kevin Williams\willike01,East
Reggie Theus\theusre01,West
Wallace Bryant\bryanwa01,West
Joe Kopicki\kopicjo01,West
Ronnie Lester\lestero01,West
Bryan Warrick\warribr01,West
Junior Bridgeman\bridgju01,West
Mitchell Wiggins\wiggimi01,West
Harvey Catchings\catchha01,West
Marques Johnson\johnsma01,West
Billy Paultz\paultbi01,West
Linton Townes\towneli01,West
Gerald Henderson\hendege01,West
Jeff Cook\cookje01,West
Lionel Hollins\hollili01,West
Ricky Sobers\soberri01,West
Franklin Edwards\edwarfr01,West
Marc Iavaroni\iavarma01,West
