Values,Moved_to
Troy Williams\willitr02,East
Darren Collison\collida01,East
Derrick Jones\jonesde02,East
James Michael McAdoo\mcadoja01,East
Zach LaVine\lavinza01,East
David Nwaba\nwabada01,East
Kris Dunn\dunnkr01,East
Domantas Sabonis\sabondo01,East
Allen Crabbe\crabbal01,East
Jose Calderon\caldejo01,East
Dewayne Dedmon\dedmode01,East
Johnny O'Bryant\obryajo01,East
Anthony Tolliver\tollian01,East
Tim Frazier\fraziti01,East
Jonathon Simmons\simmojo02,East
Marreese Speights\speigma01,East
Jonathan Gibson\gibsojo01,East
Justin Anderson\anderju01,East
Joel Bolomboy\bolomjo01,East
Adreian Payne\paynead01,East
D'Angelo Russell\russeda01,East
Shelvin Mack\macksh01,East
J.J. Redick\redicjj01,East
Jarrett Jack\jackja01,East
Arron Afflalo\afflaar01,East
Gordon Hayward\haywago01,East
Timofey Mozgov\mozgoti01,East
Cameron Payne\payneca01,East
Langston Galloway\gallola01,East
Jarell Eddie\eddieja01,East
Isaiah Taylor\taylois01,East
Enes Kanter\kanteen01,East
Victor Oladipo\oladivi01,East
Nicolas Brussino\brussni01,East
Lance Stephenson\stephla01,East
Eric Bledsoe\bledser01,East
Aaron Brooks\brookaa01,West
Carmelo Anthony\anthoca01,West
Danuel House\houseda01,West
Paul George\georgpa01,West
Jeff Teague\teaguje01,West
Marcus Georges-Hunt\georgma01,West
Georges Niang\niangge01,West
Rajon Rondo\rondora01,West
Darrun Hilliard\hillida01,West
Briante Weber\weberbr01,West
Kentavious Caldwell-Pope\caldwke01,West
Gerald Green\greenge01,West
Derrick Williams\willide02,West
R.J. Hunter\hunterj01,West
Nikola Mirotic\mirotni01,West
Jimmy Butler\butleji01,West
Isaiah Canaan\canaais01,West
Nerlens Noel\noelne01,West
Richard Jefferson\jefferi01,West
Patrick Patterson\pattepa01,West
Josh McRoberts\mcrobjo01,West
Jonas Jerebko\jerebjo01,West
Brook Lopez\lopezbr01,West
Boban Marjanovic\marjabo01,West
Willie Reed\reedwi02,West
Demetrius Jackson\jacksde01,West
Aaron Harrison\harriaa01,West
Thabo Sefolosha\sefolth01,West
Taj Gibson\gibsota01,West
Bruno Caboclo\cabocbr01,West
Isaiah Thomas\thomais02,West
Paul Millsap\millspa01,West
