Values,Moved_to
Marcus Liberty\liberma01,East
Kevin Duckworth\duckwke01,East
Rod Higgins\higgiro01,East
Benoit Benjamin\benjabe01,East
Dave Johnson\johnsda01,East
Derrick McKey\mckeyde01,East
Derek Harper\harpede01,East
Isaac Austin\austiis01,East
Byron Scott\scottby01,East
Gerald Paddio\paddige01,East
Dana Barros\barroda01,East
Anthony Bonner\bonnean01,East
Tree Rollins\rollitr01,East
Eddie Johnson\johnsed03,East
Sean Elliott\elliose01,East
Larry Krystkowiak\krystla01,East
David Wood\woodda01,East
Tyrone Hill\hillty01,East
Ken Norman\normake01,East
Marty Conlon\conloma01,East
Lester Conner\connele01,East
Tracy Moore\mooretr01,East
Mark Macon\maconma01,East
Tim Kempton\kemptti01,East
Joe Kleine\kleinjo01,West
LaBradford Smith\smithla02,West
Harvey Grant\grantha01,West
Greg Dreiling\dreilgr01,West
Lorenzo Williams\willilo01,West
Detlef Schrempf\schrede01,West
Chris Dudley\dudlech02,West
Sam Bowie\bowiesa01,West
Randy Breuer\breuera01,West
Kendall Gill\gillke01,West
Tony Campbell\campbto01,West
Mark Randall\randama01,West
Dennis Rodman*\rodmade01,West
Larry Robinson\robinla01,West
Tom Tolbert\tolbeto01,West
Corey Williams\willico01,West
Mark Aguirre\aguirma01,West
Bison Dele\delebi01,West
Chucky Brown\brownch01,West
