Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
1,Kareem Abdul-Jabbar*\abdulka01,C,29,LAL,82,3016,27.8,0.608,,0.35,9.2,27.2,18.4,16.8,1.5,4.4,,,11.9,5.9,17.8,0.28300000000000003,7.7,3.0,10.8,9.7,West
2,Bob Lanier*\laniebo01,C,28,DET,64,2446,23.0,0.573,,0.251,8.5,23.1,15.8,12.9,1.3,2.7,,,7.5,2.8,10.3,0.203,4.6,1.2,5.8,4.8,East
3,Bill Walton*\waltobi01,C,24,POR,65,2264,22.9,0.563,,0.35200000000000004,9.8,32.3,21.2,15.4,1.3,5.0,,,5.4,4.8,10.2,0.215,2.9,4.1,7.0,5.1,West
4,Bob McAdoo*\mcadobo01,C,25,TOT,72,2798,21.8,0.557,,0.35700000000000004,7.5,26.6,17.2,11.5,1.2,1.8,,,5.8,3.8,9.6,0.16399999999999998,3.0,0.3,3.4,3.8,NaN
5,Artis Gilmore*\gilmoar01,C,27,CHI,82,2877,21.6,0.5660000000000001,,0.537,11.2,27.7,19.4,11.1,0.7,3.9,,,6.7,5.5,12.2,0.203,2.8,2.1,5.0,5.1,West
6,George Gervin*\gervige01,SF,24,SAS,82,2705,21.4,0.604,,0.39899999999999997,5.2,12.0,8.6,13.1,1.7,1.9,,,8.7,1.8,10.5,0.187,4.8,-1.0,3.8,4.0,East
7,Paul Westphal\westppa01,PG,26,PHO,81,2600,21.4,0.5710000000000001,,0.33299999999999996,2.4,5.5,3.9,29.4,2.3,0.4,,,6.9,2.7,9.6,0.17800000000000002,5.5,-1.4,4.1,4.0,West
8,Dan Issel*\isselda01,C,28,DEN,79,2507,21.2,0.578,,0.435,8.8,19.3,14.2,11.0,1.6,0.6,,,7.1,3.8,10.9,0.20800000000000002,3.5,-0.4,3.1,3.2,West
9,Bobby Jones\jonesbo01,PF,25,DEN,82,2419,21.1,0.605,,0.374,7.5,20.8,14.3,15.6,3.3,3.4,,,5.5,5.5,11.0,0.21899999999999997,3.1,4.6,7.7,6.0,West
10,Julius Erving*\ervinju01,SF,26,PHI,82,2940,20.9,0.5529999999999999,,0.375,6.9,16.2,11.8,15.9,2.4,1.9,,,6.8,4.8,11.5,0.188,3.3,1.6,4.9,5.1,East
11,George McGinnis*\mcginge01,PF,26,PHI,79,2769,20.8,0.503,,0.379,12.4,20.1,16.5,16.8,2.6,0.7,,,3.7,4.9,8.6,0.149,3.2,1.2,4.5,4.5,East
12,Dean Tolson\tolsode01,PF,25,SEA,60,587,20.8,0.575,,0.657,12.3,15.4,13.8,7.2,2.4,1.9,,,1.2,0.8,2.0,0.166,2.7,-0.9,1.9,0.6,West
13,Alvan Adams\adamsal01,C,22,PHO,72,2278,20.2,0.519,,0.303,8.5,22.3,15.4,22.3,1.9,2.1,,,2.3,4.0,6.3,0.134,3.1,2.6,5.7,4.4,West
14,John Drew\drewjo01,SF,22,ATL,74,2688,20.2,0.536,,0.40700000000000003,10.9,15.9,13.4,8.6,1.7,0.6,,,5.7,2.2,7.9,0.142,3.5,-1.3,2.2,2.9,East
15,Billy Knight\knighbi01,SF,24,IND,78,3117,20.1,0.5429999999999999,,0.3,6.8,11.5,9.1,13.4,1.7,0.3,,,8.8,1.9,10.7,0.16399999999999998,4.5,-1.4,3.1,4.0,West
16,Elvin Hayes*\hayesel01,PF,31,WSB,82,3364,19.8,0.544,,0.405,9.0,22.1,15.7,7.1,1.2,3.3,,,6.6,5.5,12.1,0.17300000000000001,1.9,1.5,3.4,4.6,East
17,Larry Kenon\kenonla01,PF,24,SAS,78,2936,19.8,0.536,,0.248,10.0,20.7,15.4,11.2,2.4,1.0,,,6.2,3.3,9.5,0.155,2.5,0.5,2.9,3.7,East
18,Moses Malone*\malonmo01,C,21,TOT,82,2506,19.8,0.54,,0.5429999999999999,19.8,26.7,23.4,4.8,1.3,3.9,,,5.4,3.3,8.7,0.16699999999999998,2.2,0.6,2.7,3.0,NaN
19,Pete Maravich*\maravpe01,SG,29,NOJ,73,3041,19.8,0.49200000000000005,,0.293,2.9,8.9,6.0,22.3,1.2,0.4,,,4.2,2.2,6.4,0.10099999999999999,3.6,-1.8,1.8,2.9,East
20,David Thompson*\thompda01,SG,22,DEN,82,3001,19.8,0.5589999999999999,,0.38299999999999995,4.8,6.5,5.7,17.7,1.6,0.9,,,7.6,3.1,10.7,0.172,3.9,-1.0,2.9,3.7,West
21,Larry McNeill\mcneila01,PF,26,TOT,24,230,19.6,0.526,,0.545,12.0,21.1,16.5,4.0,2.0,0.5,,,0.4,0.3,0.7,0.15,-0.1,-4.1,-4.3,-0.1,NaN
22,Tiny Archibald*\architi01,PG,28,NYN,34,1277,19.4,0.52,,0.44799999999999995,1.7,4.8,3.2,33.8,2.1,0.5,,,1.8,1.0,2.8,0.10400000000000001,4.1,-1.9,2.2,1.4,East
23,Rick Barry*\barryri01,SF,32,GSW,79,2904,19.3,0.5,,0.253,2.5,12.2,7.3,23.2,2.6,1.0,,,5.1,3.3,8.4,0.139,2.6,0.4,3.0,3.7,West
24,Mitch Kupchak\kupchmi01,C,22,WSB,82,1513,19.3,0.605,,0.413,12.7,20.7,16.8,6.2,0.7,1.1,,,4.1,1.9,5.9,0.188,2.6,-1.4,1.2,1.2,East
25,Robert Parish*\parisro01,C,23,GSW,77,1384,19.3,0.5379999999999999,,0.298,14.6,25.1,19.8,7.3,1.8,3.5,,,2.5,2.3,4.8,0.16699999999999998,0.9,0.6,1.5,1.2,West
26,Swen Nater\natersw01,C,27,MIL,72,1960,19.1,0.568,,0.314,14.0,31.8,22.8,7.5,1.2,1.3,,,4.5,2.4,6.9,0.168,1.5,-0.2,1.4,1.7,West
27,Adrian Dantley*\dantlad01,SF,20,BUF,77,2816,18.3,0.601,,0.556,8.9,12.1,10.5,7.7,1.4,0.3,,,8.2,1.6,9.8,0.16699999999999998,3.5,-1.1,2.5,3.2,East
28,Maurice Lucas\lucasma01,PF,24,POR,79,2863,18.3,0.516,,0.32299999999999995,9.9,22.2,16.2,11.5,1.3,1.0,,,4.9,3.9,8.7,0.147,1.6,0.1,1.8,2.7,West
29,Bubbles Hawkins\hawkiro01,SG,22,NYN,52,1481,18.2,0.48700000000000004,,0.31,4.4,6.3,5.3,12.3,2.4,1.0,,,0.5,1.4,1.9,0.063,1.4,-2.2,-0.8,0.5,East
30,Earl Monroe*\monroea01,SG,32,NYK,77,2656,18.1,0.569,,0.309,1.8,6.9,4.4,19.8,1.5,0.4,,,6.2,1.6,7.8,0.141,3.2,-1.3,1.9,2.6,East
31,Rudy Tomjanovich\tomjaru01,PF,28,HOU,81,3130,17.9,0.552,,0.23800000000000002,6.2,17.2,11.9,8.3,0.9,0.5,,,8.8,1.5,10.4,0.159,2.1,-1.3,0.8,2.2,East
32,Mickey Johnson\johnsmi01,PF,24,CHI,81,2847,17.6,0.506,,0.33799999999999997,10.7,19.6,15.1,10.8,1.7,1.3,,,3.9,4.5,8.5,0.14300000000000002,1.3,1.0,2.3,3.1,West
33,Rich Kelley\kelleri01,C,23,NOJ,76,1505,17.6,0.5539999999999999,,0.51,13.7,23.9,18.9,18.5,1.3,2.1,,,1.9,2.4,4.3,0.138,2.1,2.6,4.7,2.6,East
34,Dan Roundfield\roundda01,PF,23,IND,61,1645,17.6,0.505,,0.326,10.3,20.6,15.3,6.1,1.7,4.1,,,1.7,2.2,3.9,0.115,-0.5,0.3,-0.2,0.8,West
35,Randy Smith\smithra01,SG,28,BUF,82,3094,17.6,0.507,,0.257,4.3,10.6,7.4,22.8,2.5,0.1,,,3.9,2.5,6.4,0.099,2.9,0.0,2.9,3.8,East
36,Brian Taylor\taylobr01,PG,25,KCK,72,2488,17.6,0.55,,0.276,3.5,6.5,5.0,18.5,3.6,0.4,,,5.1,2.8,7.9,0.152,3.0,0.7,3.7,3.6,West
37,Ron Boone\boonero01,SG,30,KCK,82,3021,17.5,0.521,,0.244,4.2,6.9,5.5,17.2,1.8,0.3,,,6.1,2.0,8.1,0.128,2.8,-1.5,1.3,2.5,West
38,Bob Dandridge\dandrbo01,SF,29,MIL,70,2501,17.5,0.514,,0.293,6.0,12.2,9.1,15.4,1.7,0.6,,,4.2,1.2,5.4,0.10400000000000001,2.5,-0.8,1.7,2.4,West
39,Fred Brown\brownfr01,SG,28,SEA,72,2098,17.4,0.516,,0.171,3.2,8.4,5.7,13.7,2.7,0.5,,,3.9,2.2,6.1,0.14,1.3,-0.5,0.8,1.5,West
40,Calvin Murphy*\murphca01,PG,28,HOU,82,2764,17.4,0.542,,0.252,2.2,4.5,3.4,20.6,2.5,0.2,,,6.6,1.1,7.7,0.134,3.2,-1.6,1.6,2.5,East
41,Campy Russell\russeca02,SF,25,CLE,70,2109,17.3,0.49700000000000005,,0.369,6.7,13.7,10.1,13.5,1.6,0.6,,,3.2,2.3,5.5,0.126,2.2,-0.4,1.8,2.0,East
42,Truck Robinson\robintr01,PF,25,TOT,77,2777,17.1,0.526,,0.358,9.5,21.8,15.6,8.0,1.1,0.7,,,4.2,3.0,7.3,0.125,0.8,-0.3,0.5,1.7,NaN
43,James Silas\silasja01,PG,27,SAS,22,356,17.1,0.5529999999999999,,0.754,2.0,7.2,4.6,18.3,1.6,0.4,,,0.6,0.1,0.7,0.099,1.1,-3.5,-2.4,0.0,East
44,Mike Bantom\bantomi01,PF-SF,25,TOT,77,1909,16.8,0.531,,0.41100000000000003,9.4,16.1,12.6,8.4,1.5,1.4,,,2.6,2.2,4.8,0.12,0.7,-0.3,0.4,1.2,NaN
45,Dave Cowens*\cowenda01,C,28,BOS,50,1888,16.8,0.485,,0.262,7.7,28.3,18.1,18.8,1.1,1.3,,,1.1,3.3,4.4,0.113,0.4,3.0,3.4,2.6,East
46,Mickey Davis\davismi02,SF,26,MIL,19,165,16.8,0.513,,0.368,6.9,11.4,9.1,16.1,1.6,1.2,,,0.3,0.1,0.4,0.102,0.3,-1.5,-1.2,0.0,West
47,Jamaal Wilkes*\wilkeja01,PF,23,GSW,76,2579,16.8,0.523,,0.27,6.0,16.7,11.3,11.2,2.2,0.3,,,4.3,2.9,7.3,0.135,1.1,0.1,1.2,2.1,West
48,Doug Collins\collido01,SG,25,PHI,58,2037,16.7,0.569,,0.304,3.3,6.1,4.8,19.6,1.5,0.4,,,4.6,1.6,6.2,0.145,2.1,-1.2,0.9,1.5,East
49,Dennis Johnson*\johnsde01,SG,22,SEA,81,1667,16.7,0.541,,0.507,9.5,9.1,9.3,10.6,3.3,1.8,,,2.2,2.3,4.5,0.13,1.7,1.6,3.4,2.3,West
50,Lonnie Shelton\sheltlo01,PF,21,NYK,82,2104,16.7,0.511,,0.26899999999999996,11.2,20.2,15.8,9.6,2.6,2.4,,,1.2,3.4,4.6,0.105,0.7,2.0,2.8,2.5,East
51,Marvin Webster\webstma01,C,24,DEN,80,1276,16.7,0.542,,0.55,12.5,25.9,19.4,6.5,0.8,4.7,,,1.4,2.5,3.9,0.146,-1.9,1.6,-0.3,0.6,West
52,Walt Frazier*\fraziwa01,PG,31,NYK,76,2687,16.6,0.535,,0.309,2.1,9.2,5.7,20.6,2.2,0.2,,,3.8,2.3,6.1,0.10800000000000001,1.9,0.0,2.0,2.7,East
53,Brian Winters\wintebr01,SG,24,MIL,78,2717,16.6,0.5329999999999999,,0.185,2.4,6.4,4.4,18.0,1.9,0.5,,,5.2,0.8,6.0,0.106,2.3,-1.5,0.8,1.9,West
54,Darryl Dawkins\dawkida01,C,20,PHI,59,684,16.5,0.621,,0.36700000000000005,9.1,23.7,16.8,5.1,0.8,3.6,,,0.9,1.2,2.1,0.15,-1.1,-0.1,-1.1,0.2,East
55,Joe Pace\pacejo01,C,23,WSB,30,119,16.5,0.47200000000000003,,0.527,14.1,15.2,14.7,4.9,0.8,7.3,,,-0.1,0.2,0.1,0.054000000000000006,-2.1,-0.3,-2.4,0.0,East
56,Dave Robisch\robisda01,C,27,IND,80,1966,16.5,0.515,,0.316,8.2,19.4,13.7,11.4,1.3,1.0,,,3.2,1.8,5.0,0.122,0.2,-0.6,-0.4,0.8,West
57,Ricky Sobers\soberri01,SG,24,PHO,79,2005,16.5,0.557,,0.34700000000000003,4.4,8.1,6.3,18.1,2.1,0.4,,,3.0,2.2,5.3,0.126,1.9,-0.5,1.4,1.7,West
58,Earl Tatum\tatumea01,SG,23,LAL,68,1249,16.5,0.49,,0.165,6.9,12.2,9.6,13.5,3.1,0.9,,,0.9,1.7,2.6,0.10099999999999999,0.5,0.2,0.7,0.9,West
59,Sonny Parker\parkeso01,SF,21,GSW,65,889,16.4,0.57,,0.315,9.6,10.1,9.8,8.6,2.7,1.5,,,2.0,1.0,3.0,0.16,1.0,0.5,1.5,0.8,West
60,Zaid Abdul-Aziz\abdulza01,C,30,BUF,22,195,16.3,0.447,,0.581,21.1,25.5,23.3,5.0,0.7,2.3,,,0.1,0.2,0.3,0.078,-2.4,-2.7,-5.1,-0.2,East
61,Tom Burleson\burleto01,C,24,SEA,82,1803,16.3,0.507,,0.462,10.1,21.8,15.7,7.3,1.8,3.5,,,1.4,3.0,4.4,0.11699999999999999,-1.0,1.5,0.5,1.1,West
62,Larry Steele\steella01,SG,27,POR,81,1680,16.3,0.555,,0.348,4.4,7.0,5.8,14.1,3.1,0.4,,,3.2,2.0,5.2,0.14800000000000002,1.6,-0.1,1.5,1.5,West
63,Dave Twardzik\twardda01,PG,26,POR,74,1937,16.3,0.6890000000000001,,0.66,4.1,6.6,5.4,16.3,2.9,0.4,,,5.3,2.2,7.5,0.18600000000000003,3.5,0.7,4.2,3.1,West
64,Slick Watts\wattssl01,PG,25,SEA,79,2627,16.3,0.449,,0.289,3.0,9.2,6.0,34.0,3.7,0.5,,,-0.3,3.6,3.3,0.06,1.5,1.3,2.8,3.2,West
65,World B. Free\freewo01,SG,23,PHI,78,2253,16.2,0.517,,0.45399999999999996,4.6,5.9,5.3,17.4,1.5,0.6,,,2.9,1.8,4.6,0.099,0.9,-1.9,-1.0,0.6,East
66,Bob Gross\grossbo01,SF,23,POR,82,2232,16.2,0.58,,0.302,8.1,10.0,9.1,14.5,2.1,1.4,,,4.9,2.5,7.4,0.159,2.5,1.2,3.7,3.2,West
67,Gail Goodrich*\goodrga01,SG,33,NOJ,27,609,16.1,0.496,,0.27899999999999997,4.0,5.6,4.8,18.8,1.6,0.2,,,0.7,0.4,1.2,0.091,0.5,-2.3,-1.7,0.0,East
68,Mike Newlin\newlimi01,SG,28,HOU,82,2119,16.1,0.53,,0.358,2.8,7.5,5.3,21.2,1.3,0.1,,,4.2,0.4,4.7,0.106,2.1,-2.3,-0.2,1.0,East
69,Phil Smith\smithph01,SG,24,GSW,82,2880,16.1,0.525,,0.285,3.5,8.1,5.8,15.8,1.5,0.5,,,5.2,1.8,7.0,0.11699999999999999,1.6,-1.3,0.3,1.7,West
70,Foots Walker\walkefo01,PG,25,CLE,62,1216,16.0,0.504,,0.33,4.4,9.1,6.7,28.1,3.2,0.2,,,1.5,1.6,3.0,0.12,1.8,0.9,2.7,1.5,East
71,Kermit Washington\washike01,PF,25,LAL,53,1342,16.0,0.556,,0.49200000000000005,14.1,23.0,18.7,4.6,1.5,2.0,,,2.2,2.1,4.3,0.153,0.2,0.3,0.5,0.9,West
72,Butch Feher\feherbu01,SG,22,PHO,48,487,15.9,0.603,,0.611,4.0,12.4,8.2,10.8,1.0,0.8,,,1.0,0.5,1.5,0.145,-0.3,-1.5,-1.8,0.0,West
73,John Shumate\shumajo01,PF,24,BUF,74,2601,15.9,0.5539999999999999,,0.556,6.3,21.0,13.6,8.8,1.5,1.6,,,3.5,2.8,6.3,0.11699999999999999,-0.1,1.1,1.0,2.0,East
74,John Williamson\willijo01,SG,25,TOT,72,2481,15.9,0.501,,0.244,1.6,6.3,3.9,13.7,2.0,0.3,,,2.3,1.6,3.9,0.075,0.5,-2.5,-1.9,0.1,NaN
75,Phil Chenier\cheniph01,SG,26,WSB,78,2842,15.8,0.489,,0.218,2.1,8.6,5.4,15.7,1.9,0.7,,,2.9,2.9,5.8,0.098,0.3,-0.2,0.1,1.5,East
76,Sam Lacey\laceysa01,C,28,KCK,82,2595,15.8,0.484,,0.364,7.3,22.6,14.7,19.3,2.1,2.8,,,1.6,4.0,5.6,0.10400000000000001,0.2,3.5,3.7,3.7,West
77,Eric Money\moneyer01,PG,21,DET,73,1586,15.8,0.5489999999999999,,0.18100000000000002,2.8,5.3,4.0,20.5,2.5,0.5,,,2.4,0.9,3.3,0.099,1.6,-1.2,0.5,1.0,East
78,Billy Paultz\paultbi01,C,28,SAS,82,2694,15.8,0.515,,0.29,7.4,18.7,13.1,11.1,0.9,3.1,,,3.0,2.3,5.3,0.095,-0.3,0.5,0.2,1.5,East
79,Charles Dudley\dudlech01,PG,26,GSW,79,1682,15.7,0.557,,0.48200000000000004,7.1,10.7,8.9,25.5,1.8,0.2,,,2.7,1.3,4.0,0.115,2.2,-0.1,2.1,1.7,West
80,Al Skinner\skinnal01,SG,24,NYN,79,2256,15.7,0.49,,0.32899999999999996,4.8,11.9,8.2,20.8,2.1,1.3,,,0.7,2.6,3.3,0.069,0.8,0.7,1.5,2.0,East
81,Lucius Allen\allenlu01,PG,29,LAL,78,2482,15.6,0.49700000000000005,,0.243,2.4,7.7,5.2,22.2,2.1,0.4,,,2.8,2.1,4.9,0.094,0.9,-0.6,0.3,1.4,West
82,Spencer Haywood*\haywosp01,PF,27,NYK,31,1021,15.6,0.506,,0.292,8.1,20.4,14.4,6.7,0.6,1.5,,,1.1,1.0,2.1,0.096,-1.1,-0.8,-1.9,0.0,East
83,Wilbur Holland\hollawi01,SG,25,CHI,79,2453,15.6,0.488,,0.171,3.3,7.5,5.4,16.8,3.3,0.4,,,2.4,3.6,5.9,0.11599999999999999,0.4,0.7,1.1,1.9,West
84,Lionel Hollins\hollili01,PG,23,POR,76,2224,15.6,0.47700000000000004,,0.27399999999999997,2.4,7.2,4.9,19.7,3.3,0.9,,,1.1,2.9,4.0,0.086,0.2,0.2,0.4,1.3,West
85,Ron Lee\leero01,PG,24,PHO,82,1849,15.6,0.47600000000000003,,0.267,5.8,11.6,8.7,21.1,3.8,1.0,,,-0.5,3.2,2.8,0.07200000000000001,0.2,2.0,2.3,2.0,West
86,Bill Robinzine\robinbi01,PF,24,KCK,75,1594,15.6,0.501,,0.319,10.3,20.9,15.4,8.5,2.4,0.4,,,1.3,2.2,3.4,0.10400000000000001,0.0,-0.5,-0.5,0.6,West
87,Mack Calvin\calvima01,PG,29,TOT,76,1438,15.5,0.525,,0.621,2.6,4.2,3.4,21.7,1.8,0.1,,,1.9,0.9,2.8,0.092,0.3,-3.0,-2.7,-0.3,NaN
88,Allan Bristow\bristal01,SF,25,SAS,82,2017,15.4,0.544,,0.345,6.1,11.6,8.9,15.7,1.9,0.0,,,3.2,1.1,4.3,0.10099999999999999,1.2,-1.0,0.2,1.1,East
89,Sidney Wicks\wickssi01,PF,27,BOS,82,2642,15.4,0.509,,0.45799999999999996,10.1,20.5,15.3,9.2,1.1,1.2,,,2.2,3.8,6.1,0.11,0.1,0.8,0.8,1.9,East
90,Dave Bing*\bingda01,SG,33,WSB,64,1516,15.3,0.503,,0.295,3.7,5.9,4.8,25.5,1.8,0.2,,,1.6,1.3,2.9,0.092,1.2,-1.1,0.1,0.8,East
91,Austin Carr\carrau01,SG,28,CLE,82,2409,15.3,0.496,,0.21899999999999997,4.9,5.2,5.1,14.3,1.1,0.2,,,3.9,1.4,5.3,0.105,1.8,-2.1,-0.3,1.0,East
92,Glenn Hansen\hansegl01,SG,24,KCK,41,289,15.3,0.46399999999999997,,0.20600000000000002,9.7,11.5,10.6,13.0,2.0,0.6,,,0.1,0.3,0.4,0.063,-0.3,-2.3,-2.6,0.0,West
93,Cazzie Russell\russeca01,SF,32,LAL,82,2583,15.3,0.527,,0.18600000000000003,3.5,8.0,5.8,11.6,1.5,0.1,,,4.9,1.7,6.6,0.12300000000000001,0.6,-1.4,-0.8,0.8,West
94,M.L. Carr\carrml01,SF,26,DET,82,2643,15.2,0.518,,0.3,8.3,16.4,12.4,8.7,2.8,1.1,,,2.9,3.0,5.9,0.107,0.5,1.8,2.3,2.9,East
95,Ron Behagen\behagro01,PF,26,NOJ,60,1170,15.1,0.457,,0.248,12.1,23.4,17.8,10.3,1.6,0.8,,,0.0,1.8,1.8,0.073,-1.5,0.0,-1.5,0.1,East
96,Steve Mix\mixst01,SF,29,PHI,75,1958,15.1,0.593,,0.47700000000000004,6.9,12.1,9.6,10.5,2.0,0.5,,,4.1,2.4,6.5,0.158,0.6,0.6,1.3,1.6,East
97,Marvin Barnes\barnema01,PF,24,DET,53,989,15.0,0.49,,0.345,7.2,19.3,13.3,6.1,1.7,1.7,,,0.3,1.0,1.3,0.063,-1.9,-1.2,-3.2,-0.3,East
98,Tom Henderson\hendeto01,PG,25,TOT,87,2791,15.0,0.506,,0.379,1.6,7.4,4.5,29.7,2.3,0.3,,,2.5,2.2,4.7,0.08,0.5,-0.4,0.1,1.5,NaN
99,John Lucas\lucasjo01,SG,23,HOU,82,2531,15.0,0.512,,0.21,2.5,6.8,4.7,24.7,2.3,0.4,,,3.6,1.2,4.8,0.091,1.2,-0.6,0.6,1.7,East
100,Bingo Smith\smithbi02,SF,30,CLE,81,2135,15.0,0.478,,0.158,4.2,11.1,7.5,11.3,1.4,0.8,,,2.2,2.0,4.2,0.095,0.0,-1.3,-1.3,0.4,East
101,Elmore Smith\smithel01,C,27,TOT,70,1464,14.9,0.499,,0.42,7.8,23.2,15.4,3.9,1.1,5.2,,,0.7,2.2,2.9,0.094,-2.9,0.9,-2.1,0.0,NaN
102,Jo Jo White*\whitejo01,PG,30,BOS,82,3333,14.9,0.486,,0.257,2.6,8.6,5.6,21.7,1.6,0.3,,,3.2,3.4,6.5,0.094,0.7,0.2,0.9,2.4,East
103,Jim Chones\choneji01,C,27,CLE,82,2378,14.8,0.495,,0.218,8.6,21.2,14.7,6.4,0.6,1.8,,,2.9,3.0,5.9,0.11900000000000001,-0.8,-0.2,-1.0,0.6,East
104,Alex English*\englial01,SF,23,MIL,60,648,14.8,0.511,,0.217,10.8,16.1,13.4,5.3,1.2,1.4,,,0.8,0.4,1.2,0.09,-1.3,-2.3,-3.6,-0.3,West
105,Kevin Kunnert\kunneke01,C,25,HOU,81,2050,14.8,0.513,,0.184,11.6,23.6,17.8,10.3,0.8,2.8,,,2.1,2.0,4.1,0.09699999999999999,0.3,1.1,1.3,1.7,East
106,Bob Bigelow\bigelbo01,SF,23,KCK,29,162,14.7,0.5489999999999999,,0.243,4.9,12.6,8.6,7.2,0.8,0.3,,,0.3,0.1,0.4,0.11699999999999999,-1.4,-3.4,-4.8,-0.1,West
107,Tom Boerwinkle\boerwto01,C,31,CHI,82,1070,14.7,0.502,,0.231,9.7,20.8,15.2,25.4,0.9,1.0,,,0.8,1.5,2.3,0.102,0.0,1.4,1.4,0.9,West
108,John Havlicek*\havlijo01,SF,36,BOS,79,2913,14.7,0.495,,0.22399999999999998,3.7,9.1,6.4,20.4,1.3,0.3,,,3.3,2.8,6.1,0.1,0.7,0.0,0.7,2.0,East
109,Lou Hudson\hudsolo01,SG,32,ATL,58,1745,14.7,0.494,,0.187,2.9,5.0,3.9,14.9,1.8,0.6,,,1.9,0.8,2.7,0.07400000000000001,0.0,-1.8,-1.8,0.1,East
110,Kevin Porter\porteke01,PG,26,DET,81,2117,14.7,0.54,,0.22,1.4,3.4,2.4,34.6,1.8,0.2,,,2.1,0.6,2.7,0.062,1.1,-3.3,-2.2,-0.1,East
111,Nate Williams\willina01,SF,26,NOJ,79,1776,14.7,0.486,,0.212,5.9,10.7,8.3,8.1,1.9,0.5,,,1.0,1.8,2.8,0.077,-1.3,-1.5,-2.8,-0.4,East
112,Ticky Burden\burdeti01,SG,23,NYK,61,608,14.6,0.446,,0.24100000000000002,4.6,6.8,5.7,14.9,3.4,0.1,,,-0.7,0.7,0.0,-0.004,-1.5,-1.9,-3.4,-0.2,East
113,Jim Eakins\eakinji01,C,30,KCK,82,1338,14.6,0.565,,0.6609999999999999,8.4,20.0,14.0,11.3,1.0,2.0,,,2.1,1.5,3.6,0.128,-0.1,0.5,0.4,0.8,West
114,Chris Ford\fordch01,SG,28,DET,82,2539,14.6,0.506,,0.185,3.9,7.1,5.5,17.0,3.1,0.5,,,2.8,2.0,4.7,0.09,0.6,0.9,1.5,2.2,East
115,Scott Wedman\wedmasc01,SF,24,KCK,81,2743,14.6,0.504,,0.213,6.8,12.5,9.6,11.7,1.6,0.5,,,3.7,2.3,6.0,0.10400000000000001,0.4,-0.2,0.3,1.6,West
116,Mike Flynn\flynnmi01,SG,23,IND,73,1324,14.5,0.473,,0.248,5.4,8.4,6.9,19.2,1.9,0.2,,,1.0,0.7,1.7,0.062,-0.3,-1.8,-2.0,0.0,West
117,Mike Green\greenmi01,C,25,SEA,76,1928,14.5,0.49,,0.35700000000000004,9.8,17.4,13.4,8.7,1.0,3.6,,,1.4,2.5,3.9,0.09699999999999999,-1.4,1.5,0.1,1.0,West
118,Mo Howard\howarmo01,SG,22,TOT,32,345,14.5,0.516,,0.265,4.8,6.2,5.5,17.9,2.2,1.2,,,0.3,0.3,0.6,0.084,0.0,-0.5,-0.5,0.1,NaN
119,Mo Layton\laytomo01,SG,28,NYK,56,765,14.5,0.527,,0.264,1.5,4.8,3.2,26.8,1.2,0.4,,,0.7,0.4,1.1,0.068,0.0,-3.2,-3.2,-0.2,East
120,Joe Meriweather\meriwjo01,C,23,ATL,74,2068,14.5,0.57,,0.42,10.9,19.9,15.3,5.9,0.9,2.2,,,2.9,1.9,4.8,0.11199999999999999,0.1,0.5,0.6,1.4,East
121,Lloyd Walton\waltoll01,PG,23,MIL,53,678,14.5,0.529,,0.34600000000000003,2.3,5.5,3.9,26.0,2.6,0.1,,,0.8,0.3,1.1,0.078,-0.2,-2.0,-2.2,0.0,West
122,Junior Bridgeman\bridgju01,SF,23,MIL,82,2410,14.4,0.494,,0.20800000000000002,5.5,12.4,8.9,11.7,1.5,0.5,,,2.5,1.1,3.6,0.071,-0.2,-1.1,-1.2,0.5,West
123,Gus Gerard\gerargu01,SF,23,TOT,65,1048,14.4,0.475,,0.258,8.7,12.3,10.5,12.8,1.8,3.0,,,0.0,1.3,1.3,0.06,-1.4,0.6,-0.8,0.3,NaN
124,Aaron James\jamesaa01,SF,24,NOJ,52,1059,14.4,0.527,,0.235,5.2,11.7,8.5,8.0,0.8,0.2,,,1.3,0.8,2.1,0.095,-0.9,-2.3,-3.3,-0.3,East
125,George Johnson\johnsge02,C,28,TOT,78,1652,14.4,0.495,,0.228,12.4,25.0,18.7,8.3,1.0,5.4,,,0.9,2.6,3.5,0.102,-2.3,3.1,0.8,1.2,NaN
126,Ralph Simpson\simpsra01,SG,27,DET,77,1597,14.4,0.462,,0.23399999999999999,3.1,8.6,5.9,15.4,1.9,0.2,,,0.4,0.8,1.2,0.037000000000000005,-1.3,-2.0,-3.3,-0.5,East
127,Nate Thurmond*\thurmna01,C,35,CLE,49,997,14.3,0.45799999999999996,,0.431,11.9,26.7,19.1,10.8,0.8,4.4,,,0.5,1.8,2.3,0.113,-1.9,3.4,1.5,0.9,East
128,Steve Hawes\hawesst01,PF,26,ATL,44,945,14.2,0.525,,0.289,8.6,21.0,14.7,9.9,1.7,1.4,,,0.8,1.0,1.9,0.095,-0.9,1.1,0.2,0.5,East
129,Mark Olberding\olberma01,PF,20,SAS,82,1949,14.2,0.579,,0.528,8.6,15.0,11.9,7.8,1.3,0.7,,,3.1,1.2,4.3,0.106,0.7,-1.1,-0.5,0.8,East
