Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
197,Ernie DiGregorio\digreer01,PG,26,BUF,81,2267,12.1,0.462,,0.16699999999999998,2.3,5.9,4.1,24.1,1.1,0.1,,,0.7,0.5,1.3,0.027000000000000003,-1.5,-2.4,-3.9,-1.1,East
198,Rowland Garrett\garrero01,SF,26,TOT,62,598,12.1,0.484,,0.213,6.3,13.1,9.6,6.1,1.6,0.9,,,0.3,0.4,0.8,0.064,-2.7,-1.7,-4.4,-0.4,NaN
199,Cornelius Cash\cashco01,PF,24,DET,6,49,12.0,0.41,,0.261,16.9,16.9,16.9,2.6,1.8,1.1,,,-0.1,0.0,0.0,-0.01,-4.0,-3.6,-7.6,-0.1,East
200,Ken Charles\charlke01,SG,25,ATL,82,2487,12.0,0.47200000000000003,,0.299,1.7,5.5,3.6,17.2,2.6,1.0,,,0.5,1.8,2.3,0.044000000000000004,-1.7,0.2,-1.5,0.3,East
201,Willie Norwood\norwowi01,SF,29,SEA,76,1647,12.0,0.528,,0.447,7.6,10.8,9.1,8.2,1.7,0.2,,,1.8,1.5,3.3,0.095,-1.0,0.0,-1.0,0.4,West
202,Jan van Breda Kolff\vanbrja01,SF,25,NYN,72,2398,12.0,0.52,,0.374,6.3,13.5,9.7,7.3,1.4,1.6,,,2.0,2.5,4.5,0.091,-2.0,1.5,-0.5,0.9,East
203,Mike Dunleavy\dunlemi01,PG,22,PHI,32,359,11.9,0.467,,0.31,2.9,6.3,4.7,21.7,1.6,0.3,,,-0.1,0.3,0.2,0.023,-2.2,-2.7,-4.9,-0.3,East
204,Armond Hill\hillar01,PG,23,ATL,81,1825,11.9,0.474,,0.396,2.2,6.2,4.2,30.0,2.1,0.2,,,-0.1,1.0,0.8,0.022000000000000002,-1.3,-1.3,-2.5,-0.2,East
205,Jim Price\priceji01,PG,27,TOT,81,1828,11.8,0.48100000000000004,,0.182,2.9,9.9,6.5,18.7,3.0,0.6,,,0.1,2.5,2.7,0.07,-2.0,1.3,-0.6,0.6,NaN
206,Don Adams\adamsdo01,SF,29,BUF,77,1710,11.7,0.466,,0.32899999999999996,7.6,14.3,10.9,12.1,1.9,0.5,,,0.2,1.4,1.6,0.046,-2.1,0.4,-1.7,0.1,East
207,Fred Carter\cartefr01,SG,31,TOT,61,1112,11.7,0.44799999999999995,,0.192,5.1,5.7,5.4,15.3,1.6,0.4,,,0.1,0.4,0.4,0.018000000000000002,-1.9,-2.3,-4.2,-0.6,NaN
208,Don Ford\forddo01,PF,24,LAL,82,1782,11.7,0.485,,0.179,6.1,13.9,10.1,9.6,1.5,0.6,,,1.0,1.8,2.8,0.076,-2.2,0.2,-2.0,0.0,West
209,John Lambert\lambejo01,PF,24,CLE,63,555,11.7,0.46,,0.22899999999999998,11.0,17.4,14.1,7.4,1.4,1.8,,,0.3,0.7,1.0,0.087,-2.5,0.7,-1.7,0.0,East
210,Andre McCarter\mccaran01,PG,23,KCK,59,725,11.6,0.488,,0.175,2.2,5.8,3.9,18.6,1.4,0.0,,,0.5,0.4,0.8,0.055,-2.1,-2.7,-4.8,-0.5,West
211,Paul McCracken\mccrapa01,SG,26,CHI,9,119,11.6,0.428,,0.38299999999999995,5.2,8.9,7.0,17.6,2.4,0.0,,,-0.1,0.1,0.0,0.019,-2.5,-1.0,-3.6,0.0,West
212,Tom Barker\barketo01,C,21,ATL,59,1354,11.5,0.46799999999999997,,0.376,8.6,23.2,15.8,6.4,1.1,1.7,,,-0.4,1.4,1.0,0.035,-3.4,0.2,-3.2,-0.4,East
213,Mel Bennett\benneme01,PF,22,IND,67,911,11.5,0.41700000000000004,,0.636,11.4,13.9,12.6,9.8,1.8,1.9,,,-0.7,0.8,0.1,0.005,-2.8,-0.5,-3.2,-0.3,West
214,Henry Bibby\bibbyhe01,PG,27,PHI,81,2639,11.5,0.499,,0.402,3.4,6.7,5.2,17.4,1.8,0.1,,,1.8,2.3,4.1,0.07400000000000001,-1.5,0.0,-1.5,0.3,East
215,Al Eberhard\eberhal01,SF,24,DET,68,1219,11.5,0.534,,0.363,6.5,12.3,9.4,5.1,1.6,0.6,,,1.0,0.8,1.8,0.069,-1.5,-0.9,-2.4,-0.1,East
216,John Gianelli\gianejo01,C,26,TOT,76,1913,11.5,0.47600000000000003,,0.21600000000000003,8.3,17.1,12.7,5.9,0.8,2.6,,,0.8,1.7,2.5,0.063,-3.3,0.7,-2.7,-0.3,NaN
217,Otto Moore\mooreot01,C,30,NOJ,81,2084,11.5,0.445,,0.281,8.0,21.3,14.8,11.2,1.2,2.9,,,-0.3,3.2,2.9,0.067,-3.5,3.2,-0.3,0.9,East
218,George Trapp\trappge01,PF,28,DET,6,68,11.5,0.536,,0.138,6.1,9.1,7.6,6.0,0.0,0.8,,,0.1,0.0,0.1,0.062,-1.8,-3.7,-5.5,-0.1,East
219,Leonard Gray\grayle01,PF,25,TOT,83,1639,11.4,0.479,,0.267,5.3,13.2,9.2,10.5,1.6,1.0,,,0.0,1.8,1.8,0.053,-2.1,0.2,-2.0,0.0,NaN
220,Freddie Lewis\lewisfr02,PG,33,IND,32,552,11.3,0.48100000000000004,,0.387,2.9,5.4,4.1,13.6,1.5,0.2,,,0.4,0.2,0.5,0.047,-2.3,-2.6,-5.0,-0.4,West
221,Bob Weiss\weissbo01,PG,34,WSB,62,768,11.3,0.512,,0.278,2.1,7.1,4.6,20.9,3.1,0.5,,,0.5,1.0,1.4,0.08900000000000001,-2.5,1.2,-1.3,0.1,East
222,Bird Averitt\averibi01,SG,24,BUF,75,1136,11.2,0.425,,0.273,1.8,5.2,3.5,18.2,1.2,0.2,,,-1.4,0.3,-1.1,-0.046,-3.4,-4.3,-7.7,-1.6,East
223,Randy Denton\dentora01,C,27,ATL,45,700,11.2,0.43200000000000005,,0.184,12.1,21.2,16.6,6.9,0.9,1.3,,,-0.2,0.6,0.4,0.028999999999999998,-3.7,-0.7,-4.4,-0.4,East
224,Scott Lloyd\lloydsc01,C,24,MIL,69,1025,11.2,0.528,,0.389,8.1,13.1,10.6,4.1,0.9,0.6,,,1.0,0.4,1.3,0.062,-2.0,-2.3,-4.2,-0.6,West
225,Bob Wilkerson\wilkebo01,SF,22,SEA,78,1552,11.2,0.42,,0.213,6.1,11.2,8.6,15.2,2.1,0.3,,,-0.6,1.6,0.9,0.027999999999999997,-2.7,0.2,-2.5,-0.2,West
226,Earl Williams\williea01,C,25,NYN,1,7,11.2,0.32299999999999995,,3.0,13.8,15.3,14.5,18.2,0.0,8.0,,,-0.1,0.0,0.0,-0.32799999999999996,-5.0,-0.2,-5.2,0.0,East
227,Keith Erickson\erickke01,SF,32,PHO,50,949,11.1,0.508,,0.17,4.1,12.2,8.2,15.4,1.4,0.4,,,0.4,1.0,1.4,0.071,-2.4,0.1,-2.3,-0.1,West
228,Jack Marin\marinja01,SF,32,CHI,54,869,11.1,0.485,,0.109,3.2,7.8,5.4,11.4,0.7,0.4,,,0.6,0.7,1.3,0.073,-3.0,-2.1,-5.1,-0.7,West
229,Johnny Neumann\neumajo01,SG,25,TOT,63,937,11.1,0.43799999999999994,,0.21899999999999997,2.6,5.1,3.9,20.0,1.5,0.5,,,-0.6,0.5,0.0,0.0,-2.6,-2.7,-5.3,-0.8,NaN
230,Fatty Taylor\taylofa01,PG,30,DEN,79,1548,11.1,0.439,,0.207,6.1,7.8,7.0,22.6,3.7,0.3,,,-0.3,2.5,2.1,0.066,-2.0,2.3,0.3,0.9,West
231,Dick Van Arsdale\vanardi01,SG,33,PHO,78,1535,11.1,0.524,,0.33299999999999996,2.2,6.0,4.1,10.9,1.0,0.2,,,1.7,1.1,2.7,0.086,-2.9,-1.5,-4.4,-0.9,West
232,Ted McClain\mcclate01,SG,30,DEN,72,2002,10.9,0.483,,0.24100000000000002,2.7,8.8,5.8,20.6,2.3,0.3,,,0.2,2.5,2.7,0.065,-2.0,0.9,-1.1,0.4,West
233,Fred Saunders\saundfr01,SF,25,BOS,68,1051,10.9,0.48200000000000004,,0.134,6.9,13.9,10.4,11.6,1.1,0.3,,,0.0,1.2,1.2,0.054000000000000006,-2.3,-0.3,-2.6,-0.2,East
234,Tom Kropp\kroppto01,SG,23,CHI,53,480,10.8,0.512,,0.27,4.5,5.7,5.1,12.2,1.8,0.1,,,0.2,0.5,0.7,0.07200000000000001,-2.1,-1.3,-3.5,-0.2,West
235,Ed Ratleff\ratleed01,SF,26,HOU,37,533,10.8,0.462,,0.261,5.1,10.5,7.9,10.6,1.8,0.6,,,0.2,0.3,0.5,0.044000000000000004,-2.5,-0.5,-3.0,-0.1,East
236,Paul Silas\silaspa01,PF,33,DEN,81,1959,10.8,0.425,,0.446,12.6,18.8,15.8,8.4,1.3,0.6,,,-0.2,2.8,2.5,0.062,-3.3,0.9,-2.5,-0.2,West
237,Mel Daniels*\danieme01,C,32,NYN,11,126,10.7,0.43200000000000005,,0.657,7.6,20.3,13.7,7.0,1.1,4.9,,,-0.2,0.2,0.0,-0.002,-5.4,1.2,-4.2,-0.1,East
238,Mel Davis\davisme01,PF,26,TOT,56,1094,10.7,0.397,,0.196,8.9,18.8,13.7,9.7,1.3,0.3,,,-1.5,1.2,-0.4,-0.016,-4.2,-0.9,-5.1,-0.9,NaN
239,Steve Kuberski\kuberst01,SF,29,BOS,76,860,10.7,0.466,,0.266,8.8,15.0,11.9,6.3,0.4,0.3,,,0.3,0.8,1.1,0.061,-3.9,-1.6,-5.5,-0.8,East
240,Tim Bassett\basseti01,PF,25,NYN,76,2442,10.5,0.42100000000000004,,0.24,6.9,20.4,13.3,6.7,1.8,1.2,,,-1.9,3.4,1.5,0.028999999999999998,-4.5,1.5,-3.0,-0.6,East
241,John Brown\brownjo01,SF,25,ATL,77,1405,10.5,0.53,,0.429,5.6,12.4,8.9,10.2,1.5,0.3,,,0.8,0.9,1.7,0.057999999999999996,-1.8,0.0,-1.8,0.1,East
242,Louie Dampier*\dampilo01,PG,32,SAS,80,1634,10.4,0.486,,0.17,1.4,3.4,2.4,18.0,1.3,0.4,,,1.0,0.2,1.2,0.035,-2.9,-2.9,-5.7,-1.5,East
243,Mike Barr\barrmi01,SG,26,KCK,73,1224,10.3,0.469,,0.204,2.7,8.5,5.5,17.9,1.9,0.8,,,0.4,1.0,1.4,0.054000000000000006,-3.1,0.0,-3.0,-0.3,West
244,Norm Cook\cookno01,SF,21,BOS,25,138,10.3,0.396,,0.23600000000000002,7.2,12.0,9.6,5.3,3.2,1.1,,,-0.3,0.2,-0.1,-0.023,-5.5,-1.1,-6.6,-0.2,East
245,Monte Towe\towemo01,PG,23,DEN,51,409,10.3,0.436,,0.18100000000000002,2.1,6.3,4.2,27.6,1.7,0.0,,,-0.3,0.4,0.1,0.013000000000000001,-3.6,-2.3,-5.9,-0.4,West
