Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Kareem Abdul-Jabbar*\abdulka01,C,34,LAL,76,2677,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,,6.9,3.9,10.7,0.192,,2.9,1.4,4.3,4.2,West
2,Alvan Adams\adamsal01,C,27,PHO,79,2393,18.6,0.529,0.001,0.22699999999999998,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,,2.5,4.7,7.2,0.14400000000000002,,0.9,2.9,3.7,3.5,West
3,Mark Aguirre\aguirma01,SF,22,DAL,51,1468,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,,1.0,0.8,1.9,0.061,,1.8,-1.7,0.1,0.8,West
4,Danny Ainge\aingeda01,SG,22,BOS,53,564,10.1,0.439,0.077,0.294,5.0,5.9,5.5,19.7,3.1,0.3,17.5,21.5,,-0.3,0.8,0.5,0.042,,-2.6,-0.1,-2.6,-0.1,East
5,Tiny Archibald*\architi01,PG,33,BOS,68,2167,14.3,0.542,0.025,0.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,,3.4,1.8,5.2,0.115,,0.1,-2.5,-2.5,-0.2,East
6,Dennis Awtrey\awtrede01,C,33,POR,10,121,1.6,0.396,0.0,0.6,6.5,6.4,6.5,7.5,0.4,0.9,24.0,8.5,,-0.1,0.0,0.0,-0.013000000000000001,,-4.5,-0.4,-4.9,-0.1,West
7,Carl Bailey\baileca01,C,23,POR,1,7,-6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,17.6,,0.0,0.0,0.0,-0.268,,-10.3,-3.3,-13.6,0.0,West
8,James Bailey\baileja01,PF,24,TOT,77,1468,13.3,0.546,0.0,0.444,9.7,20.3,15.0,6.3,1.3,3.3,18.7,20.3,,0.2,2.7,2.9,0.094,,-2.9,1.4,-1.5,0.2,NaN
8,James Bailey\baileja01,PF,24,SEA,10,180,8.7,0.473,0.0,0.16899999999999998,10.6,18.0,14.5,10.2,0.8,2.1,21.4,20.5,,-0.2,0.3,0.1,0.016,,-4.4,0.8,-3.6,-0.1,West
8,James Bailey\baileja01,PF,24,NJN,67,1288,14.0,0.556,0.0,0.484,9.5,20.7,15.0,5.7,1.4,3.5,18.4,20.3,,0.4,2.4,2.8,0.10400000000000001,,-2.7,1.5,-1.2,0.3,East
9,Greg Ballard\ballagr01,SF,27,WSB,79,2946,17.9,0.519,0.017,0.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22.0,,4.1,5.3,9.4,0.154,,1.3,2.2,3.5,4.1,East
10,Gene Banks\banksge01,SF,22,SAS,80,1700,14.7,0.515,0.012,0.325,9.9,16.0,13.0,11.5,1.5,0.5,12.5,19.9,,1.9,1.6,3.5,0.099,,0.4,-0.1,0.3,1.0,West
11,Mike Bantom\bantomi01,SF,30,TOT,82,2016,12.7,0.505,0.008,0.375,9.7,14.4,12.1,8.1,1.5,1.7,15.2,20.2,,0.2,2.7,2.9,0.069,,-1.6,0.5,-1.1,0.5,NaN
11,Mike Bantom\bantomi01,SF,30,IND,39,1037,12.6,0.484,0.006999999999999999,0.377,8.9,13.6,11.2,9.8,1.8,1.3,15.2,22.4,,-0.3,1.4,1.0,0.048,,-2.0,0.6,-1.4,0.2,East
11,Mike Bantom\bantomi01,SF,30,PHI,43,979,12.7,0.5329999999999999,0.01,0.373,10.5,15.3,13.0,6.3,1.2,2.2,15.2,17.9,,0.6,1.3,1.9,0.092,,-1.2,0.4,-0.7,0.3,East
12,Billy Ray Bates\batesbi01,SG,25,POR,75,1229,17.8,0.53,0.059000000000000004,0.305,4.9,5.0,4.9,13.9,1.6,0.2,10.6,29.4,,1.8,0.6,2.4,0.094,,0.8,-3.9,-3.2,-0.4,West
13,Mel Bennett\benneme01,PF,27,CLE,3,23,-2.7,0.377,0.0,1.5,4.6,10.5,7.4,0.0,2.1,0.0,37.6,19.1,,-0.1,0.0,-0.1,-0.27,,-12.5,-3.0,-15.6,-0.1,East
14,Kent Benson\bensoke01,C,27,DET,75,2467,14.4,0.539,0.013999999999999999,0.19699999999999998,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,,2.2,3.0,5.2,0.10099999999999999,,-0.3,1.6,1.3,2.1,East
15,Larry Bird*\birdla01,PF,25,BOS,77,2923,22.6,0.557,0.037000000000000005,0.26899999999999996,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,,6.8,5.7,12.5,0.205,,4.1,3.3,7.5,7.0,East
16,Otis Birdsong\birdsot01,SG,26,NJN,37,1025,13.3,0.489,0.021,0.265,3.3,7.5,5.3,18.2,1.4,0.3,10.7,23.4,,0.5,1.1,1.6,0.07400000000000001,,-0.9,-1.2,-2.1,0.0,East
17,Rolando Blackman\blackro01,SG,22,DAL,82,1979,16.2,0.5589999999999999,0.005,0.32299999999999995,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,,3.2,0.8,4.1,0.098,,0.6,-2.2,-1.6,0.2,West
18,Ray Blume\blumera01,SG,23,CHI,49,546,9.7,0.48200000000000004,0.081,0.126,3.0,5.4,4.3,18.9,2.0,0.2,18.7,22.1,,-0.5,0.3,-0.1,-0.013000000000000001,,-3.2,-2.7,-5.9,-0.5,East
19,Alex Bradley\bradlal02,SF,22,NYK,39,331,12.4,0.552,0.01,0.466,10.5,12.0,11.2,4.6,1.7,0.9,18.4,18.9,,0.1,0.3,0.4,0.053,,-2.2,-1.7,-3.9,-0.2,East
20,Charles Bradley\bradlch01,SG,22,BOS,51,339,8.9,0.509,0.008,0.508,4.0,8.2,6.2,8.5,2.0,1.0,19.9,22.0,,-0.2,0.4,0.2,0.03,,-4.1,-0.7,-4.8,-0.2,East
21,Dudley Bradley\bradldu01,SG,24,PHO,64,937,10.9,0.5,0.013999999999999999,0.35600000000000004,3.6,6.6,5.1,11.4,4.0,0.6,17.9,17.4,,-0.3,1.7,1.4,0.071,,-2.9,1.5,-1.4,0.1,West
22,Brad Branson\bransbr01,PF,23,CLE,10,176,8.4,0.46299999999999997,0.0,0.231,8.5,13.0,10.6,4.6,1.4,1.3,18.5,16.5,,-0.1,0.1,-0.1,-0.016,,-4.3,-0.9,-5.2,-0.1,East
23,Mike Bratz\bratzmi01,PG,26,SAS,81,1616,14.2,0.495,0.244,0.26899999999999996,2.7,8.4,5.5,34.2,1.9,0.4,18.0,19.0,,1.5,1.2,2.7,0.081,,0.6,-1.8,-1.2,0.3,West
24,Jim Brewer\breweji01,PF,30,LAL,71,966,10.1,0.46399999999999997,0.034,0.109,12.4,17.2,14.9,4.8,1.9,2.5,16.8,9.1,,0.4,1.4,1.8,0.08800000000000001,,-2.1,2.1,0.1,0.5,West
25,Ron Brewer\brewero01,SG,26,TOT,72,2319,15.9,0.519,0.026000000000000002,0.218,2.5,5.3,3.9,12.8,1.7,0.7,8.7,25.2,,2.6,0.7,3.3,0.068,,0.9,-2.2,-1.3,0.4,NaN
25,Ron Brewer\brewero01,SG,26,SAS,25,595,21.5,0.555,0.027999999999999997,0.244,2.3,6.7,4.5,17.9,1.8,0.6,7.8,29.0,,1.5,0.4,2.0,0.158,,3.3,-2.7,0.5,0.4,West
25,Ron Brewer\brewero01,SG,26,CLE,47,1724,14.0,0.502,0.025,0.20600000000000002,2.6,4.8,3.6,11.1,1.7,0.8,9.1,23.9,,1.0,0.3,1.3,0.037000000000000005,,0.1,-2.0,-1.9,0.0,East
26,Junior Bridgeman\bridgju01,SF,28,MIL,41,924,16.0,0.534,0.021,0.23800000000000002,4.8,10.5,7.8,17.6,1.5,0.2,11.8,24.1,,1.4,1.2,2.6,0.136,,0.3,-1.2,-0.9,0.3,East
27,Allan Bristow\bristal01,SF,30,DAL,82,2035,12.6,0.502,0.036000000000000004,0.32899999999999996,6.5,12.8,9.5,29.3,1.6,0.2,22.4,14.9,,1.3,1.2,2.5,0.059000000000000004,,-0.5,-0.1,-0.6,0.7,West
