Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Tariq Abdul-Wahad\abdulta01,SG,24,SAC,49,1205,11.8,0.486,0.052000000000000005,0.33399999999999996,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,,0.5,0.9,1.4,0.057999999999999996,,-2.4,-0.4,-2.8,-0.2,West
2,Shareef Abdur-Rahim\abdursh01,SF,22,VAN,50,2021,20.7,0.53,0.04,0.49200000000000005,6.5,15.4,10.9,17.6,1.8,2.0,14.6,28.9,,3.7,0.9,4.6,0.10800000000000001,,1.9,-0.3,1.6,1.8,West
3,Cory Alexander\alexaco01,PG,25,DEN,36,778,11.0,0.467,0.40399999999999997,0.16899999999999998,1.0,10.3,5.5,26.6,2.4,0.5,19.8,20.3,,-0.2,0.0,-0.3,-0.016,,-1.3,-2.3,-3.6,-0.3,West
4,Ray Allen*\allenra02,SG,23,MIL,50,1719,18.9,0.564,0.309,0.29,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,,4.2,1.1,5.2,0.146,,4.2,-1.3,2.9,2.1,East
5,Peter Aluma\alumape01,C,25,SAC,2,5,3.1,0.5,0.0,0.0,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,,0.0,0.0,0.0,-0.20600000000000002,,-15.2,8.2,-7.1,0.0,West
6,Derek Anderson\anderde01,SG,24,CLE,38,978,16.5,0.529,0.22,0.525,2.6,11.5,7.1,28.5,2.7,0.3,17.5,23.4,,1.1,1.0,2.1,0.105,,1.2,-0.4,0.8,0.7,East
7,Kenny Anderson\anderke01,PG,28,BOS,34,1010,16.7,0.513,0.067,0.28300000000000003,2.6,9.1,5.7,32.5,1.7,0.1,15.0,20.9,,1.8,0.6,2.4,0.11599999999999999,,0.9,-2.2,-1.3,0.2,East
8,Nick Anderson\anderni01,SF,31,ORL,47,1581,15.3,0.493,0.433,0.253,3.7,16.9,10.2,10.7,2.2,0.7,10.4,22.8,,1.3,2.6,3.9,0.11800000000000001,,1.0,0.3,1.3,1.3,East
9,Shandon Anderson\andersh01,SG,25,UTA,50,1072,12.8,0.511,0.113,0.344,6.0,8.8,7.5,9.7,2.0,0.7,13.6,21.6,,0.7,1.3,2.0,0.08800000000000001,,-1.1,-0.2,-1.4,0.2,West
10,Chris Anstey\anstech01,C,24,DAL,41,470,9.2,0.418,0.05,0.345,8.3,14.9,11.6,9.3,2.1,2.0,14.0,18.2,,-0.2,0.4,0.3,0.027000000000000003,,-3.3,0.3,-3.1,-0.1,West
11,Greg Anthony\anthogr01,PG,31,POR,50,806,16.6,0.55,0.498,0.355,2.1,6.8,4.5,21.1,4.4,0.3,15.9,19.6,,1.3,1.5,2.8,0.165,,2.4,0.7,3.0,1.0,West
12,B.J. Armstrong\armstbj01,PG,31,TOT,32,358,12.9,0.54,0.17,0.239,0.7,12.0,6.4,29.2,1.8,0.0,20.5,15.8,,0.4,0.4,0.7,0.1,,-1.8,-1.6,-3.4,-0.1,NaN
12,B.J. Armstrong\armstbj01,PG,31,CHH,10,178,13.3,0.601,0.18600000000000003,0.233,0.7,9.5,5.3,26.6,0.9,0.0,17.4,15.3,,0.3,0.1,0.4,0.114,,-0.3,-3.1,-3.4,-0.1,East
12,B.J. Armstrong\armstbj01,PG,31,ORL,22,180,12.4,0.48200000000000004,0.156,0.244,0.6,14.4,7.4,31.8,2.7,0.0,23.1,16.3,,0.0,0.3,0.3,0.087,,-3.3,-0.2,-3.5,-0.1,East
13,Darrell Armstrong\armstda01,PG,30,ORL,50,1502,22.2,0.575,0.36200000000000004,0.341,4.0,10.0,7.0,40.8,3.9,0.2,20.8,22.9,,3.8,2.7,6.4,0.205,,5.1,0.8,5.9,3.0,East
14,Keith Askins\askinke01,SF,31,MIA,33,415,3.5,0.40399999999999997,0.46799999999999997,0.129,3.1,9.2,6.4,3.9,2.3,0.5,16.6,9.4,,-0.3,0.5,0.2,0.028999999999999998,,-3.5,1.2,-2.2,0.0,East
15,Stacey Augmon\augmost01,SF,30,POR,48,874,13.0,0.501,0.011000000000000001,0.43700000000000006,6.4,9.9,8.3,10.6,3.5,1.5,12.6,12.4,,1.0,1.6,2.6,0.142,,-0.7,3.4,2.7,1.0,West
16,Isaac Austin\austiis01,C,29,ORL,49,1259,12.0,0.457,0.015,0.34700000000000003,7.5,14.5,10.9,12.8,2.0,2.1,17.9,22.9,,-0.9,2.1,1.2,0.045,,-3.4,1.6,-1.8,0.1,East
17,Anthony Avent\aventan01,PF,29,UTA,5,44,1.3,0.324,0.0,0.154,23.9,10.3,16.6,3.8,2.5,0.0,33.5,22.7,,-0.2,0.1,-0.1,-0.153,,-8.1,-0.9,-9.0,-0.1,West
