Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
132,Adonal Foyle\foylead01,C,25,GSW,58,1457,12.4,0.42200000000000004,0.0,0.18100000000000002,10.5,19.7,14.7,5.2,1.1,7.6,16.3,14.0,-0.8,1.5,0.7,0.022000000000000002,-4.8,3.2,-1.6,0.2,West
133,Steve Francis\francst01,PG,23,HOU,80,3194,21.6,0.563,0.276,0.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,9.2,3.0,12.2,0.184,5.8,0.8,6.6,7.0,West
134,Todd Fuller\fulleto02,C,26,MIA,10,77,9.3,0.363,0.0,0.22899999999999998,10.8,17.0,13.9,2.4,2.1,2.0,7.2,26.1,-0.1,0.1,0.0,-0.002,-8.1,-2.2,-10.3,-0.2,East
135,Lawrence Funderburke\fundela01,PF,30,SAC,59,698,16.1,0.522,0.0,0.318,11.7,18.3,15.1,4.0,0.7,1.2,10.4,19.5,1.0,0.9,1.9,0.129,-2.2,-2.0,-4.2,-0.4,West
136,Ruben Garces\garceru01,PF,27,TOT,13,73,9.7,0.313,0.0,0.364,23.7,20.6,22.2,10.5,2.1,2.0,16.4,18.4,-0.1,0.1,0.0,0.009000000000000001,-3.9,1.6,-2.3,0.0,NaN
136,Ruben Garces\garceru01,PF,27,PHO,10,62,10.5,0.43200000000000005,0.0,0.5329999999999999,21.5,18.6,20.1,10.2,1.7,1.2,21.3,16.9,0.0,0.1,0.1,0.066,-2.6,1.3,-1.3,0.0,West
136,Ruben Garces\garceru01,PF,27,GSW,3,11,5.2,0.0,0.0,0.0,35.6,31.5,33.7,12.2,4.6,6.4,0.0,26.9,-0.1,0.0,-0.1,-0.315,-11.0,3.2,-7.8,0.0,West
137,Chris Garner\garnech01,PG,25,GSW,8,149,1.0,0.24,0.18899999999999997,0.162,1.3,7.8,4.3,17.4,2.4,0.5,18.5,13.8,-0.4,0.0,-0.4,-0.12300000000000001,-7.9,-1.3,-9.1,-0.3,West
138,Kevin Garnett\garneke01,PF,24,MIN,81,3202,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,7.0,4.8,11.8,0.17600000000000002,3.0,2.7,5.7,6.2,West
139,Dean Garrett\garrede01,C,34,MIN,70,831,12.5,0.511,0.0,0.25,8.8,21.1,14.9,4.1,1.6,4.2,12.6,10.8,0.7,1.2,1.9,0.109,-3.1,1.8,-1.3,0.2,West
140,Pat Garrity\garripa01,SF,24,ORL,76,1579,10.1,0.507,0.389,0.17,3.5,11.4,7.4,5.3,1.3,0.7,9.9,19.2,1.2,1.3,2.5,0.076,-1.1,-2.2,-3.3,-0.5,East
141,Chris Gatling\gatlich01,PF,33,CLE,74,1670,15.6,0.505,0.126,0.311,6.9,20.2,13.6,6.9,1.6,1.2,12.5,25.8,0.8,1.6,2.4,0.068,-1.4,-1.9,-3.3,-0.5,East
142,Matt Geiger\geigema01,C,31,PHI,35,542,11.5,0.43,0.009000000000000001,0.24100000000000002,10.6,18.2,14.5,4.5,1.2,1.1,9.2,22.8,-0.1,0.8,0.7,0.065,-4.0,-1.5,-5.5,-0.5,East
143,Devean George\georgde01,SF,23,LAL,59,593,6.2,0.39399999999999996,0.32899999999999996,0.266,6.7,14.1,10.5,4.8,1.3,1.8,12.8,20.0,-0.7,0.4,-0.3,-0.023,-4.8,-2.5,-7.3,-0.8,West
144,Eddie Gill\gilled01,PG,22,NJN,8,152,8.9,0.451,0.22,0.122,0.0,7.0,3.4,26.3,1.4,0.5,18.8,15.9,-0.1,0.0,0.0,-0.01,-4.0,-3.6,-7.6,-0.2,East
145,Kendall Gill\gillke01,SG,32,NJN,31,892,10.1,0.39,0.043,0.27899999999999997,4.0,13.1,8.4,16.7,2.8,0.6,11.7,20.9,-1.1,0.8,-0.4,-0.021,-3.6,0.2,-3.5,-0.3,East
146,Dion Glover\glovedi01,SG,22,ATL,57,929,12.3,0.461,0.13699999999999998,0.205,4.7,11.1,7.9,12.9,2.8,0.8,12.8,20.2,-0.1,0.9,0.8,0.04,-1.8,0.0,-1.7,0.1,East
147,Anthony Goldwire\goldwan01,PG,29,DEN,20,201,12.6,0.469,0.425,0.213,0.5,6.0,3.2,28.0,2.3,0.0,14.6,22.7,0.0,0.1,0.1,0.023,-0.9,-4.2,-5.1,-0.2,West
148,Steve Goodrich\goodrst01,PF,24,CHI,12,133,4.1,0.451,0.16699999999999998,0.389,6.0,13.0,9.4,7.1,0.8,0.6,27.5,10.2,-0.1,0.0,-0.1,-0.038,-6.0,-1.6,-7.5,-0.2,East
149,Brian Grant\grantbr01,C,28,MIA,82,2771,17.5,0.536,0.001,0.35,9.3,21.5,15.4,7.2,1.2,2.0,12.7,23.4,3.7,5.0,8.7,0.151,-1.2,1.0,-0.2,1.2,East
150,Gary Grant\grantga01,PG,35,POR,4,17,22.8,0.7140000000000001,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,19.1,0.1,0.0,0.1,0.209,2.9,-8.2,-5.3,0.0,West
151,Horace Grant\grantho01,PF,35,LAL,77,2390,14.3,0.511,0.005,0.297,10.5,15.2,12.9,7.5,1.1,1.8,6.9,12.9,4.8,1.7,6.5,0.13,0.5,0.5,1.0,1.8,West
152,A.C. Green\greenac01,PF,37,MIA,82,1411,11.2,0.49200000000000005,0.019,0.34299999999999997,9.0,17.3,13.2,4.8,1.2,0.4,10.8,14.4,1.1,2.1,3.2,0.11,-3.2,0.2,-3.0,-0.3,East
153,Adrian Griffin\griffad01,SF,26,BOS,44,377,10.5,0.43200000000000005,0.268,0.247,8.0,19.4,13.5,11.7,2.5,1.0,14.3,15.1,0.0,0.5,0.4,0.055999999999999994,-3.3,0.4,-2.9,-0.1,East
154,Tom Gugliotta\guglito01,PF,31,PHO,57,1159,11.1,0.43700000000000006,0.032,0.203,7.3,17.8,12.5,7.7,2.1,1.3,11.0,17.9,-0.3,2.0,1.8,0.073,-3.8,1.5,-2.3,-0.1,West
155,A.J. Guyton\guytoaj01,PG,22,CHI,33,630,10.3,0.495,0.359,0.094,1.8,5.1,3.4,18.1,0.8,0.6,10.7,16.5,0.4,-0.1,0.3,0.02,-1.5,-4.4,-5.9,-0.6,East
156,Darvin Ham\hamda01,SF,27,MIL,29,540,10.1,0.537,0.038,0.613,11.8,13.6,12.7,6.5,1.6,2.9,24.5,11.3,0.4,0.5,0.9,0.079,-1.6,1.6,-0.1,0.3,East
157,Richard Hamilton\hamilri01,SF,22,WAS,78,2519,15.7,0.508,0.11699999999999999,0.255,3.4,7.7,5.5,17.7,1.5,0.3,12.6,28.1,2.3,0.1,2.4,0.046,0.9,-3.1,-2.2,-0.1,East
158,Zendon Hamilton\hamilze01,C,25,LAC,3,19,5.7,0.359,0.0,0.889,18.6,29.3,24.1,0.0,0.0,0.0,13.8,35.3,-0.1,0.0,0.0,-0.11900000000000001,-12.8,-11.8,-24.6,-0.1,West
159,Tom Hammonds\hammoto01,PF,33,MIN,7,30,-4.9,0.322,0.0,0.2,7.5,7.7,7.6,4.8,0.0,0.0,21.6,20.9,-0.1,0.0,-0.1,-0.187,-10.2,-4.3,-14.5,-0.1,West
160,Anfernee Hardaway\hardaan01,SG,29,PHO,4,112,16.6,0.47700000000000004,0.222,0.306,5.0,13.4,9.1,22.0,2.8,0.6,6.8,17.5,0.2,0.2,0.4,0.155,0.6,1.2,1.9,0.1,West
161,Tim Hardaway\hardati01,PG,34,MIA,77,2613,16.7,0.513,0.496,0.174,1.2,8.1,4.6,35.5,1.9,0.2,14.4,24.3,3.1,3.3,6.4,0.11800000000000001,3.2,-1.5,1.7,2.4,East
162,Ron Harper\harpero01,PG,37,LAL,47,1139,12.5,0.525,0.266,0.177,4.6,11.8,8.2,14.8,1.8,1.5,17.5,13.9,1.0,0.8,1.8,0.077,-0.4,0.2,-0.2,0.5,West
