Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
419,Tony Snell\snellto01,SF,23,CHI,72,1412,10.2,0.55,0.531,0.14800000000000002,2.5,10.9,6.8,6.8,1.2,0.6,10.8,14.1,,1.2,1.2,2.4,0.08199999999999999,,-0.6,-0.9,-1.5,0.2,East
420,Marreese Speights\speigma01,C,27,GSW,76,1207,19.5,0.546,0.027999999999999997,0.276,10.1,18.7,14.5,9.9,0.8,2.1,10.2,29.1,,2.2,1.8,4.0,0.158,,-1.3,-1.3,-2.6,-0.2,West
421,Tiago Splitter\splitti01,C,30,SAS,52,1030,18.9,0.601,0.0,0.396,10.2,17.4,13.9,11.8,1.7,2.7,14.4,18.4,,2.3,1.7,4.0,0.18899999999999997,,0.8,2.4,3.3,1.4,West
422,Nik Stauskas\stausni01,SG,21,SAC,73,1127,7.5,0.49200000000000005,0.503,0.21600000000000003,1.1,7.5,4.4,9.0,0.9,1.2,11.0,14.2,,0.3,0.2,0.5,0.021,,-1.9,-2.0,-3.9,-0.5,West
423,Lance Stephenson\stephla01,SG,24,CHO,61,1573,8.8,0.419,0.191,0.2,2.7,17.1,9.7,25.4,1.2,0.4,17.6,21.1,,-2.7,1.8,-0.9,-0.026000000000000002,,-4.0,0.5,-3.5,-0.6,East
424,Greg Stiemsma\stiemgr01,C,29,TOR,17,66,7.8,0.7170000000000001,0.0,0.5,15.7,10.5,13.1,6.6,1.6,0.0,41.8,11.5,,0.0,0.0,0.1,0.05,,-1.1,-0.6,-1.7,0.0,East
425,David Stockton\stockda01,PG,23,SAC,3,33,10.8,0.46299999999999997,0.33299999999999996,1.0,0.0,6.6,3.4,39.1,3.1,0.0,31.6,16.9,,0.0,0.0,0.0,-0.013999999999999999,,-4.4,-4.0,-8.4,-0.1,West
426,Jarnell Stokes\stokeja01,PF,21,MEM,19,126,18.6,0.578,0.0,0.757,14.6,16.3,15.4,5.2,2.1,3.3,12.4,20.5,,0.3,0.2,0.5,0.18600000000000003,,-0.2,0.7,0.5,0.1,West
427,Amar'e Stoudemire\stoudam01,PF,32,TOT,59,1245,20.3,0.595,0.008,0.38,9.9,20.5,15.1,6.8,1.2,2.5,12.0,23.8,,2.6,1.0,3.6,0.138,,-0.2,-1.3,-1.4,0.2,NaN
427,Amar'e Stoudemire\stoudam01,PF,32,NYK,36,865,19.5,0.589,0.01,0.408,10.8,22.3,16.4,8.1,1.2,3.3,14.7,22.9,,1.5,0.7,2.2,0.12,,-0.6,-0.5,-1.1,0.2,East
427,Amar'e Stoudemire\stoudam01,PF,32,DAL,23,380,22.3,0.605,0.006,0.33,7.8,16.5,12.1,3.9,1.2,0.9,6.8,25.8,,1.1,0.3,1.4,0.18100000000000002,,0.8,-3.1,-2.2,0.0,West
428,Rodney Stuckey\stuckro01,PG,28,IND,71,1874,15.4,0.528,0.187,0.28600000000000003,2.1,12.4,7.3,20.2,1.5,0.4,12.2,23.4,,1.9,2.2,4.0,0.10300000000000001,,0.2,-0.3,-0.1,0.9,East
429,Jared Sullinger\sullija01,PF,22,BOS,58,1566,17.9,0.503,0.26,0.182,10.1,20.9,15.4,14.2,1.4,2.1,9.3,23.6,,1.9,2.1,4.0,0.12300000000000001,,1.0,1.0,2.0,1.6,East
430,Jeffery Taylor\tayloje03,SF,25,CHO,29,430,8.2,0.48100000000000004,0.316,0.36,3.5,10.3,6.8,8.2,1.4,0.2,12.6,16.0,,-0.1,0.4,0.3,0.034,,-3.3,-0.6,-4.0,-0.2,East
431,Jeff Teague\teaguje01,PG,26,ATL,73,2228,20.6,0.5660000000000001,0.233,0.36,1.6,7.7,4.7,37.9,2.9,1.2,16.6,25.3,,5.0,2.8,7.7,0.166,,2.5,-0.7,1.8,2.1,East
432,Mirza Teletovic\teletmi01,PF,29,BRK,40,892,10.7,0.5,0.605,0.14400000000000002,3.4,20.9,12.2,8.1,0.8,1.4,13.5,20.1,,-0.3,0.8,0.5,0.026000000000000002,,-1.4,-1.1,-2.6,-0.1,East
433,Sebastian Telfair\telfase01,PG,29,OKC,16,327,11.4,0.479,0.48,0.272,0.7,9.0,4.9,20.8,1.5,0.0,11.4,20.8,,0.2,0.2,0.4,0.063,,-0.5,-2.9,-3.4,-0.1,West
434,Garrett Temple\templga01,SG,28,WAS,52,735,10.9,0.534,0.518,0.282,3.8,9.9,6.9,11.0,2.9,1.0,15.1,13.9,,0.4,1.1,1.5,0.1,,-0.6,1.4,0.8,0.5,East
435,Jason Terry\terryja01,SG,37,HOU,77,1641,11.4,0.579,0.7240000000000001,0.10800000000000001,1.0,7.1,4.1,13.8,2.0,0.9,13.7,14.3,,2.0,1.5,3.6,0.10400000000000001,,0.3,-0.7,-0.4,0.7,West
436,Isaiah Thomas\thomais02,PG,25,TOT,67,1726,20.6,0.579,0.434,0.43700000000000006,2.1,7.7,4.9,27.2,1.6,0.2,13.1,27.8,,5.0,1.1,6.1,0.16899999999999998,,4.6,-2.8,1.8,1.6,NaN
436,Isaiah Thomas\thomais02,PG,25,PHO,46,1181,19.7,0.579,0.40399999999999997,0.41200000000000003,2.4,7.8,5.1,23.6,1.9,0.3,12.8,25.8,,3.2,0.7,4.0,0.162,,3.8,-2.3,1.5,1.0,West
436,Isaiah Thomas\thomais02,PG,25,BOS,21,545,22.3,0.579,0.488,0.48100000000000004,1.4,7.5,4.4,35.2,1.1,0.0,13.5,32.1,,1.8,0.3,2.1,0.185,,6.4,-3.9,2.5,0.6,East
437,Lance Thomas\thomala01,PF-SF,26,TOT,62,1490,8.0,0.456,0.05,0.22399999999999998,4.8,9.9,7.3,7.4,1.3,0.4,13.2,17.0,,-0.9,0.4,-0.4,-0.013999999999999999,,-4.1,-1.6,-5.7,-1.4,NaN
437,Lance Thomas\thomala01,SF,26,OKC,22,450,6.6,0.402,0.008,0.262,6.8,11.0,8.9,6.3,1.2,0.0,10.8,15.1,,-0.2,0.3,0.0,0.005,,-4.5,-1.1,-5.5,-0.4,West
437,Lance Thomas\thomala01,PF,26,NYK,40,1040,8.6,0.478,0.066,0.209,4.0,9.5,6.7,7.9,1.3,0.6,14.2,17.8,,-0.6,0.2,-0.5,-0.022000000000000002,,-4.0,-1.8,-5.7,-1.0,East
438,Malcolm Thomas\thomama01,PF,26,PHI,17,194,8.2,0.49200000000000005,0.175,0.325,8.5,23.5,15.6,6.0,0.8,0.4,22.1,13.2,,-0.1,0.2,0.1,0.023,,-6.4,-1.0,-7.4,-0.3,East
439,Tyrus Thomas\thomaty01,PF,28,MEM,2,7,31.4,1.064,0.0,2.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,12.3,,0.1,0.0,0.1,0.47700000000000004,,6.8,-8.5,-1.6,0.0,West
440,Hollis Thompson\thompho01,SG,23,PHI,71,1776,10.9,0.5379999999999999,0.529,0.16399999999999998,3.1,9.3,6.0,8.4,1.6,1.2,10.2,15.9,,1.3,1.3,2.6,0.07,,-1.1,-0.9,-2.1,0.0,East
441,Jason Thompson\thompja02,PF,28,SAC,81,1991,10.2,0.5,0.002,0.33399999999999996,8.2,21.5,15.1,6.5,0.8,2.3,14.6,12.7,,0.9,1.5,2.4,0.057,,-2.6,0.9,-1.7,0.1,West
442,Klay Thompson\thompkl01,SG,24,GSW,77,2455,20.8,0.591,0.42,0.19699999999999998,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,,5.7,3.1,8.8,0.172,,3.6,-1.0,2.7,2.9,West
443,Tristan Thompson\thomptr01,PF,23,CLE,82,2194,15.6,0.58,0.0,0.508,14.5,19.7,17.2,2.7,0.8,2.2,12.2,14.0,,4.7,2.1,6.8,0.14800000000000002,,-0.3,-0.3,-0.6,0.8,East
444,Marcus Thornton\thornma01,SG,27,TOT,48,721,15.0,0.514,0.414,0.162,3.4,9.7,6.5,8.2,1.9,0.8,6.8,24.1,,0.6,0.7,1.2,0.083,,0.1,-2.4,-2.4,-0.1,NaN
444,Marcus Thornton\thornma01,SG,27,BOS,39,640,15.8,0.531,0.40700000000000003,0.16699999999999998,3.2,9.4,6.2,8.8,1.6,0.8,6.3,23.9,,0.8,0.6,1.4,0.10400000000000001,,0.7,-2.4,-1.7,0.0,East
444,Marcus Thornton\thornma01,SG,27,PHO,9,81,8.3,0.379,0.475,0.125,5.4,12.3,8.8,3.9,3.7,0.0,10.6,25.6,,-0.2,0.1,-0.1,-0.077,,-5.3,-2.4,-7.7,-0.1,West
445,Anthony Tolliver\tollian01,PF,29,TOT,76,1432,11.1,0.569,0.738,0.17600000000000002,3.7,14.5,9.0,6.3,0.9,0.9,10.8,14.7,,1.8,0.9,2.7,0.092,,0.5,-1.1,-0.6,0.5,NaN
445,Anthony Tolliver\tollian01,PF,29,PHO,24,272,7.8,0.522,0.838,0.081,2.4,15.5,8.9,5.2,0.7,0.3,12.6,14.2,,0.1,0.2,0.2,0.04,,-1.8,-2.2,-3.9,-0.1,West
445,Anthony Tolliver\tollian01,PF,29,DET,52,1160,11.8,0.58,0.715,0.19699999999999998,4.1,14.3,9.0,6.5,0.9,1.0,10.3,14.8,,1.8,0.8,2.5,0.10400000000000001,,1.0,-0.9,0.1,0.6,East
446,P.J. Tucker\tuckepj01,SF,29,PHO,78,2383,12.5,0.541,0.423,0.24,5.2,18.0,11.5,7.4,2.2,0.7,12.7,13.9,,2.2,2.7,4.9,0.098,,-0.2,1.4,1.2,1.9,West
447,Ronny Turiaf\turiaro01,C,32,MIN,2,19,4.3,,,,0.0,6.2,3.0,14.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.009000000000000001,,-5.6,-2.1,-7.7,0.0,West
448,Hedo Turkoglu\turkohe01,SF,35,LAC,62,705,10.5,0.602,0.7390000000000001,0.059000000000000004,0.8,14.7,7.9,7.5,1.4,0.8,13.1,14.2,,0.6,0.6,1.2,0.081,,-0.1,-0.8,-0.9,0.2,West
449,Evan Turner\turneev01,SG,26,BOS,82,2260,12.8,0.48200000000000004,0.16,0.18899999999999997,1.9,18.5,10.1,30.0,1.8,0.7,19.7,19.5,,-0.3,2.8,2.5,0.054000000000000006,,-2.2,1.3,-1.0,0.6,East
450,Ekpe Udoh\udohek01,PF,27,LAC,33,128,11.6,0.519,0.0,0.375,6.3,16.4,11.4,8.5,3.2,4.5,20.0,12.3,,0.0,0.2,0.3,0.10099999999999999,,-3.4,4.2,0.7,0.1,West
451,Beno Udrih\udrihbe01,PG,32,MEM,79,1494,15.4,0.55,0.192,0.20199999999999999,1.5,9.4,5.5,24.0,1.6,0.4,13.9,19.6,,2.0,1.6,3.6,0.115,,0.2,-1.0,-0.8,0.5,West
452,Jonas Valanciunas\valanjo01,C,22,TOR,80,2096,20.6,0.623,0.002,0.423,11.8,26.3,19.1,3.1,0.8,3.6,12.4,19.1,,5.8,2.4,8.2,0.18899999999999997,,0.1,-0.6,-0.5,0.8,East
453,Anderson Varejao\varejan01,C,32,CLE,26,636,17.7,0.58,0.01,0.225,10.4,20.1,15.3,9.1,1.6,2.0,13.7,18.1,,1.2,0.7,1.9,0.145,,0.0,1.0,0.9,0.5,East
454,Greivis Vasquez\vasqugr01,PG,28,TOR,82,1991,12.6,0.514,0.484,0.091,1.3,11.2,6.3,23.9,1.2,0.4,13.6,19.8,,1.9,0.9,2.8,0.066,,1.0,-2.1,-1.1,0.4,East
