Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Quincy Acy\acyqu01,SF,23,TOT,63,847,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,,0.6,0.9,1.5,0.086,,-2.5,1.4,-1.1,0.2,NaN
1,Quincy Acy\acyqu01,SF,23,TOR,7,61,17.2,0.542,0.35700000000000004,0.5710000000000001,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,,0.1,0.1,0.2,0.188,,0.5,3.7,4.1,0.1,East
1,Quincy Acy\acyqu01,SF,23,SAC,56,786,9.6,0.518,0.079,0.354,9.5,19.5,14.4,4.4,1.2,2.4,16.0,9.8,,0.5,0.7,1.3,0.078,,-2.8,1.2,-1.5,0.1,West
2,Steven Adams\adamsst01,C,20,OKC,81,1197,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,,0.9,1.9,2.9,0.114,,-2.1,2.4,0.3,0.7,West
3,Jeff Adrien\adrieje01,PF,27,TOT,53,961,17.4,0.5529999999999999,0.0,0.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,,1.6,1.1,2.7,0.134,,-1.4,0.3,-1.1,0.2,NaN
3,Jeff Adrien\adrieje01,PF,27,CHA,25,256,14.9,0.5589999999999999,0.0,0.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,,0.4,0.5,0.9,0.17,,-2.5,2.9,0.4,0.2,East
3,Jeff Adrien\adrieje01,PF,27,MIL,28,705,18.4,0.552,0.0,0.4,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,,1.2,0.6,1.8,0.121,,-0.9,-0.7,-1.6,0.1,East
4,Arron Afflalo\afflaar01,SG,28,ORL,73,2552,16.0,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,,4.3,1.0,5.3,0.099,,1.7,-2.3,-0.6,0.9,East
5,Alexis Ajinca\ajincal01,C,25,NOP,56,951,14.6,0.589,0.004,0.26899999999999996,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,,1.2,0.9,2.1,0.10400000000000001,,-1.5,0.8,-0.7,0.3,West
6,Cole Aldrich\aldrico01,C,25,NYK,46,330,19.1,0.62,0.0,0.49200000000000005,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,,0.6,0.6,1.2,0.17800000000000002,,-2.6,3.8,1.2,0.3,East
7,LaMarcus Aldridge\aldrila01,PF,28,POR,69,2498,21.8,0.507,0.011000000000000001,0.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,,4.0,3.5,7.5,0.14400000000000002,,-0.4,0.7,0.3,1.5,West
8,Lavoy Allen\allenla01,PF,24,TOT,65,1072,12.5,0.47,0.043,0.16699999999999998,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,,0.6,0.9,1.5,0.066,,-3.1,0.3,-2.8,-0.2,NaN
