Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
1,Tariq Abdul-Wahad\abdulta01,SG,28,DAL,14,204,12.4,0.47,0.017,0.10300000000000001,7.6,14.0,10.8,15.4,1.5,1.1,10.3,15.0,0.2,0.2,0.4,0.10400000000000001,-1.2,0.7,-0.5,0.1,West
2,Shareef Abdur-Rahim\abdursh01,PF,26,ATL,81,3087,19.9,0.5660000000000001,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13.0,24.2,7.4,2.3,9.7,0.151,2.1,-0.4,1.7,2.8,East
3,Courtney Alexander\alexaco02,PG,25,NOH,66,1360,9.3,0.45899999999999996,0.113,0.289,3.3,6.8,5.0,9.8,1.2,0.3,10.7,21.3,0.1,1.0,1.1,0.04,-3.2,-2.3,-5.5,-1.2,East
4,Malik Allen\allenma01,PF,24,MIA,80,2318,9.9,0.455,0.005,0.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,-1.7,2.6,0.9,0.018000000000000002,-4.6,0.6,-3.9,-1.1,East
5,Ray Allen*\allenra02,SG,27,TOT,76,2880,21.3,0.565,0.391,0.253,3.8,11.8,7.8,21.6,1.9,0.4,11.6,27.8,7.6,1.5,9.1,0.152,5.6,-1.8,3.7,4.2,NaN
5,Ray Allen*\allenra02,SG,27,MIL,47,1683,19.9,0.564,0.387,0.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,3.8,0.5,4.3,0.12300000000000001,4.5,-2.6,1.9,1.6,East
5,Ray Allen*\allenra02,SG,27,SEA,29,1197,23.3,0.5670000000000001,0.396,0.268,4.7,11.4,8.0,27.3,2.1,0.2,11.5,27.7,3.8,1.0,4.8,0.193,7.1,-0.7,6.4,2.5,West
6,Rafer Alston\alstora01,PG,26,TOR,47,980,14.4,0.51,0.38799999999999996,0.161,2.3,10.4,6.2,34.0,2.1,1.1,19.3,20.7,0.7,0.5,1.2,0.059000000000000004,0.6,-2.1,-1.5,0.1,East
7,John Amaechi\amaecjo01,C,32,UTA,50,474,3.1,0.35100000000000003,0.0,0.441,6.9,12.5,9.8,6.8,1.6,1.1,19.4,17.0,-1.1,0.4,-0.7,-0.07,-7.0,-0.5,-7.5,-0.7,West
8,Chris Andersen\anderch01,C,24,DEN,59,907,14.0,0.44,0.004,0.491,13.3,22.3,17.6,6.3,1.7,5.3,14.8,19.9,-0.5,1.7,1.1,0.059000000000000004,-4.8,2.1,-2.7,-0.2,West
9,Derek Anderson\anderde01,PG,28,POR,76,2556,16.9,0.556,0.39799999999999996,0.32299999999999995,2.5,10.0,6.2,20.7,1.9,0.5,11.9,19.5,5.9,2.2,8.1,0.153,3.1,-0.6,2.5,2.9,West
10,Kenny Anderson\anderke01,PG,32,TOT,61,1135,13.6,0.457,0.018000000000000002,0.149,3.2,10.6,6.8,29.8,2.8,0.3,15.6,19.7,0.4,1.3,1.6,0.069,-1.9,-0.3,-2.1,0.0,NaN
