Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Shareef Abdur-Rahim\abdursh01,PF,29,SAC,72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,,4.0,2.2,6.2,0.152,,0.4,0.4,0.9,1.4,West
2,Alex Acker\ackeral01,SG,23,DET,5,35,-2.4,0.281,0.313,0.0,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,,-0.2,0.0,-0.2,-0.23,,-10.4,-1.9,-12.3,-0.1,East
3,Malik Allen\allenma01,PF,27,CHI,54,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,,0.0,1.0,1.0,0.068,,-3.9,0.0,-3.9,-0.3,East
4,Ray Allen*\allenra02,SG,30,SEA,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,,9.8,-0.3,9.5,0.15,,6.7,-3.1,3.6,4.2,West
5,Tony Allen\allento01,PG,24,BOS,51,978,12.9,0.5539999999999999,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,,0.6,1.0,1.7,0.08199999999999999,,-1.6,0.2,-1.4,0.2,East
6,Rafer Alston\alstora01,PG,29,HOU,63,2431,12.6,0.475,0.423,0.19399999999999998,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,,0.2,3.1,3.4,0.067,,0.1,0.7,0.8,1.7,West
7,Chris Andersen\anderch01,C,27,NOK,32,570,14.1,0.562,0.0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,,0.6,0.7,1.3,0.11199999999999999,,-2.8,1.3,-1.5,0.1,West
8,Alan Anderson\anderal01,SF,23,CHA,36,564,10.4,0.52,0.32,0.22699999999999998,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,,0.2,0.3,0.4,0.037000000000000005,,-1.9,-1.8,-3.7,-0.2,East
9,Derek Anderson\anderde01,SG,31,TOT,43,1047,10.8,0.496,0.442,0.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,,0.5,1.1,1.6,0.07400000000000001,,-1.2,-0.4,-1.5,0.1,NaN
9,Derek Anderson\anderde01,SG,31,HOU,20,582,12.5,0.527,0.387,0.42200000000000004,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,,0.3,0.7,1.0,0.084,,-1.0,0.2,-0.8,0.2,West
