Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Mahmoud Abdul-Rauf\abdulma02,PG,28,SAC,31,530,10.5,0.405,0.114,0.059000000000000004,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,,-0.5,0.2,-0.3,-0.025,,-3.4,-3.7,-7.1,-0.7,West
2,Tariq Abdul-Wahad\abdulta01,SG,23,SAC,59,959,10.1,0.456,0.053,0.35,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,,-0.8,0.6,-0.2,-0.008,,-4.2,-1.7,-5.9,-0.9,West
3,Shareef Abdur-Rahim\abdursh01,SF,21,VAN,82,2950,21.1,0.562,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,,6.3,0.6,6.9,0.113,,2.6,-1.4,1.2,2.3,West
4,Cory Alexander\alexaco01,PG,24,TOT,60,1298,15.2,0.5479999999999999,0.44,0.255,1.5,11.7,6.6,28.7,2.9,0.6,20.1,19.8,,1.0,1.2,2.2,0.081,,0.9,-0.8,0.1,0.7,NaN
4,Cory Alexander\alexaco01,PG,24,SAS,37,501,11.1,0.512,0.441,0.255,1.7,8.7,5.4,23.2,2.7,0.7,22.6,19.5,,-0.2,0.8,0.7,0.065,,-1.7,0.2,-1.5,0.1,West
4,Cory Alexander\alexaco01,PG,24,DEN,23,797,17.8,0.569,0.439,0.255,1.4,13.6,7.3,32.1,3.0,0.6,18.6,19.9,,1.2,0.3,1.5,0.091,,2.5,-1.5,1.1,0.6,West
5,Ray Allen*\allenra02,SG,22,MIL,82,3287,16.2,0.539,0.28,0.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,,4.7,2.3,7.0,0.102,,2.6,-0.8,1.8,3.2,East
6,Derek Anderson\anderde01,SF,23,CLE,66,1839,15.3,0.531,0.14300000000000002,0.5379999999999999,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,,2.6,2.8,5.3,0.139,,0.4,0.7,1.0,1.4,East
7,Greg Anderson\andergr01,C,33,ATL,50,398,10.4,0.444,0.062,0.506,12.0,22.6,17.4,5.9,2.6,1.8,14.7,13.5,,0.0,0.7,0.7,0.09,,-2.8,1.3,-1.6,0.0,East
8,Kenny Anderson\anderke01,PG,27,TOT,61,1858,14.8,0.491,0.237,0.28800000000000003,2.5,8.4,5.4,31.4,2.5,0.0,15.8,21.8,,1.7,2.0,3.7,0.096,,0.5,-1.1,-0.6,0.7,NaN
