Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Kareem Abdul-Jabbar*\abdulka01,C,33,LAL,80,2976,25.5,0.616,0.001,0.379,7.6,21.5,15.0,13.6,0.9,4.0,12.8,26.3,,9.6,4.6,14.3,0.23,,3.9,1.4,5.3,5.4,West
2,Tom Abernethy\abernto01,SF,26,TOT,39,298,8.0,0.45899999999999996,0.017,0.373,7.1,10.6,8.8,8.0,1.1,0.6,10.4,10.3,,0.2,0.2,0.4,0.062,,-2.6,-0.7,-3.2,-0.1,NaN
2,Tom Abernethy\abernto01,SF,26,GSW,10,39,3.2,0.46299999999999997,0.0,1.0,2.8,20.2,11.4,2.9,1.2,0.0,31.6,6.4,,0.0,0.0,0.0,-0.004,,-6.0,-0.2,-6.2,0.0,West
2,Tom Abernethy\abernto01,SF,26,IND,29,259,8.7,0.45799999999999996,0.018000000000000002,0.33899999999999997,7.8,9.1,8.4,8.8,1.1,0.7,8.5,10.9,,0.2,0.2,0.4,0.07200000000000001,,-2.0,-0.8,-2.8,-0.1,East
3,Alvan Adams\adamsal01,C,26,PHO,75,2054,20.3,0.5670000000000001,0.0,0.298,8.6,20.5,14.7,24.5,2.4,1.9,18.7,23.0,,3.3,4.5,7.7,0.18,,2.0,3.3,5.3,3.8,West
4,Darrell Allums\allumda01,PF,22,DAL,22,276,5.3,0.385,0.015,0.32799999999999996,7.6,19.7,13.4,12.5,0.9,1.7,23.1,15.1,,-0.5,0.2,-0.3,-0.054000000000000006,,-5.9,0.4,-5.6,-0.2,West
5,Tiny Archibald*\architi01,PG,32,BOS,80,2820,14.3,0.5820000000000001,0.012,0.547,1.5,5.4,3.6,28.5,1.3,0.4,21.8,17.5,,4.6,2.3,6.9,0.11800000000000001,,0.4,-1.6,-1.3,0.5,East
6,Dennis Awtrey\awtrede01,C,32,SEA,47,607,6.7,0.501,0.0,0.215,6.1,13.3,9.8,11.5,0.9,0.7,24.5,9.0,,0.0,0.6,0.6,0.047,,-3.4,0.8,-2.6,-0.1,West
7,James Bailey\baileja01,PF,23,SEA,82,2539,14.5,0.546,0.002,0.406,8.5,17.6,13.1,5.8,1.4,3.1,17.3,20.3,,1.4,3.6,4.9,0.094,,-1.3,1.2,-0.1,1.2,West
8,Greg Ballard\ballagr01,SF,26,WSB,82,2610,16.7,0.5,0.027000000000000003,0.165,6.7,16.8,11.7,10.9,2.1,0.8,8.4,21.4,,2.8,4.1,6.9,0.127,,0.6,2.0,2.7,3.1,East
9,Mike Bantom\bantomi01,SF,29,IND,76,2375,14.5,0.528,0.006999999999999999,0.319,6.7,13.1,9.8,14.4,1.6,2.0,16.4,20.3,,1.8,2.5,4.4,0.08800000000000001,,-0.1,0.8,0.7,1.6,East
10,Billy Ray Bates\batesbi01,SG,24,POR,77,1560,19.3,0.537,0.06,0.221,4.9,6.0,5.5,19.0,2.4,0.2,13.1,28.9,,2.4,1.2,3.6,0.111,,1.9,-2.5,-0.7,0.5,West
11,Mel Bennett\benneme01,PF,26,UTA,28,313,10.7,0.5489999999999999,0.033,1.35,12.2,21.7,17.0,6.3,0.5,2.0,24.5,17.4,,0.1,0.2,0.3,0.045,,-3.7,-1.4,-5.2,-0.3,West
12,Kent Benson\bensoke01,C,26,DET,59,1956,15.1,0.524,0.005,0.33,7.0,17.4,11.9,13.9,1.7,2.0,17.7,22.2,,0.6,2.5,3.1,0.075,,-0.9,1.1,0.2,1.1,East
13,Henry Bibby\bibbyhe01,PG,31,SDC,73,1112,10.6,0.48,0.31,0.32,2.5,5.4,3.9,23.2,2.0,0.1,17.9,15.6,,0.5,0.5,1.0,0.043,,-1.4,-2.3,-3.7,-0.5,West
