Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Kareem Abdul-Jabbar*\abdulka01,C,32,LAL,82,3143,25.3,0.639,0.001,0.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,,9.5,5.3,14.8,0.22699999999999998,,4.0,2.7,6.7,6.8,West
2,Tom Abernethy\abernto01,PF,25,GSW,67,1222,11.0,0.511,0.003,0.258,5.4,12.0,8.6,9.3,1.4,0.6,9.9,13.3,,1.2,0.8,2.0,0.08,,-1.5,-0.1,-1.6,0.1,West
3,Alvan Adams\adamsal01,C,25,PHO,75,2168,19.2,0.5710000000000001,0.002,0.27,8.2,22.4,15.4,21.6,2.3,1.4,18.2,21.9,,3.1,3.9,7.0,0.155,,1.6,2.8,4.4,3.5,West
4,Tiny Archibald*\architi01,PG,31,BOS,80,2864,15.3,0.574,0.023,0.5479999999999999,2.3,5.3,3.8,30.2,1.7,0.2,19.7,17.0,,5.9,2.9,8.9,0.14800000000000002,,1.1,-1.1,0.0,1.5,East
5,Dennis Awtrey\awtrede01,C,31,CHI,26,560,7.4,0.524,0.0,0.833,6.0,16.9,11.5,9.0,1.0,1.5,24.8,7.9,,0.1,0.5,0.6,0.053,,-2.9,1.5,-1.4,0.1,West
6,Gus Bailey\bailegu01,SG,28,WSB,20,180,9.3,0.467,0.028999999999999998,0.371,3.3,12.4,7.8,17.8,1.8,1.2,21.3,11.3,,0.0,0.2,0.2,0.043,,-3.7,1.3,-2.4,0.0,East
7,James Bailey\baileja01,PF,22,SEA,67,726,12.3,0.495,0.0,0.373,10.2,18.3,14.3,5.3,1.4,4.1,20.0,21.4,,-0.4,1.4,1.0,0.063,,-4.5,0.9,-3.5,-0.3,West
8,Greg Ballard\ballagr01,SF,25,WSB,82,2438,18.1,0.532,0.043,0.20600000000000002,9.8,16.6,13.1,9.7,1.7,0.8,10.0,21.6,,4.1,2.8,6.9,0.136,,2.0,0.5,2.5,2.7,East
9,Mike Bantom\bantomi01,SF,28,IND,77,2330,13.7,0.5329999999999999,0.004,0.275,8.3,12.1,10.1,15.9,1.7,1.1,18.2,17.3,,2.1,1.9,3.9,0.081,,0.1,0.2,0.3,1.4,East
10,Marvin Barnes\barnema01,PF,27,SDC,20,287,8.2,0.43200000000000005,0.0,0.5329999999999999,12.4,16.8,14.5,7.8,0.8,2.3,19.5,12.8,,-0.1,0.2,0.1,0.019,,-3.2,0.1,-3.1,-0.1,West
