Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Alaa Abdelnaby\abdelal01,PF,26,TOT,54,506,12.6,0.519,0.009000000000000001,0.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,,-0.4,0.7,0.3,0.027000000000000003,,-4.6,-1.7,-6.3,-0.6,NaN
1,Alaa Abdelnaby\abdelal01,PF,26,SAC,51,476,14.1,0.54,0.009000000000000001,0.159,8.5,17.3,13.0,5.3,1.6,1.9,14.5,25.7,,-0.1,0.7,0.6,0.057999999999999996,,-3.6,-1.4,-5.0,-0.4,West
1,Alaa Abdelnaby\abdelal01,PF,26,PHI,3,30,-12.5,0.091,0.0,0.0,11.6,19.6,15.5,0.0,0.0,0.0,31.3,23.8,,-0.3,0.0,-0.3,-0.466,,-21.1,-6.9,-28.0,-0.2,East
2,Mahmoud Abdul-Rauf\abdulma02,PG,25,DEN,73,2082,17.8,0.5429999999999999,0.214,0.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,,3.8,1.3,5.0,0.115,,2.2,-2.8,-0.6,0.7,West
3,Michael Adams\adamsmi01,PG,32,CHH,29,443,17.7,0.583,0.547,0.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,,1.1,0.5,1.6,0.16899999999999998,,3.1,-2.6,0.5,0.3,East
4,Rafael Addison\addisra01,SF,30,DET,79,1776,11.3,0.521,0.142,0.16899999999999998,4.4,11.6,8.0,9.9,1.5,1.0,10.8,17.8,,0.9,0.6,1.5,0.04,,-1.9,-1.5,-3.4,-0.6,East
5,Danny Ainge\aingeda01,SG,35,PHO,74,1374,14.3,0.596,0.507,0.308,2.1,7.0,4.6,21.7,1.7,0.4,14.2,17.6,,2.8,0.6,3.4,0.11800000000000001,,2.1,-2.5,-0.4,0.6,West
6,Victor Alexander\alexavi01,C,25,GSW,50,1237,12.8,0.53,0.055999999999999994,0.134,7.7,18.4,13.0,7.8,1.1,1.6,13.8,18.8,,0.3,0.8,1.1,0.044000000000000004,,-2.4,-0.3,-2.7,-0.2,West
7,Derrick Alston\alstode01,C,22,PHI,64,1032,11.6,0.48100000000000004,0.016,0.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,,0.0,1.0,1.0,0.045,,-2.9,0.5,-2.4,-0.1,East
8,Greg Anderson\andergr01,PF,30,ATL,51,622,12.6,0.547,0.0,0.6829999999999999,11.3,24.2,17.6,4.1,2.0,3.9,19.1,12.2,,0.3,1.3,1.5,0.11800000000000001,,-4.1,2.7,-1.4,0.1,East
