Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Kareem Abdul-Jabbar*\abdulka01,C,36,LAL,80,2622,21.3,0.608,0.001,0.318,7.8,16.8,12.7,11.5,1.0,2.9,13.5,25.1,,5.9,3.1,8.9,0.163,,2.4,0.4,2.8,3.2,West
2,Alvan Adams\adamsal01,C,29,PHO,70,1452,16.6,0.513,0.006999999999999999,0.275,9.5,16.3,12.9,20.3,2.4,1.2,15.2,21.7,,1.5,1.8,3.3,0.109,,0.7,1.3,2.0,1.5,West
3,Mark Aguirre\aguirma01,SF,24,DAL,79,2900,23.5,0.5720000000000001,0.032,0.35200000000000004,6.4,12.3,9.4,21.0,1.3,0.4,12.3,33.4,,7.0,2.0,9.0,0.149,,5.0,-1.7,3.3,3.9,West
4,Danny Ainge\aingeda01,SG,24,BOS,71,1154,10.4,0.498,0.061,0.155,3.0,8.3,5.7,18.4,1.7,0.2,15.4,16.2,,0.5,1.3,1.8,0.076,,-1.8,-0.6,-2.4,-0.1,East
5,J.J. Anderson\anderjj01,SF,23,UTA,48,311,11.6,0.42700000000000005,0.023,0.223,13.6,8.0,10.6,9.6,2.2,1.5,12.3,20.8,,-0.2,0.3,0.1,0.013000000000000001,,-2.4,-0.8,-3.2,-0.1,West
6,Richard Anderson\anderri01,PF,23,DEN,78,1380,14.6,0.47100000000000003,0.03,0.235,10.1,21.1,15.5,17.6,1.4,1.1,13.4,22.2,,0.3,1.0,1.3,0.044000000000000004,,-1.0,-0.5,-1.5,0.2,West
7,Tiny Archibald*\architi01,PG,35,MIL,46,1038,10.6,0.526,0.065,0.36200000000000004,1.8,6.3,4.2,21.1,1.6,0.0,19.4,16.3,,0.3,1.1,1.4,0.065,,-2.1,-1.0,-3.1,-0.3,East
8,Ken Austin\austike01,SF,22,DET,7,28,5.6,0.462,0.0,0.0,7.3,4.0,5.7,4.8,1.7,2.0,18.8,22.0,,0.0,0.0,0.0,-0.046,,-5.1,-1.7,-6.9,0.0,East
9,John Bagley\baglejo01,PG,23,CLE,76,1712,12.8,0.485,0.027999999999999997,0.326,3.1,7.4,5.2,27.9,2.2,0.1,19.7,21.0,,-0.4,1.3,0.9,0.025,,-1.7,-1.1,-2.8,-0.3,East
10,James Bailey\baileja01,PF,26,HOU,73,1174,15.5,0.537,0.002,0.371,9.6,17.4,13.5,9.3,1.3,1.9,14.4,23.6,,1.0,1.3,2.3,0.09300000000000001,,-1.0,-0.5,-1.5,0.1,West
11,Thurl Bailey\baileth01,PF,22,UTA,81,2009,12.9,0.539,0.0,0.198,6.4,17.3,12.1,8.4,0.9,3.1,14.1,14.8,,1.3,2.3,3.6,0.086,,-1.8,1.5,-0.3,0.9,West
12,Greg Ballard\ballagr01,SF,29,WSB,82,2701,15.3,0.515,0.013999999999999999,0.196,6.1,15.0,10.5,16.5,1.7,0.7,11.0,20.5,,2.4,3.2,5.6,0.099,,0.1,1.1,1.2,2.2,East
13,Gene Banks\banksge01,PF,24,SAS,80,2600,15.4,0.606,0.008,0.361,8.5,15.2,11.9,12.0,1.8,0.5,16.1,15.4,,4.5,1.7,6.2,0.115,,2.3,1.2,3.6,3.6,West
14,Dave Batton\battoda01,C,27,SAS,4,31,6.4,0.5,0.0,0.0,3.5,10.1,6.9,11.8,0.0,5.0,28.6,17.5,,-0.1,0.0,0.0,-0.068,,-6.1,0.2,-5.9,0.0,West
15,Kent Benson\bensoke01,C,29,DET,82,1734,14.0,0.584,0.002,0.22399999999999998,6.9,18.6,12.6,9.2,1.9,1.7,13.8,12.8,,2.5,2.2,4.7,0.131,,0.0,2.0,1.9,1.7,East
16,Larry Bird*\birdla01,PF,27,BOS,79,3028,24.2,0.552,0.047,0.273,7.0,22.3,14.9,26.2,2.3,1.3,12.1,26.7,,7.9,5.6,13.6,0.215,,4.7,3.0,7.8,7.4,East
17,Otis Birdsong\birdsot01,SG,28,NJN,69,2168,16.8,0.53,0.017,0.278,3.8,5.1,4.5,19.1,1.8,0.5,11.7,26.7,,2.4,2.1,4.5,0.1,,1.3,-1.4,-0.1,1.0,East
18,Rolando Blackman\blackro01,SG,24,DAL,81,3025,19.8,0.596,0.008,0.34700000000000003,4.8,9.5,7.2,14.2,0.9,0.7,10.0,23.3,,8.3,1.5,9.8,0.155,,3.4,-1.5,1.9,3.0,West
19,Tom Boswell\bosweto01,PF,30,UTA,38,261,10.2,0.596,0.019,0.40399999999999997,11.9,13.7,12.9,7.6,1.6,0.0,17.5,11.3,,0.4,0.3,0.6,0.115,,-0.4,-0.3,-0.8,0.1,West
20,Charles Bradley\bradlch01,SG,24,SEA,8,39,0.5,0.546,0.0,1.0,0.0,8.7,4.4,16.1,0.0,1.4,44.2,19.3,,-0.1,0.0,-0.1,-0.152,,-10.3,-2.1,-12.4,-0.1,West
21,Mike Bratz\bratzmi01,PG,28,GSW,82,1428,12.9,0.483,0.098,0.263,2.9,8.4,5.5,23.9,2.7,0.2,15.8,18.8,,0.6,1.3,1.9,0.063,,-1.4,-1.2,-2.6,-0.2,West
22,Randy Breuer\breuera01,C,23,MIL,57,472,9.2,0.426,0.0,0.26,12.0,14.1,13.1,5.0,1.2,4.7,15.1,20.8,,-0.5,0.8,0.3,0.028999999999999998,,-5.3,0.8,-4.5,-0.3,East
23,Ron Brewer\brewero01,SG,28,TOT,53,992,9.6,0.47700000000000004,0.035,0.166,2.4,4.4,3.4,6.5,1.1,1.1,8.5,18.5,,0.1,0.2,0.3,0.016,,-2.7,-2.2,-4.9,-0.7,NaN
23,Ron Brewer\brewero01,SG,28,GSW,13,210,8.6,0.496,0.017,0.293,2.4,4.5,3.4,3.8,1.3,1.3,9.7,13.4,,0.1,0.1,0.2,0.038,,-3.7,-1.3,-5.0,-0.2,West
23,Ron Brewer\brewero01,SG,28,SAS,40,782,9.9,0.474,0.038,0.145,2.4,4.4,3.4,7.2,1.0,1.1,8.3,19.8,,0.1,0.1,0.2,0.011000000000000001,,-2.4,-2.5,-4.9,-0.6,West
24,Junior Bridgeman\bridgju01,SF,30,MIL,81,2431,14.3,0.508,0.027999999999999997,0.222,3.9,11.3,7.8,16.7,1.1,0.3,11.0,23.4,,2.1,3.0,5.1,0.1,,-0.4,-0.6,-1.0,0.6,East
25,Michael Brooks\brookmi01,SF,25,SDC,47,1405,14.0,0.518,0.011000000000000001,0.33899999999999997,11.5,16.1,13.8,8.1,1.7,0.5,13.2,16.7,,1.6,0.8,2.4,0.081,,0.9,0.3,1.1,1.1,West
26,Fred Brown\brownfr01,SG,35,SEA,71,1129,17.1,0.5529999999999999,0.067,0.17,1.4,4.8,3.1,26.6,2.1,0.1,11.4,22.6,,1.8,0.8,2.6,0.111,,1.1,-3.1,-2.0,0.0,West
27,Rickey Brown\brownri01,C,25,ATL,68,785,9.0,0.514,0.0,0.32299999999999995,9.6,16.8,13.2,5.3,1.2,1.7,18.8,15.5,,0.0,0.9,0.9,0.055999999999999994,,-3.3,0.3,-2.9,-0.2,East
28,Wallace Bryant\bryanwa01,C,24,CHI,29,317,9.6,0.4,0.0,0.248,13.2,15.8,14.5,6.2,1.4,2.0,9.8,21.4,,-0.4,0.4,0.0,-0.001,,-4.3,-0.9,-5.2,-0.3,East
29,Quinn Buckner\bucknqu01,PG,29,BOS,79,1249,9.4,0.456,0.019,0.22899999999999998,3.9,8.4,6.2,21.5,3.2,0.1,22.0,15.0,,-0.6,1.9,1.3,0.052000000000000005,,-2.7,1.1,-1.6,0.1,East
30,Don Buse\busedo01,PG,33,KCK,76,1327,13.4,0.49200000000000005,0.168,0.22699999999999998,2.4,7.6,5.0,29.4,3.0,0.0,18.3,14.4,,0.8,1.4,2.2,0.08,,-1.0,-0.6,-1.6,0.1,West
31,Kenny Carr\carrke01,PF,28,POR,82,2455,17.3,0.5920000000000001,0.005,0.39799999999999996,9.8,21.5,15.5,9.1,1.3,0.8,15.7,21.1,,4.1,2.6,6.7,0.131,,1.2,-0.2,1.0,1.9,West
32,M.L. Carr\carrml01,SF,33,BOS,60,585,7.8,0.48100000000000004,0.08800000000000001,0.281,5.2,9.2,7.3,10.7,1.4,0.4,19.3,16.7,,-0.2,0.6,0.4,0.034,,-3.5,-0.6,-4.1,-0.3,East
33,Joe Barry Carroll\carrojo01,C,25,GSW,80,2962,16.8,0.519,0.001,0.312,8.1,15.9,11.7,10.1,1.6,2.7,14.5,24.3,,1.6,3.1,4.7,0.077,,-0.5,0.6,0.2,1.6,West
34,Butch Carter\cartebu01,SG,25,IND,73,2045,13.5,0.52,0.053,0.20600000000000002,3.8,4.5,4.1,15.0,2.9,0.4,13.0,21.8,,0.4,2.2,2.6,0.061,,-0.6,-0.5,-1.2,0.4,East
35,Howard Carter\carteho01,SG,22,DEN,55,688,12.0,0.499,0.06,0.193,5.7,7.5,6.6,13.2,1.2,0.3,10.9,21.1,,0.3,0.1,0.4,0.027999999999999997,,-1.2,-3.3,-4.5,-0.4,West
36,Bill Cartwright\cartwbi01,C,26,NYK,77,2487,18.5,0.637,0.001,0.621,9.6,22.1,15.9,6.4,0.9,2.4,16.3,20.6,,5.6,4.2,9.8,0.18899999999999997,,1.1,1.4,2.5,2.8,East
37,Harvey Catchings\catchha01,PF,32,MIL,69,1156,6.7,0.42,0.006999999999999999,0.275,9.1,17.2,13.3,4.6,1.1,4.1,24.9,8.4,,-0.7,2.1,1.3,0.055999999999999994,,-4.7,3.7,-1.0,0.3,East
38,Tom Chambers\chambto01,PF,24,SEA,82,2570,16.6,0.563,0.011000000000000001,0.423,9.7,13.8,11.8,7.9,0.9,1.1,12.7,24.4,,4.0,2.1,6.1,0.115,,0.9,-1.2,-0.3,1.1,West
39,Maurice Cheeks*\cheekma01,PG,27,PHI,75,2494,16.4,0.591,0.027999999999999997,0.33,2.1,7.1,4.7,27.7,3.3,0.5,18.5,16.3,,3.9,3.4,7.3,0.141,,1.5,0.7,2.1,2.6,East
40,Carlos Clark\clarkca01,SG,23,BOS,31,127,12.1,0.451,0.038,0.34600000000000003,6.5,8.6,7.6,17.7,3.0,0.4,16.7,23.3,,-0.1,0.2,0.1,0.048,,-3.0,-0.3,-3.3,0.0,East
41,Don Collins\collido02,SG,25,GSW,61,957,12.4,0.516,0.013000000000000001,0.23,6.6,8.2,7.3,10.1,2.1,0.8,15.8,20.6,,0.2,0.7,0.9,0.047,,-1.9,-1.2,-3.1,-0.3,West
42,Leroy Combs\combsle01,SF,23,IND,48,446,13.5,0.537,0.018000000000000002,0.5579999999999999,4.7,9.1,6.9,12.4,2.4,2.3,18.5,23.0,,-0.2,0.6,0.4,0.040999999999999995,,-3.3,-0.1,-3.3,-0.1,East
43,Lester Conner\connele01,SG,24,GSW,82,2573,15.1,0.537,0.008,0.355,5.2,7.9,6.5,20.9,2.9,0.3,14.5,14.9,,3.6,2.3,5.9,0.11,,0.9,0.7,1.6,2.3,West
44,Darwin Cook\cookda01,PG,25,NJN,82,1870,14.5,0.48100000000000004,0.067,0.183,3.1,6.5,4.8,25.4,4.1,1.1,16.1,18.8,,0.6,3.0,3.6,0.092,,-0.6,1.6,1.0,1.4,East
45,Jeff Cook\cookje01,C,27,CLE,81,1950,11.2,0.53,0.005,0.336,9.8,18.7,14.1,8.4,1.7,1.4,17.0,11.4,,1.4,2.2,3.7,0.09,,-1.3,2.3,1.0,1.5,East
46,Michael Cooper\coopemi01,SG,27,LAL,82,2387,14.1,0.586,0.22,0.337,2.7,9.2,6.2,23.5,2.2,1.5,19.0,13.1,,3.9,2.6,6.5,0.13,,1.1,0.9,2.0,2.4,West
47,Wayne Cooper\coopewa01,C,27,POR,81,1662,15.8,0.519,0.011000000000000001,0.34700000000000003,12.2,22.0,17.0,6.2,0.7,3.8,12.6,21.2,,2.0,2.0,4.1,0.11800000000000001,,-1.3,-0.2,-1.5,0.2,West
48,Dave Corzine\corzida01,C,27,CHI,82,2674,13.5,0.531,0.011000000000000001,0.33399999999999996,7.2,17.7,12.4,11.1,1.0,2.6,15.6,17.3,,1.6,3.1,4.7,0.084,,-1.2,2.0,0.7,1.8,East
49,Charlie Criss\crissch01,PG,35,TOT,15,215,10.8,0.449,0.115,0.308,2.7,7.9,5.3,23.8,1.9,0.0,14.5,13.7,,0.1,0.2,0.3,0.068,,-2.6,-1.1,-3.6,-0.1,NaN
49,Charlie Criss\crissch01,PG,35,MIL,6,107,10.6,0.431,0.2,0.36700000000000005,2.2,7.2,4.8,20.9,2.3,0.0,10.3,15.3,,0.0,0.1,0.2,0.077,,-2.3,-0.8,-3.0,0.0,East
49,Charlie Criss\crissch01,PG,35,ATL,9,108,11.0,0.475,0.0,0.22699999999999998,3.1,8.6,5.8,26.6,1.4,0.0,19.9,12.1,,0.0,0.1,0.1,0.057999999999999996,,-2.9,-1.4,-4.3,-0.1,East
50,Geoff Crompton\crompge01,C,28,CLE,7,23,0.9,0.235,0.0,0.75,28.6,15.4,22.2,5.4,2.1,2.6,27.3,26.5,,-0.2,0.0,-0.1,-0.254,,-10.0,-0.7,-10.7,-0.1,East
51,Russell Cross\crossru01,C,22,GSW,45,354,15.3,0.546,0.0,0.813,10.0,15.6,12.6,8.8,1.6,1.1,11.1,18.8,,0.5,0.3,0.8,0.106,,-0.6,-1.3,-1.8,0.0,West
52,Pat Cummings\cummipa01,PF,27,DAL,80,2492,13.8,0.523,0.002,0.20800000000000002,7.0,23.6,15.3,8.7,1.2,0.5,12.8,19.2,,1.6,2.7,4.2,0.081,,-1.4,-0.1,-1.5,0.3,West
53,Terry Cummings\cummite01,PF,22,SDC,81,2907,19.8,0.5379999999999999,0.002,0.354,12.6,17.6,15.1,7.2,1.5,1.1,11.2,26.6,,5.7,1.8,7.5,0.12300000000000001,,2.3,-1.3,0.9,2.2,West
54,Earl Cureton\curetea01,C,26,DET,73,907,8.6,0.475,0.006,0.33299999999999996,9.7,24.5,16.8,4.6,1.2,1.9,21.3,10.9,,-0.2,1.2,1.0,0.051,,-4.1,1.2,-2.9,-0.2,East
55,Quintin Dailey\dailequ01,SG,23,CHI,82,2449,15.8,0.531,0.026000000000000002,0.322,2.8,8.3,5.5,17.6,2.1,0.3,13.6,27.4,,1.5,2.2,3.7,0.07200000000000001,,0.2,-1.2,-1.0,0.6,East
56,Adrian Dantley*\dantlad01,SF,27,UTA,79,2984,24.6,0.652,0.003,0.6579999999999999,6.7,9.0,7.9,16.2,0.9,0.1,12.4,28.2,,13.0,1.6,14.6,0.235,,6.6,-2.2,4.4,4.8,West
57,Brad Davis\davisbr01,PG,28,DAL,81,2665,14.4,0.593,0.057999999999999996,0.366,1.8,6.3,4.1,27.1,1.7,0.3,18.0,14.4,,4.8,1.5,6.2,0.11199999999999999,,0.8,-1.5,-0.7,0.9,West
58,Charles Davis\davisch02,SF,25,WSB,46,467,13.4,0.491,0.040999999999999995,0.179,8.5,17.2,12.9,10.4,1.5,1.2,13.3,24.8,,-0.2,0.6,0.3,0.034,,-2.9,-1.0,-3.9,-0.2,East
