Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Zaid Abdul-Aziz\abdulza01,PF-C,31,TOT,16,158,11.4,0.449,,0.38299999999999995,12.4,20.9,16.6,8.5,0.9,1.0,16.6,21.1,,0.0,0.1,0.1,0.033,,-2.6,-1.7,-4.3,-0.1,NaN
1,Zaid Abdul-Aziz\abdulza01,C,31,BOS,2,24,11.5,0.27899999999999997,,0.231,26.0,37.3,31.8,16.5,1.9,2.1,17.3,28.0,,-0.1,0.1,0.0,-0.062,,-5.2,1.4,-3.7,0.0,East
1,Zaid Abdul-Aziz\abdulza01,PF,31,HOU,14,134,11.4,0.493,,0.426,10.0,17.9,13.8,7.0,0.7,0.8,16.5,19.9,,0.1,0.0,0.1,0.05,,-2.1,-2.3,-4.4,-0.1,East
2,Kareem Abdul-Jabbar*\abdulka01,C,30,LAL,62,2265,29.2,0.589,,0.29,8.7,26.8,18.1,18.3,2.1,4.1,13.3,27.0,,7.7,4.4,12.1,0.257,,5.5,3.6,9.0,6.3,West
3,Tom Abernethy\abernto01,SF,23,LAL,73,1317,15.6,0.544,,0.275,8.5,12.0,10.3,9.7,1.9,0.8,9.9,14.9,,2.9,1.3,4.1,0.15,,1.3,0.3,1.5,1.2,West
4,Alvan Adams\adamsal01,C,23,PHO,70,1914,17.7,0.528,,0.327,8.4,22.2,15.2,16.4,1.9,1.7,18.6,24.5,,1.5,3.4,4.9,0.12300000000000001,,0.0,1.8,1.8,1.9,West
5,Lucius Allen\allenlu01,PG,30,KCK,77,2147,13.3,0.488,,0.26,3.1,7.8,5.5,22.8,1.9,0.7,18.7,20.6,,0.7,1.4,2.1,0.046,,-0.7,-0.9,-1.5,0.2,West
6,Jim Ard\ardji01,C,29,TOT,15,125,3.2,0.495,,0.294,7.8,23.2,15.6,8.1,0.0,0.0,42.2,10.7,,-0.2,0.1,-0.1,-0.040999999999999995,,-6.1,-0.8,-6.8,-0.2,NaN
6,Jim Ard\ardji01,C,29,BOS,1,9,9.4,0.266,,2.0,11.6,33.1,22.6,12.6,0.0,0.0,0.0,8.1,,0.0,0.0,0.0,0.081,,-4.1,0.4,-3.7,0.0,East
6,Jim Ard\ardji01,C,29,CHI,14,116,2.7,0.52,,0.188,7.5,22.4,15.0,7.8,0.0,0.0,44.7,10.9,,-0.2,0.1,-0.1,-0.05,,-6.2,-0.9,-7.1,-0.1,West
7,Tate Armstrong\armstta01,SG,22,CHI,66,716,11.1,0.48700000000000004,,0.096,3.7,6.7,5.2,15.7,1.5,0.0,16.6,19.7,,0.1,0.3,0.4,0.027000000000000003,,-2.2,-2.7,-4.9,-0.5,West
8,Bird Averitt\averibi01,SG,25,TOT,55,1085,10.3,0.45399999999999996,,0.29100000000000004,1.6,6.4,3.9,26.3,1.6,0.4,20.8,24.6,,-1.2,0.5,-0.7,-0.03,,-3.3,-2.9,-6.1,-1.1,NaN
8,Bird Averitt\averibi01,SG,25,NJN,21,409,8.2,0.419,,0.239,1.6,6.5,3.9,23.0,1.8,0.1,20.9,23.7,,-0.8,0.3,-0.5,-0.059000000000000004,,-4.6,-2.3,-6.9,-0.5,East
8,Bird Averitt\averibi01,SG,25,BUF,34,676,11.5,0.47600000000000003,,0.324,1.6,6.3,4.0,28.2,1.5,0.6,20.6,25.2,,-0.4,0.2,-0.2,-0.013000000000000001,,-2.4,-3.2,-5.7,-0.6,East
9,Dennis Awtrey\awtrede01,C,29,PHO,81,1623,6.1,0.47,,0.413,6.0,13.2,9.6,11.5,0.5,0.8,28.9,10.1,,-0.6,1.6,1.0,0.03,,-3.8,1.0,-2.8,-0.3,West
10,Gus Bailey\bailegu01,SG,26,NOJ,48,449,11.8,0.46,,0.48200000000000004,9.6,8.0,8.8,11.6,1.8,1.7,16.4,17.0,,0.1,0.4,0.5,0.059000000000000004,,-1.8,0.2,-1.6,0.0,East
11,Greg Ballard\ballagr01,SF,23,WSB,76,936,14.1,0.484,,0.341,10.7,17.5,14.1,8.8,1.4,0.7,14.3,18.0,,1.0,1.1,2.0,0.10400000000000001,,-0.9,-0.2,-1.1,0.2,East
12,Mike Bantom\bantomi01,SF,26,IND,82,2775,14.8,0.525,,0.327,6.3,15.3,10.7,12.2,1.6,0.9,15.4,19.2,,3.3,2.6,5.9,0.102,,0.4,0.4,0.8,2.0,West
13,Marvin Barnes\barnema01,PF,25,TOT,60,1646,13.9,0.46299999999999997,,0.275,8.8,19.6,14.2,11.8,1.8,2.6,15.5,21.1,,0.1,1.9,2.0,0.06,,-1.4,1.2,-0.2,0.7,NaN
13,Marvin Barnes\barnema01,PF,25,DET,12,269,13.0,0.45899999999999996,,0.24600000000000002,11.1,24.2,17.8,10.1,1.2,2.1,18.2,22.7,,-0.1,0.3,0.2,0.038,,-2.8,-0.1,-2.9,-0.1,East
13,Marvin Barnes\barnema01,PF,25,BUF,48,1377,14.1,0.46399999999999997,,0.282,8.4,18.7,13.6,12.2,1.9,2.7,14.9,20.8,,0.3,1.6,1.8,0.064,,-1.2,1.5,0.3,0.8,East
14,Rick Barry*\barryri01,SF,33,GSW,82,3024,20.9,0.509,,0.243,2.5,12.8,7.5,22.6,2.4,0.8,10.7,27.1,,5.9,3.8,9.7,0.154,,2.7,0.4,3.1,3.9,West
15,Tim Bassett\basseti01,PF,26,NJN,65,1474,8.6,0.408,,0.253,8.9,18.1,13.3,5.4,1.8,1.2,15.8,12.7,,-0.7,1.8,1.1,0.036000000000000004,,-3.4,1.5,-2.0,0.0,East
16,Butch Beard\beardbu01,PG,30,NYK,79,1979,14.6,0.544,,0.261,4.0,9.6,6.9,21.5,2.6,0.1,18.4,16.0,,2.8,1.6,4.4,0.107,,0.7,-0.1,0.6,1.3,East
17,Ron Behagen\behagro01,PF,27,TOT,80,1735,14.2,0.47700000000000004,,0.307,11.3,18.9,15.0,8.7,1.6,1.0,16.0,24.1,,0.4,2.0,2.4,0.066,,-1.5,-1.0,-2.4,-0.2,NaN
17,Ron Behagen\behagro01,PF,27,ATL,26,571,15.9,0.509,,0.281,9.8,23.7,16.5,9.4,2.4,1.2,17.2,23.8,,0.3,1.0,1.2,0.10300000000000001,,-1.2,0.5,-0.6,0.2,East
17,Ron Behagen\behagro01,PF,27,HOU,3,33,11.6,0.612,,0.091,6.3,16.5,11.2,8.9,0.0,0.0,20.8,17.4,,0.0,0.0,0.0,0.045,,-1.3,-2.9,-4.2,0.0,East
17,Ron Behagen\behagro01,PF,27,IND,51,1131,13.5,0.46,,0.324,12.3,16.5,14.3,8.4,1.3,0.9,15.4,24.4,,0.1,1.0,1.1,0.048,,-1.6,-1.7,-3.3,-0.4,West
18,Mel Bennett\benneme01,PF,23,IND,31,285,7.6,0.36700000000000005,,0.556,16.3,15.4,15.9,9.6,1.7,1.3,22.9,17.2,,-0.4,0.3,-0.1,-0.013999999999999999,,-3.8,0.1,-3.7,-0.1,West
19,Kent Benson\bensoke01,C,23,MIL,69,1288,13.2,0.49700000000000005,,0.298,7.2,17.2,12.1,9.8,2.4,2.2,18.2,19.3,,0.2,1.5,1.7,0.064,,-1.9,0.9,-1.0,0.3,West
20,Henry Bibby\bibbyhe01,PG,28,PHI,82,2518,11.7,0.49200000000000005,,0.332,2.6,7.3,5.0,23.0,1.6,0.1,16.8,13.6,,2.9,1.7,4.7,0.08900000000000001,,-0.2,-0.9,-1.1,0.6,East
21,Bob Bigelow\bigelbo01,SF,24,TOT,5,24,6.7,0.308,,0.0,12.8,25.2,19.1,0.0,0.0,0.0,0.0,21.0,,0.0,0.0,0.0,-0.027000000000000003,,-8.1,-9.0,-17.1,-0.1,NaN
21,Bob Bigelow\bigelbo01,SF,24,KCK,1,7,21.4,1.0,,0.0,29.1,44.0,36.5,0.0,0.0,0.0,0.0,5.4,,0.0,0.0,0.0,0.318,,2.2,-8.0,-5.8,0.0,West
21,Bob Bigelow\bigelbo01,SF,24,BOS,4,17,0.6,0.25,,0.0,6.1,17.5,12.0,0.0,0.0,0.0,0.0,27.3,,-0.1,0.0,-0.1,-0.16899999999999998,,-12.3,-9.4,-21.7,-0.1,East
22,Dave Bing*\bingda01,PG,34,BOS,80,2256,13.4,0.508,,0.315,3.5,6.0,4.8,19.2,1.6,0.4,16.8,22.1,,2.0,1.6,3.6,0.076,,-0.3,-1.4,-1.7,0.2,East
23,Otis Birdsong\birdsot01,SG,22,KCK,73,1878,17.1,0.53,,0.325,3.8,5.7,4.8,14.1,1.7,0.3,11.7,25.1,,3.3,0.9,4.2,0.10800000000000001,,1.5,-2.5,-0.9,0.5,West
24,Tom Boerwinkle\boerwto01,C,32,CHI,22,227,10.3,0.503,,0.26,6.7,21.5,14.2,26.1,0.6,1.0,31.8,14.5,,0.0,0.2,0.2,0.035,,-3.0,0.0,-3.0,-0.1,West
25,Phil Bond\bondph01,SG,23,HOU,7,21,5.3,0.33299999999999996,,0.0,4.9,15.6,10.1,11.9,2.3,0.0,25.0,15.2,,-0.1,0.0,0.0,-0.092,,-6.4,0.0,-6.4,0.0,East
26,Ron Boone\boonero01,SG,31,KCK,82,2653,14.0,0.504,,0.297,4.3,6.1,5.2,16.8,1.8,0.2,17.4,25.0,,1.3,1.3,2.6,0.047,,0.0,-1.6,-1.6,0.2,West
27,Jim Bostic\bostiji01,PF,25,DET,4,48,18.9,0.537,,0.22699999999999998,17.8,17.2,17.5,9.7,0.0,0.0,11.0,21.7,,0.1,0.0,0.1,0.14400000000000002,,2.2,-3.7,-1.6,0.0,East
