Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
9,Mike Bantom\bantomi01,SF,29,IND,76,2375,14.5,0.528,0.007,0.319,6.7,13.1,9.8,14.4,1.6,2,16.4,20.3,,1.8,2.5,4.4,0.088,,-0.1,0.8,0.7,1.6
10,Billy Ray Bates\batesbi01,SG,24,POR,77,1560,19.3,0.537,0.06,0.221,4.9,6,5.5,19,2.4,0.2,13.1,28.9,,2.4,1.2,3.6,0.111,,1.9,-2.5,-0.7,0.5
11,Mel Bennett\benneme01,PF,26,UTA,28,313,10.7,0.549,0.033,1.35,12.2,21.7,17,6.3,0.5,2,24.5,17.4,,0.1,0.2,0.3,0.045,,-3.7,-1.4,-5.2,-0.3
12,Kent Benson\bensoke01,C,26,DET,59,1956,15.1,0.524,0.005,0.33,7,17.4,11.9,13.9,1.7,2,17.7,22.2,,0.6,2.5,3.1,0.075,,-0.9,1.1,0.2,1.1
13,Henry Bibby\bibbyhe01,PG,31,SDC,73,1112,10.6,0.48,0.31,0.32,2.5,5.4,3.9,23.2,2,0.1,17.9,15.6,,0.5,0.5,1,0.043,,-1.4,-2.3,-3.7,-0.5
14,Larry Bird*\birdla01,PF,24,BOS,82,3239,19.9,0.528,0.049,0.218,7,23.8,15.7,20.4,2.4,1.1,14.9,24.3,,4.7,6.1,10.8,0.16,,2.1,3,5.1,5.8
15,Otis Birdsong\birdsot01,SG,25,KCK,71,2593,20.3,0.58,0.027,0.348,5.1,5.9,5.5,14.3,1.7,0.4,10.3,26.8,,6.2,2,8.2,0.152,,3.8,-1.4,2.4,2.8
16,Norman Black\blackno01,SG,23,DET,3,28,1.9,0.296,0,0.8,0,8.8,4.2,10,1.7,0,6.9,21,,-0.1,0,-0.1,-0.133,,-9,-3.2,-12.1,-0.1
17,Ron Boone\boonero01,SG,34,UTA,52,1146,9,0.492,0.105,0.253,1.7,6.6,4.2,19.9,1.4,0.4,21.2,19.7,,-0.8,0.2,-0.6,-0.025,,-3.4,-2.8,-6.1,-1.2
18,Winford Boynes\boynewi01,SG,23,DAL,44,757,6.1,0.426,0,0.176,3.5,8,5.6,7.5,1.5,1.2,17,22.4,,-1.6,0.2,-1.4,-0.091,,-6.2,-2,-8.2,-1.2
19,Dudley Bradley\bradldu01,SG,23,IND,82,1867,13.7,0.515,0.029,0.318,4,7.4,5.6,13.6,4.7,1.1,16.1,16.3,,1,2.9,3.9,0.1,,-0.4,2.3,1.9,1.8
20,Mike Bratz\bratzmi01,PG,25,CLE,80,2595,11.5,0.458,0.207,0.162,2.7,5.9,4.2,22.4,2.5,0.4,15.6,16.1,,0.7,1.4,2.1,0.038,,-0.6,-0.7,-1.3,0.5
21,Jim Brewer\breweji01,PF,29,LAL,78,1107,10.6,0.506,0.01,0.203,13.2,14.2,13.8,5.8,1.8,2.8,18.3,9.5,,0.7,1.5,2.2,0.097,,-1.4,2.1,0.7,0.8
22,Ron Brewer\brewero01,SG,25,TOT,75,1452,12,0.471,0.011,0.181,2.6,3.8,3.2,14,2,1.3,11.9,21.1,,0.4,1,1.4,0.046,,-2.2,-2,-4.2,-0.8
22,Ron Brewer\brewero01,SG,25,POR,29,548,9.5,0.416,0.012,0.138,2.6,4,3.3,13.1,2.9,0.9,12.7,21.6,,-0.6,0.5,-0.1,-0.011,,-4,-1.3,-5.3,-0.5
22,Ron Brewer\brewero01,SG,25,SAS,46,904,13.5,0.506,0.01,0.208,2.6,3.7,3.2,14.6,1.4,1.5,11.4,20.8,,1,0.5,1.5,0.08,,-1.1,-2.4,-3.5,-0.3
23,Junior Bridgeman\bridgju01,SF,27,MIL,77,2215,17.1,0.534,0.019,0.219,4,10.2,7.2,15.1,1.8,0.7,11,24,,3.9,2.8,6.7,0.146,,0.9,-0.8,0.2,1.2
24,Allan Bristow\bristal01,SF,29,UTA,82,2001,14.9,0.511,0.029,0.324,6,18.5,12.3,27,1.5,0.1,19.7,18.7,,1.4,1.3,2.7,0.065,,-0.5,-0.3,-0.8,0.6
25,Dave Britton\brittda01,PG,22,WSB,2,9,18,0.667,0,0,0,23.5,11.7,49.4,5.2,0,40,22.3,,0,0,0,0.093,,-2,3.3,1.3,0
26,Michael Brooks\brookmi01,SF,22,SDC,82,2479,15.8,0.519,0.006,0.314,9.4,11.4,10.4,12.3,1.9,0.7,12.3,21.7,,3.2,1.7,4.9,0.095,,1.1,-0.1,1,1.9
