Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Zaid Abdul-Aziz\abdulza01,PF-C,31,TOT,16,158,11.4,0.449,,0.383,12.4,20.9,16.6,8.5,0.9,1,16.6,21.1,,0,0.1,0.1,0.033,,-2.6,-1.7,-4.3,-0.1
1,Zaid Abdul-Aziz\abdulza01,C,31,BOS,2,24,11.5,0.279,,0.231,26,37.3,31.8,16.5,1.9,2.1,17.3,28,,-0.1,0.1,0,-0.062,,-5.2,1.4,-3.7,0
1,Zaid Abdul-Aziz\abdulza01,PF,31,HOU,14,134,11.4,0.493,,0.426,10,17.9,13.8,7,0.7,0.8,16.5,19.9,,0.1,0,0.1,0.05,,-2.1,-2.3,-4.4,-0.1
2,Kareem Abdul-Jabbar*\abdulka01,C,30,LAL,62,2265,29.2,0.589,,0.29,8.7,26.8,18.1,18.3,2.1,4.1,13.3,27,,7.7,4.4,12.1,0.257,,5.5,3.6,9,6.3
3,Tom Abernethy\abernto01,SF,23,LAL,73,1317,15.6,0.544,,0.275,8.5,12,10.3,9.7,1.9,0.8,9.9,14.9,,2.9,1.3,4.1,0.15,,1.3,0.3,1.5,1.2
4,Alvan Adams\adamsal01,C,23,PHO,70,1914,17.7,0.528,,0.327,8.4,22.2,15.2,16.4,1.9,1.7,18.6,24.5,,1.5,3.4,4.9,0.123,,0,1.8,1.8,1.9
5,Lucius Allen\allenlu01,PG,30,KCK,77,2147,13.3,0.488,,0.26,3.1,7.8,5.5,22.8,1.9,0.7,18.7,20.6,,0.7,1.4,2.1,0.046,,-0.7,-0.9,-1.5,0.2
6,Jim Ard\ardji01,C,29,TOT,15,125,3.2,0.495,,0.294,7.8,23.2,15.6,8.1,0,0,42.2,10.7,,-0.2,0.1,-0.1,-0.041,,-6.1,-0.8,-6.8,-0.2
6,Jim Ard\ardji01,C,29,BOS,1,9,9.4,0.266,,2,11.6,33.1,22.6,12.6,0,0,0,8.1,,0,0,0,0.081,,-4.1,0.4,-3.7,0
6,Jim Ard\ardji01,C,29,CHI,14,116,2.7,0.52,,0.188,7.5,22.4,15,7.8,0,0,44.7,10.9,,-0.2,0.1,-0.1,-0.05,,-6.2,-0.9,-7.1,-0.1
7,Tate Armstrong\armstta01,SG,22,CHI,66,716,11.1,0.487,,0.096,3.7,6.7,5.2,15.7,1.5,0,16.6,19.7,,0.1,0.3,0.4,0.027,,-2.2,-2.7,-4.9,-0.5
8,Bird Averitt\averibi01,SG,25,TOT,55,1085,10.3,0.454,,0.291,1.6,6.4,3.9,26.3,1.6,0.4,20.8,24.6,,-1.2,0.5,-0.7,-0.03,,-3.3,-2.9,-6.1,-1.1
8,Bird Averitt\averibi01,SG,25,NJN,21,409,8.2,0.419,,0.239,1.6,6.5,3.9,23,1.8,0.1,20.9,23.7,,-0.8,0.3,-0.5,-0.059,,-4.6,-2.3,-6.9,-0.5
8,Bird Averitt\averibi01,SG,25,BUF,34,676,11.5,0.476,,0.324,1.6,6.3,4,28.2,1.5,0.6,20.6,25.2,,-0.4,0.2,-0.2,-0.013,,-2.4,-3.2,-5.7,-0.6
9,Dennis Awtrey\awtrede01,C,29,PHO,81,1623,6.1,0.47,,0.413,6,13.2,9.6,11.5,0.5,0.8,28.9,10.1,,-0.6,1.6,1,0.03,,-3.8,1,-2.8,-0.3
10,Gus Bailey\bailegu01,SG,26,NOJ,48,449,11.8,0.46,,0.482,9.6,8,8.8,11.6,1.8,1.7,16.4,17,,0.1,0.4,0.5,0.059,,-1.8,0.2,-1.6,0
11,Greg Ballard\ballagr01,SF,23,WSB,76,936,14.1,0.484,,0.341,10.7,17.5,14.1,8.8,1.4,0.7,14.3,18,,1,1.1,2,0.104,,-0.9,-0.2,-1.1,0.2
12,Mike Bantom\bantomi01,SF,26,IND,82,2775,14.8,0.525,,0.327,6.3,15.3,10.7,12.2,1.6,0.9,15.4,19.2,,3.3,2.6,5.9,0.102,,0.4,0.4,0.8,2
13,Marvin Barnes\barnema01,PF,25,TOT,60,1646,13.9,0.463,,0.275,8.8,19.6,14.2,11.8,1.8,2.6,15.5,21.1,,0.1,1.9,2,0.06,,-1.4,1.2,-0.2,0.7
13,Marvin Barnes\barnema01,PF,25,DET,12,269,13,0.459,,0.246,11.1,24.2,17.8,10.1,1.2,2.1,18.2,22.7,,-0.1,0.3,0.2,0.038,,-2.8,-0.1,-2.9,-0.1
13,Marvin Barnes\barnema01,PF,25,BUF,48,1377,14.1,0.464,,0.282,8.4,18.7,13.6,12.2,1.9,2.7,14.9,20.8,,0.3,1.6,1.8,0.064,,-1.2,1.5,0.3,0.8
