Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Mahmoud Abdul-Rauf\abdulma02,PG,27,SAC,75,2131,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,,2,0.7,2.7,0.06,,-0.2,-3.4,-3.5,-0.8
2,Shareef Abdur-Rahim\abdursh01,PF,20,VAN,80,2802,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,,1.7,1.2,2.9,0.049,,-0.8,-1.2,-2,0
3,Rafael Addison\addisra01,SF,32,CHH,41,355,10.6,0.476,0.164,0.23,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,,0.2,0.1,0.4,0.048,,-1.8,-2.5,-4.3,-0.2
4,Cory Alexander\alexaco01,PG,23,SAS,80,1454,14.3,0.528,0.514,0.263,2.3,8,5.1,30,3.1,0.9,21.1,22.2,,0.5,0.6,1.1,0.035,,0.8,-2.1,-1.3,0.2
5,Jerome Allen\allenje01,SG,24,TOT,76,943,8.7,0.451,0.421,0.326,3.1,9,6.1,25.3,1.8,0.3,21.4,15.6,,-0.3,0.8,0.4,0.021,,-2.3,-1.1,-3.5,-0.4
5,Jerome Allen\allenje01,SG,24,IND,51,692,8.7,0.489,0.401,0.32,2.3,8.8,5.6,24.9,2.1,0,25,14.9,,-0.2,0.7,0.5,0.035,,-2.3,-0.6,-2.9,-0.2
5,Jerome Allen\allenje01,SG,24,DEN,25,251,8.9,0.376,0.459,0.338,5.5,9.4,7.5,26.3,0.8,1.1,13.3,17.4,,-0.1,0,-0.1,-0.019,,-2.5,-2.5,-5.1,-0.2
6,Ray Allen*\allenra02,SG,21,MIL,82,2532,14.6,0.541,0.328,0.274,4.7,11,7.9,13.9,1.6,0.3,12.8,21.4,,3.3,1.5,4.9,0.092,,1.6,-1.2,0.3,1.5
7,Derrick Alston\alstode01,C,24,ATL,2,11,-9,0,0,0.4,33.3,10.6,21.7,0,0,0,0,25.2,,-0.1,0,-0.1,-0.415,,-17.5,-10.3,-27.8,-0.1
8,Ashraf Amaya\amayaas01,PF,25,WSB,31,144,8.8,0.382,0.025,0.7,15.7,26.4,21.1,2.9,2.5,1.6,16,19.4,,-0.2,0.3,0.1,0.019,,-7,-1,-8.1,-0.2
9,Greg Anderson\andergr01,C,32,SAS,82,1659,11.4,0.531,0.004,0.355,11,21.8,16.2,3.2,2.1,3.2,19.4,10.5,,0.7,1.5,2.2,0.064,,-3.1,1.4,-1.6,0.2
10,Kenny Anderson\anderke01,PG,26,POR,82,3081,19.5,0.54,0.322,0.383,3.6,10.2,7,31.7,2.8,0.4,12.7,22.2,,8,4.4,12.4,0.193,,4.3,0.8,5,5.5
11,Nick Anderson\anderni01,SG,29,ORL,63,2163,13.8,0.494,0.559,0.13,3.5,13.2,8.2,14.5,3,1.1,10.1,18.2,,1.3,2.9,4.2,0.093,,1.2,1.4,2.6,2.5
12,Shandon Anderson\andersh01,SG,23,UTA,65,1066,10.4,0.534,0.148,0.311,6.5,14,10.5,7.1,1.4,0.6,16.8,18.9,,0.1,1.2,1.2,0.056,,-2.2,-0.7,-2.9,-0.2
13,Willie Anderson\anderwi01,SG,30,MIA,28,303,12.6,0.57,0.297,0.313,6,10.4,8.2,18.2,2.5,1,20.7,14.2,,0.4,0.5,0.9,0.142,,-1,1.7,0.8,0.2
14,Greg Anthony\anthogr01,PG,29,VAN,65,1863,16.6,0.526,0.469,0.351,1.5,10,5.7,36.1,3.8,0.2,18.1,17.8,,2.3,1.2,3.5,0.09,,1.3,-1.5,-0.3,0.8
15,B.J. Armstrong\armstbj01,PG,29,GSW,49,1020,12.9,0.538,0.275,0.242,0.8,7.8,4.3,20.3,1.3,0.2,12.8,18.1,,1.4,-0.1,1.3,0.061,,-0.5,-3.4,-3.9,-0.5
16,Darrell Armstrong\armstda01,PG,28,ORL,67,1010,14.7,0.525,0.525,0.307,4,4.9,4.4,29.7,3.3,0.7,20.2,22.4,,0.7,1.1,1.8,0.085,,0.9,-1.7,-0.7,0.3
17,Vincent Askew\askewvi01,SG,30,TOT,43,838,9.7,0.532,0.129,0.473,3.6,10.2,7,17.3,1.1,0.6,17,14.9,,0.7,0.8,1.5,0.086,,-1.4,0,-1.4,0.1
17,Vincent Askew\askewvi01,SG,30,NJN,1,7,-2.3,,,,0,0,0,0,0,0,,0,,0,0,0,-0.022,,-6.7,-0.6,-7.3,0
17,Vincent Askew\askewvi01,SG,30,IND,41,822,9.9,0.528,0.131,0.47,3.7,10.4,7.1,17.7,1.1,0.6,16,14.8,,0.8,0.8,1.6,0.092,,-1.2,0.1,-1.1,0.2
17,Vincent Askew\askewvi01,SG,30,DEN,1,9,0.9,0.773,0,0.667,0,0,0,0,0,0,50.8,39.1,,-0.1,0,-0.1,-0.393,,-15.6,-6.6,-22.2,0
18,Keith Askins\askinke01,SF,29,MIA,78,1773,9.1,0.557,0.539,0.182,5.9,12.2,9.1,6.7,1.6,0.8,14.6,10.7,,1.5,2.8,4.3,0.116,,-0.8,1.9,1.1,1.4
19,Stacey Augmon\augmost01,SG,28,TOT,60,942,11.3,0.531,0,0.441,6.2,11.4,8.8,9.4,2.4,1.5,19.6,16.2,,0.2,1.3,1.5,0.076,,-3,1.4,-1.5,0.1
19,Stacey Augmon\augmost01,SG,28,DET,20,292,9.6,0.473,0,0.532,6.1,14.6,10.4,8.5,1.9,2.8,22.1,20.7,,-0.4,0.4,0,0.003,,-6.1,1.2,-4.8,-0.2
19,Stacey Augmon\augmost01,SG,28,POR,40,650,12.1,0.564,0,0.392,6.2,9.9,8.1,9.8,2.6,0.8,18.1,14.2,,0.6,0.9,1.5,0.109,,-1.6,1.5,-0.1,0.3
