Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alaa Abdelnaby\abdelal01,PF,24,TOT,75,1311,13.2,0.551,0.002,0.245,11,18.1,14.6,3,1,1.2,15.6,20.5,,0.7,1.3,2,0.074,,-2.3,-1.9,-4.2,-0.7
1,Alaa Abdelnaby\abdelal01,PF,24,MIL,12,159,11.9,0.508,0.018,0.286,8.6,18.3,13.4,9.5,1.9,1.6,17.1,20.5,,0,0.2,0.1,0.035,,-3.7,-0.5,-4.3,-0.1
1,Alaa Abdelnaby\abdelal01,PF,24,BOS,63,1152,13.4,0.557,0,0.24,11.3,18.1,14.8,2.2,0.8,1.2,15.4,20.5,,0.7,1.2,1.9,0.079,,-2.1,-2.1,-4.1,-0.6
2,Mahmoud Abdul-Rauf\abdulma02,PG,23,DEN,81,2710,15.6,0.515,0.14,0.165,2,6.8,4.4,20.8,1.5,0.2,11,25.5,,3,2.2,5.1,0.091,,1.1,-2.1,-1,0.7
3,Mark Acres\acresma01,C,30,TOT,18,269,8.9,0.571,0.041,0.327,10.8,17.4,14,2.5,0.5,1.4,18.8,11,,0.1,0.2,0.3,0.056,,-3.5,-1.3,-4.9,-0.2
3,Mark Acres\acresma01,C,30,HOU,6,23,-0.6,0.304,0.222,0.222,10.5,18.6,14.8,0,0,0,16.8,22.8,,-0.1,0,-0.1,-0.165,,-12.6,-7.3,-19.9,-0.1
3,Mark Acres\acresma01,C,30,WSB,12,246,9.8,0.628,0,0.35,10.8,17.3,14,2.8,0.6,1.5,19.2,9.9,,0.2,0.1,0.4,0.077,,-2.7,-0.8,-3.5,-0.1
4,Michael Adams\adamsmi01,PG,30,WSB,70,2499,15.6,0.543,0.255,0.333,2.3,8.6,5.4,30.6,2,0.1,15.5,19.2,,3.3,1.2,4.6,0.088,,1.6,-1.6,-0.1,1.2
5,Rafael Addison\addisra01,SF,28,NJN,68,1164,8.4,0.484,0.083,0.17,4.2,8.2,6.2,6.8,1,0.6,12.7,18.2,,-0.1,1,0.9,0.038,,-3.4,-1.2,-4.6,-0.8
6,Mark Aguirre\aguirma01,SF,33,DET,51,1056,13.7,0.525,0.197,0.306,4.3,12,8,15.3,0.8,0.4,12.4,22.2,,1.1,0.7,1.8,0.082,,-0.3,-1.3,-1.5,0.1
