Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alaa Abdelnaby\abdelal01,PF,23,POR,71,934,13.5,0.533,0,0.28,9.5,20.9,15.2,4.7,1.3,1.1,14,20.6,,0.6,1.5,2.1,0.11,,-3,-0.9,-3.9,-0.5
2,Mahmoud Abdul-Rauf\abdulma02,PG,22,DEN,81,1538,12.6,0.469,0.111,0.128,1.5,6.8,4,21,1.4,0.2,11.6,26.7,,-0.2,0.8,0.6,0.018,,-1.7,-3.5,-5.2,-1.3
3,Mark Acres\acresma01,C,29,ORL,68,926,10.1,0.576,0.02,0.444,11.4,19.2,15.2,3.2,1.3,1,15.5,9.6,,1.1,0.8,1.9,0.097,,-2.3,0.1,-2.2,-0.1
4,Michael Adams\adamsmi01,PG,29,WSB,78,2795,17.1,0.506,0.313,0.292,2.2,10.1,6.1,31.5,2.5,0.2,13.2,24.2,,2.6,2.6,5.3,0.09,,2.5,-0.8,1.7,2.6
5,Rafael Addison\addisra01,SF,27,NJN,76,1175,10.9,0.477,0.113,0.176,5.7,9.3,7.4,8.1,1.2,1.4,9,17.5,,0.8,0.7,1.5,0.063,,-2.3,-1.5,-3.8,-0.5
6,Mark Aguirre\aguirma01,SF,32,DET,75,1582,13.7,0.479,0.09,0.292,4.8,12,8.4,13.4,1.7,0.4,10.6,27.6,,0.1,2,2.2,0.066,,-1.6,-1,-2.6,-0.2
7,Danny Ainge\aingeda01,SG,32,POR,81,1595,15.4,0.534,0.34,0.194,2.7,7.4,5.1,18.4,2.2,0.5,8.7,20.5,,3.1,2,5.2,0.155,,1.9,-0.9,1,1.2
8,Victor Alexander\alexavi01,C,22,GSW,80,1350,13.9,0.561,0.002,0.325,8.7,18.3,13.6,3.1,1.5,2.7,14.8,18.3,,1.1,1.4,2.5,0.09,,-2.2,-0.7,-2.9,-0.3
9,Greg Anderson\andergr01,PF,27,DEN,82,2793,12.6,0.486,0.005,0.314,12.3,24.7,18.2,4.1,1.5,1.4,17.1,17.1,,-0.6,3.6,3,0.052,,-3.1,0.5,-2.6,-0.5
10,Kenny Anderson\anderke01,PG,21,NJN,64,1086,12.8,0.43,0.027,0.204,3.6,9,6.2,26.5,3,0.5,15.6,22.9,,-0.6,1.1,0.5,0.022,,-2.7,-0.9,-3.6,-0.5
11,Nick Anderson\anderni01,SG,24,ORL,60,2203,16.4,0.509,0.082,0.291,4.8,14.9,9.7,12.4,2.2,0.9,9.7,24.5,,1.6,2,3.6,0.078,,0.5,0.2,0.7,1.5
12,Ron Anderson\anderro01,SF,33,PHI,82,2432,14.1,0.52,0.126,0.162,4.6,8.5,6.5,9,1.8,0.3,9.2,21.5,,2.2,1.3,3.5,0.07,,-0.1,-1.7,-1.7,0.2
13,Willie Anderson\anderwi01,SG,25,SAS,57,1889,13.8,0.499,0.082,0.201,3.6,13.6,8.7,23.2,1.4,1.7,15.8,19.8,,0.7,2.6,3.3,0.083,,-0.6,1.3,0.7,1.3
14,Michael Ansley\anslemi01,SF,24,TOT,10,45,9,0.509,0,0.333,5.1,9.9,7.5,6.8,0,0,12.7,22.5,,0,0,0,0.013,,-4.7,-5.5,-10.3,-0.1
14,Michael Ansley\anslemi01,SF,24,PHI,8,32,9.5,0.55,0,0.545,7.2,7.1,7.2,9.6,0,0,18,22.8,,0,0,0,0.028,,-3.3,-4.6,-7.9,0
14,Michael Ansley\anslemi01,SF,24,CHH,2,13,8,0.429,0,0,0,16.8,8.3,0,0,0,0,21.8,,0,0,0,-0.026,,-8.3,-7.9,-16.2,0
15,Greg Anthony\anthogr01,PG,24,NYK,82,1510,10.6,0.443,0.126,0.363,2.5,7.7,5.2,28.6,2,0.4,16.3,17.4,,0.2,2,2.2,0.07,,-2.6,-0.3,-2.8,-0.3
16,B.J. Armstrong\armstbj01,PG,24,CHI,82,1875,14.1,0.537,0.125,0.185,1.2,7.6,4.5,19.2,1.2,0.2,11.1,19.5,,2.7,1.8,4.6,0.117,,-0.1,-2,-2,0
17,Vincent Askew\askewvi01,SG,25,GSW,80,1496,12.7,0.554,0.026,0.422,6.6,10.3,8.5,15.4,1.5,0.9,15.7,14.3,,2,0.8,2.9,0.092,,0,-0.2,-0.2,0.7
18,Keith Askins\askinke01,SF,24,MIA,59,843,8.7,0.495,0.356,0.18,8.5,10.4,9.4,6.2,2.3,1.1,17.5,13.3,,0,0.7,0.7,0.04,,-1.7,0.2,-1.5,0.1
19,Stacey Augmon\augmost01,SG,23,ATL,82,2505,14.4,0.526,0.007,0.356,7.9,9.9,8.9,11.4,2.4,0.6,14.8,20.1,,1.5,2.2,3.7,0.071,,-0.3,0.6,0.3,1.5
20,Isaac Austin\austiis01,C,22,UTA,31,112,15,0.515,0,0.652,11.6,23.1,17.6,6.7,0.9,1.1,11.9,25.9,,0.1,0.2,0.3,0.112,,-2.8,-2.4,-5.2,-0.1
21,Milos Babic\babicmi01,C,23,MIA,9,35,18.3,0.545,0,0.615,6.3,29.1,17.6,26.4,1.4,0,23.2,25.8,,0,0,0,0.057,,-2.6,-0.4,-3,0
22,John Bagley\baglejo01,PG,31,BOS,73,1742,12.7,0.478,0.083,0.188,2.5,7.4,5.1,35.9,1.6,0.1,21.3,17.2,,0.6,1.4,1.9,0.053,,-1.3,-1.7,-3,-0.4
23,Thurl Bailey\baileth01,PF,30,TOT,84,2104,14.5,0.498,0.002,0.323,6.3,19.5,12.8,5.5,0.8,3.3,10.2,21.5,,0.8,1.8,2.6,0.059,,-3,-0.8,-3.8,-1
