Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
31,Rudy Tomjanovich\tomjaru01,PF,28,HOU,81,3130,17.9,0.552,,0.238,6.2,17.2,11.9,8.3,0.9,0.5,,,8.8,1.5,10.4,0.159,2.1,-1.3,0.8,2.2
32,Mickey Johnson\johnsmi01,PF,24,CHI,81,2847,17.6,0.506,,0.338,10.7,19.6,15.1,10.8,1.7,1.3,,,3.9,4.5,8.5,0.143,1.3,1,2.3,3.1
33,Rich Kelley\kelleri01,C,23,NOJ,76,1505,17.6,0.554,,0.51,13.7,23.9,18.9,18.5,1.3,2.1,,,1.9,2.4,4.3,0.138,2.1,2.6,4.7,2.6
34,Dan Roundfield\roundda01,PF,23,IND,61,1645,17.6,0.505,,0.326,10.3,20.6,15.3,6.1,1.7,4.1,,,1.7,2.2,3.9,0.115,-0.5,0.3,-0.2,0.8
35,Randy Smith\smithra01,SG,28,BUF,82,3094,17.6,0.507,,0.257,4.3,10.6,7.4,22.8,2.5,0.1,,,3.9,2.5,6.4,0.099,2.9,0,2.9,3.8
36,Brian Taylor\taylobr01,PG,25,KCK,72,2488,17.6,0.55,,0.276,3.5,6.5,5,18.5,3.6,0.4,,,5.1,2.8,7.9,0.152,3,0.7,3.7,3.6
37,Ron Boone\boonero01,SG,30,KCK,82,3021,17.5,0.521,,0.244,4.2,6.9,5.5,17.2,1.8,0.3,,,6.1,2,8.1,0.128,2.8,-1.5,1.3,2.5
38,Bob Dandridge\dandrbo01,SF,29,MIL,70,2501,17.5,0.514,,0.293,6,12.2,9.1,15.4,1.7,0.6,,,4.2,1.2,5.4,0.104,2.5,-0.8,1.7,2.4
39,Fred Brown\brownfr01,SG,28,SEA,72,2098,17.4,0.516,,0.171,3.2,8.4,5.7,13.7,2.7,0.5,,,3.9,2.2,6.1,0.14,1.3,-0.5,0.8,1.5
40,Calvin Murphy*\murphca01,PG,28,HOU,82,2764,17.4,0.542,,0.252,2.2,4.5,3.4,20.6,2.5,0.2,,,6.6,1.1,7.7,0.134,3.2,-1.6,1.6,2.5
41,Campy Russell\russeca02,SF,25,CLE,70,2109,17.3,0.497,,0.369,6.7,13.7,10.1,13.5,1.6,0.6,,,3.2,2.3,5.5,0.126,2.2,-0.4,1.8,2
42,Truck Robinson\robintr01,PF,25,TOT,77,2777,17.1,0.526,,0.358,9.5,21.8,15.6,8,1.1,0.7,,,4.2,3,7.3,0.125,0.8,-0.3,0.5,1.7
43,James Silas\silasja01,PG,27,SAS,22,356,17.1,0.553,,0.754,2,7.2,4.6,18.3,1.6,0.4,,,0.6,0.1,0.7,0.099,1.1,-3.5,-2.4,0
44,Mike Bantom\bantomi01,PF-SF,25,TOT,77,1909,16.8,0.531,,0.411,9.4,16.1,12.6,8.4,1.5,1.4,,,2.6,2.2,4.8,0.12,0.7,-0.3,0.4,1.2
45,Dave Cowens*\cowenda01,C,28,BOS,50,1888,16.8,0.485,,0.262,7.7,28.3,18.1,18.8,1.1,1.3,,,1.1,3.3,4.4,0.113,0.4,3,3.4,2.6
46,Mickey Davis\davismi02,SF,26,MIL,19,165,16.8,0.513,,0.368,6.9,11.4,9.1,16.1,1.6,1.2,,,0.3,0.1,0.4,0.102,0.3,-1.5,-1.2,0
47,Jamaal Wilkes*\wilkeja01,PF,23,GSW,76,2579,16.8,0.523,,0.27,6,16.7,11.3,11.2,2.2,0.3,,,4.3,2.9,7.3,0.135,1.1,0.1,1.2,2.1
48,Doug Collins\collido01,SG,25,PHI,58,2037,16.7,0.569,,0.304,3.3,6.1,4.8,19.6,1.5,0.4,,,4.6,1.6,6.2,0.145,2.1,-1.2,0.9,1.5
49,Dennis Johnson*\johnsde01,SG,22,SEA,81,1667,16.7,0.541,,0.507,9.5,9.1,9.3,10.6,3.3,1.8,,,2.2,2.3,4.5,0.13,1.7,1.6,3.4,2.3
50,Lonnie Shelton\sheltlo01,PF,21,NYK,82,2104,16.7,0.511,,0.269,11.2,20.2,15.8,9.6,2.6,2.4,,,1.2,3.4,4.6,0.105,0.7,2,2.8,2.5
51,Marvin Webster\webstma01,C,24,DEN,80,1276,16.7,0.542,,0.55,12.5,25.9,19.4,6.5,0.8,4.7,,,1.4,2.5,3.9,0.146,-1.9,1.6,-0.3,0.6
52,Walt Frazier*\fraziwa01,PG,31,NYK,76,2687,16.6,0.535,,0.309,2.1,9.2,5.7,20.6,2.2,0.2,,,3.8,2.3,6.1,0.108,1.9,0,2,2.7
53,Brian Winters\wintebr01,SG,24,MIL,78,2717,16.6,0.533,,0.185,2.4,6.4,4.4,18,1.9,0.5,,,5.2,0.8,6,0.106,2.3,-1.5,0.8,1.9
54,Darryl Dawkins\dawkida01,C,20,PHI,59,684,16.5,0.621,,0.367,9.1,23.7,16.8,5.1,0.8,3.6,,,0.9,1.2,2.1,0.15,-1.1,-0.1,-1.1,0.2
55,Joe Pace\pacejo01,C,23,WSB,30,119,16.5,0.472,,0.527,14.1,15.2,14.7,4.9,0.8,7.3,,,-0.1,0.2,0.1,0.054,-2.1,-0.3,-2.4,0
56,Dave Robisch\robisda01,C,27,IND,80,1966,16.5,0.515,,0.316,8.2,19.4,13.7,11.4,1.3,1,,,3.2,1.8,5,0.122,0.2,-0.6,-0.4,0.8
57,Ricky Sobers\soberri01,SG,24,PHO,79,2005,16.5,0.557,,0.347,4.4,8.1,6.3,18.1,2.1,0.4,,,3,2.2,5.3,0.126,1.9,-0.5,1.4,1.7
58,Earl Tatum\tatumea01,SG,23,LAL,68,1249,16.5,0.49,,0.165,6.9,12.2,9.6,13.5,3.1,0.9,,,0.9,1.7,2.6,0.101,0.5,0.2,0.7,0.9
59,Sonny Parker\parkeso01,SF,21,GSW,65,889,16.4,0.57,,0.315,9.6,10.1,9.8,8.6,2.7,1.5,,,2,1,3,0.16,1,0.5,1.5,0.8
60,Zaid Abdul-Aziz\abdulza01,C,30,BUF,22,195,16.3,0.447,,0.581,21.1,25.5,23.3,5,0.7,2.3,,,0.1,0.2,0.3,0.078,-2.4,-2.7,-5.1,-0.2
61,Tom Burleson\burleto01,C,24,SEA,82,1803,16.3,0.507,,0.462,10.1,21.8,15.7,7.3,1.8,3.5,,,1.4,3,4.4,0.117,-1,1.5,0.5,1.1
62,Larry Steele\steella01,SG,27,POR,81,1680,16.3,0.555,,0.348,4.4,7,5.8,14.1,3.1,0.4,,,3.2,2,5.2,0.148,1.6,-0.1,1.5,1.5
63,Dave Twardzik\twardda01,PG,26,POR,74,1937,16.3,0.689,,0.66,4.1,6.6,5.4,16.3,2.9,0.4,,,5.3,2.2,7.5,0.186,3.5,0.7,4.2,3.1
64,Slick Watts\wattssl01,PG,25,SEA,79,2627,16.3,0.449,,0.289,3,9.2,6,34,3.7,0.5,,,-0.3,3.6,3.3,0.06,1.5,1.3,2.8,3.2
65,World B. Free\freewo01,SG,23,PHI,78,2253,16.2,0.517,,0.454,4.6,5.9,5.3,17.4,1.5,0.6,,,2.9,1.8,4.6,0.099,0.9,-1.9,-1,0.6
66,Bob Gross\grossbo01,SF,23,POR,82,2232,16.2,0.58,,0.302,8.1,10,9.1,14.5,2.1,1.4,,,4.9,2.5,7.4,0.159,2.5,1.2,3.7,3.2
67,Gail Goodrich*\goodrga01,SG,33,NOJ,27,609,16.1,0.496,,0.279,4,5.6,4.8,18.8,1.6,0.2,,,0.7,0.4,1.2,0.091,0.5,-2.3,-1.7,0
68,Mike Newlin\newlimi01,SG,28,HOU,82,2119,16.1,0.53,,0.358,2.8,7.5,5.3,21.2,1.3,0.1,,,4.2,0.4,4.7,0.106,2.1,-2.3,-0.2,1
69,Phil Smith\smithph01,SG,24,GSW,82,2880,16.1,0.525,,0.285,3.5,8.1,5.8,15.8,1.5,0.5,,,5.2,1.8,7,0.117,1.6,-1.3,0.3,1.7
70,Foots Walker\walkefo01,PG,25,CLE,62,1216,16,0.504,,0.33,4.4,9.1,6.7,28.1,3.2,0.2,,,1.5,1.6,3,0.12,1.8,0.9,2.7,1.5
71,Kermit Washington\washike01,PF,25,LAL,53,1342,16,0.556,,0.492,14.1,23,18.7,4.6,1.5,2,,,2.2,2.1,4.3,0.153,0.2,0.3,0.5,0.9
72,Butch Feher\feherbu01,SG,22,PHO,48,487,15.9,0.603,,0.611,4,12.4,8.2,10.8,1,0.8,,,1,0.5,1.5,0.145,-0.3,-1.5,-1.8,0
73,John Shumate\shumajo01,PF,24,BUF,74,2601,15.9,0.554,,0.556,6.3,21,13.6,8.8,1.5,1.6,,,3.5,2.8,6.3,0.117,-0.1,1.1,1,2
74,John Williamson\willijo01,SG,25,TOT,72,2481,15.9,0.501,,0.244,1.6,6.3,3.9,13.7,2,0.3,,,2.3,1.6,3.9,0.075,0.5,-2.5,-1.9,0.1
75,Phil Chenier\cheniph01,SG,26,WSB,78,2842,15.8,0.489,,0.218,2.1,8.6,5.4,15.7,1.9,0.7,,,2.9,2.9,5.8,0.098,0.3,-0.2,0.1,1.5
76,Sam Lacey\laceysa01,C,28,KCK,82,2595,15.8,0.484,,0.364,7.3,22.6,14.7,19.3,2.1,2.8,,,1.6,4,5.6,0.104,0.2,3.5,3.7,3.7
77,Eric Money\moneyer01,PG,21,DET,73,1586,15.8,0.549,,0.181,2.8,5.3,4,20.5,2.5,0.5,,,2.4,0.9,3.3,0.099,1.6,-1.2,0.5,1
78,Billy Paultz\paultbi01,C,28,SAS,82,2694,15.8,0.515,,0.29,7.4,18.7,13.1,11.1,0.9,3.1,,,3,2.3,5.3,0.095,-0.3,0.5,0.2,1.5
79,Charles Dudley\dudlech01,PG,26,GSW,79,1682,15.7,0.557,,0.482,7.1,10.7,8.9,25.5,1.8,0.2,,,2.7,1.3,4,0.115,2.2,-0.1,2.1,1.7
80,Al Skinner\skinnal01,SG,24,NYN,79,2256,15.7,0.49,,0.329,4.8,11.9,8.2,20.8,2.1,1.3,,,0.7,2.6,3.3,0.069,0.8,0.7,1.5,2
81,Lucius Allen\allenlu01,PG,29,LAL,78,2482,15.6,0.497,,0.243,2.4,7.7,5.2,22.2,2.1,0.4,,,2.8,2.1,4.9,0.094,0.9,-0.6,0.3,1.4
82,Spencer Haywood*\haywosp01,PF,27,NYK,31,1021,15.6,0.506,,0.292,8.1,20.4,14.4,6.7,0.6,1.5,,,1.1,1,2.1,0.096,-1.1,-0.8,-1.9,0
83,Wilbur Holland\hollawi01,SG,25,CHI,79,2453,15.6,0.488,,0.171,3.3,7.5,5.4,16.8,3.3,0.4,,,2.4,3.6,5.9,0.116,0.4,0.7,1.1,1.9
84,Lionel Hollins\hollili01,PG,23,POR,76,2224,15.6,0.477,,0.274,2.4,7.2,4.9,19.7,3.3,0.9,,,1.1,2.9,4,0.086,0.2,0.2,0.4,1.3
85,Ron Lee\leero01,PG,24,PHO,82,1849,15.6,0.476,,0.267,5.8,11.6,8.7,21.1,3.8,1,,,-0.5,3.2,2.8,0.072,0.2,2,2.3,2
86,Bill Robinzine\robinbi01,PF,24,KCK,75,1594,15.6,0.501,,0.319,10.3,20.9,15.4,8.5,2.4,0.4,,,1.3,2.2,3.4,0.104,0,-0.5,-0.5,0.6
87,Mack Calvin\calvima01,PG,29,TOT,76,1438,15.5,0.525,,0.621,2.6,4.2,3.4,21.7,1.8,0.1,,,1.9,0.9,2.8,0.092,0.3,-3,-2.7,-0.3
88,Allan Bristow\bristal01,SF,25,SAS,82,2017,15.4,0.544,,0.345,6.1,11.6,8.9,15.7,1.9,0,,,3.2,1.1,4.3,0.101,1.2,-1,0.2,1.1
89,Sidney Wicks\wickssi01,PF,27,BOS,82,2642,15.4,0.509,,0.458,10.1,20.5,15.3,9.2,1.1,1.2,,,2.2,3.8,6.1,0.11,0.1,0.8,0.8,1.9
90,Dave Bing*\bingda01,SG,33,WSB,64,1516,15.3,0.503,,0.295,3.7,5.9,4.8,25.5,1.8,0.2,,,1.6,1.3,2.9,0.092,1.2,-1.1,0.1,0.8
91,Austin Carr\carrau01,SG,28,CLE,82,2409,15.3,0.496,,0.219,4.9,5.2,5.1,14.3,1.1,0.2,,,3.9,1.4,5.3,0.105,1.8,-2.1,-0.3,1
92,Glenn Hansen\hansegl01,SG,24,KCK,41,289,15.3,0.464,,0.206,9.7,11.5,10.6,13,2,0.6,,,0.1,0.3,0.4,0.063,-0.3,-2.3,-2.6,0
93,Cazzie Russell\russeca01,SF,32,LAL,82,2583,15.3,0.527,,0.186,3.5,8,5.8,11.6,1.5,0.1,,,4.9,1.7,6.6,0.123,0.6,-1.4,-0.8,0.8
94,M.L. Carr\carrml01,SF,26,DET,82,2643,15.2,0.518,,0.3,8.3,16.4,12.4,8.7,2.8,1.1,,,2.9,3,5.9,0.107,0.5,1.8,2.3,2.9
95,Ron Behagen\behagro01,PF,26,NOJ,60,1170,15.1,0.457,,0.248,12.1,23.4,17.8,10.3,1.6,0.8,,,0,1.8,1.8,0.073,-1.5,0,-1.5,0.1
96,Steve Mix\mixst01,SF,29,PHI,75,1958,15.1,0.593,,0.477,6.9,12.1,9.6,10.5,2,0.5,,,4.1,2.4,6.5,0.158,0.6,0.6,1.3,1.6
97,Marvin Barnes\barnema01,PF,24,DET,53,989,15,0.49,,0.345,7.2,19.3,13.3,6.1,1.7,1.7,,,0.3,1,1.3,0.063,-1.9,-1.2,-3.2,-0.3
98,Tom Henderson\hendeto01,PG,25,TOT,87,2791,15,0.506,,0.379,1.6,7.4,4.5,29.7,2.3,0.3,,,2.5,2.2,4.7,0.08,0.5,-0.4,0.1,1.5
99,John Lucas\lucasjo01,SG,23,HOU,82,2531,15,0.512,,0.21,2.5,6.8,4.7,24.7,2.3,0.4,,,3.6,1.2,4.8,0.091,1.2,-0.6,0.6,1.7
100,Bingo Smith\smithbi02,SF,30,CLE,81,2135,15,0.478,,0.158,4.2,11.1,7.5,11.3,1.4,0.8,,,2.2,2,4.2,0.095,0,-1.3,-1.3,0.4
101,Elmore Smith\smithel01,C,27,TOT,70,1464,14.9,0.499,,0.42,7.8,23.2,15.4,3.9,1.1,5.2,,,0.7,2.2,2.9,0.094,-2.9,0.9,-2.1,0
102,Jo Jo White*\whitejo01,PG,30,BOS,82,3333,14.9,0.486,,0.257,2.6,8.6,5.6,21.7,1.6,0.3,,,3.2,3.4,6.5,0.094,0.7,0.2,0.9,2.4
103,Jim Chones\choneji01,C,27,CLE,82,2378,14.8,0.495,,0.218,8.6,21.2,14.7,6.4,0.6,1.8,,,2.9,3,5.9,0.119,-0.8,-0.2,-1,0.6
104,Alex English*\englial01,SF,23,MIL,60,648,14.8,0.511,,0.217,10.8,16.1,13.4,5.3,1.2,1.4,,,0.8,0.4,1.2,0.09,-1.3,-2.3,-3.6,-0.3
105,Kevin Kunnert\kunneke01,C,25,HOU,81,2050,14.8,0.513,,0.184,11.6,23.6,17.8,10.3,0.8,2.8,,,2.1,2,4.1,0.097,0.3,1.1,1.3,1.7
106,Bob Bigelow\bigelbo01,SF,23,KCK,29,162,14.7,0.549,,0.243,4.9,12.6,8.6,7.2,0.8,0.3,,,0.3,0.1,0.4,0.117,-1.4,-3.4,-4.8,-0.1
107,Tom Boerwinkle\boerwto01,C,31,CHI,82,1070,14.7,0.502,,0.231,9.7,20.8,15.2,25.4,0.9,1,,,0.8,1.5,2.3,0.102,0,1.4,1.4,0.9
108,John Havlicek*\havlijo01,SF,36,BOS,79,2913,14.7,0.495,,0.224,3.7,9.1,6.4,20.4,1.3,0.3,,,3.3,2.8,6.1,0.1,0.7,0,0.7,2
109,Lou Hudson\hudsolo01,SG,32,ATL,58,1745,14.7,0.494,,0.187,2.9,5,3.9,14.9,1.8,0.6,,,1.9,0.8,2.7,0.074,0,-1.8,-1.8,0.1
110,Kevin Porter\porteke01,PG,26,DET,81,2117,14.7,0.54,,0.22,1.4,3.4,2.4,34.6,1.8,0.2,,,2.1,0.6,2.7,0.062,1.1,-3.3,-2.2,-0.1
111,Nate Williams\willina01,SF,26,NOJ,79,1776,14.7,0.486,,0.212,5.9,10.7,8.3,8.1,1.9,0.5,,,1,1.8,2.8,0.077,-1.3,-1.5,-2.8,-0.4
112,Ticky Burden\burdeti01,SG,23,NYK,61,608,14.6,0.446,,0.241,4.6,6.8,5.7,14.9,3.4,0.1,,,-0.7,0.7,0,-0.004,-1.5,-1.9,-3.4,-0.2
113,Jim Eakins\eakinji01,C,30,KCK,82,1338,14.6,0.565,,0.661,8.4,20,14,11.3,1,2,,,2.1,1.5,3.6,0.128,-0.1,0.5,0.4,0.8
114,Chris Ford\fordch01,SG,28,DET,82,2539,14.6,0.506,,0.185,3.9,7.1,5.5,17,3.1,0.5,,,2.8,2,4.7,0.09,0.6,0.9,1.5,2.2
115,Scott Wedman\wedmasc01,SF,24,KCK,81,2743,14.6,0.504,,0.213,6.8,12.5,9.6,11.7,1.6,0.5,,,3.7,2.3,6,0.104,0.4,-0.2,0.3,1.6
116,Mike Flynn\flynnmi01,SG,23,IND,73,1324,14.5,0.473,,0.248,5.4,8.4,6.9,19.2,1.9,0.2,,,1,0.7,1.7,0.062,-0.3,-1.8,-2,0
117,Mike Green\greenmi01,C,25,SEA,76,1928,14.5,0.49,,0.357,9.8,17.4,13.4,8.7,1,3.6,,,1.4,2.5,3.9,0.097,-1.4,1.5,0.1,1
118,Mo Howard\howarmo01,SG,22,TOT,32,345,14.5,0.516,,0.265,4.8,6.2,5.5,17.9,2.2,1.2,,,0.3,0.3,0.6,0.084,0,-0.5,-0.5,0.1
119,Mo Layton\laytomo01,SG,28,NYK,56,765,14.5,0.527,,0.264,1.5,4.8,3.2,26.8,1.2,0.4,,,0.7,0.4,1.1,0.068,0,-3.2,-3.2,-0.2
120,Joe Meriweather\meriwjo01,C,23,ATL,74,2068,14.5,0.57,,0.42,10.9,19.9,15.3,5.9,0.9,2.2,,,2.9,1.9,4.8,0.112,0.1,0.5,0.6,1.4
121,Lloyd Walton\waltoll01,PG,23,MIL,53,678,14.5,0.529,,0.346,2.3,5.5,3.9,26,2.6,0.1,,,0.8,0.3,1.1,0.078,-0.2,-2,-2.2,0
122,Junior Bridgeman\bridgju01,SF,23,MIL,82,2410,14.4,0.494,,0.208,5.5,12.4,8.9,11.7,1.5,0.5,,,2.5,1.1,3.6,0.071,-0.2,-1.1,-1.2,0.5
123,Gus Gerard\gerargu01,SF,23,TOT,65,1048,14.4,0.475,,0.258,8.7,12.3,10.5,12.8,1.8,3,,,0,1.3,1.3,0.06,-1.4,0.6,-0.8,0.3
124,Aaron James\jamesaa01,SF,24,NOJ,52,1059,14.4,0.527,,0.235,5.2,11.7,8.5,8,0.8,0.2,,,1.3,0.8,2.1,0.095,-0.9,-2.3,-3.3,-0.3
125,George Johnson\johnsge02,C,28,TOT,78,1652,14.4,0.495,,0.228,12.4,25,18.7,8.3,1,5.4,,,0.9,2.6,3.5,0.102,-2.3,3.1,0.8,1.2
126,Ralph Simpson\simpsra01,SG,27,DET,77,1597,14.4,0.462,,0.234,3.1,8.6,5.9,15.4,1.9,0.2,,,0.4,0.8,1.2,0.037,-1.3,-2,-3.3,-0.5
127,Nate Thurmond*\thurmna01,C,35,CLE,49,997,14.3,0.458,,0.431,11.9,26.7,19.1,10.8,0.8,4.4,,,0.5,1.8,2.3,0.113,-1.9,3.4,1.5,0.9
128,Steve Hawes\hawesst01,PF,26,ATL,44,945,14.2,0.525,,0.289,8.6,21,14.7,9.9,1.7,1.4,,,0.8,1,1.9,0.095,-0.9,1.1,0.2,0.5
