Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Mahmoud Abdul-Rauf\abdulma02,PG,26,DEN,57,2029,18.6,0.535,0.324,0.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,,4.4,1.1,5.5,0.131,,4.3,-3.1,1.1,1.6
2,Michael Adams\adamsmi01,PG,33,CHH,21,329,16.1,0.579,0.494,0.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17,,0.6,0.2,0.8,0.117,,1.2,-1.9,-0.8,0.1
3,Rafael Addison\addisra01,SF,31,CHH,53,516,9.6,0.489,0.055,0.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,,0,0.2,0.2,0.019,,-3.8,-1.5,-5.2,-0.4
4,Cory Alexander\alexaco01,PG,22,SAS,60,560,8.7,0.506,0.426,0.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,0.021,,-3.1,-1.6,-4.7,-0.4
5,Jerome Allen\allenje01,SG,23,MIN,41,362,7.8,0.447,0.314,0.343,1.7,6.6,4.1,20.8,3,1.1,22,19,,-0.5,0.3,-0.3,-0.033,,-4.4,-1.6,-6.1,-0.4
6,Derrick Alston\alstode01,C,23,PHI,73,1614,11.8,0.518,0.008,0.289,8.8,12.9,10.8,6.5,1.8,2.4,11.9,13.7,,1,0.8,1.7,0.052,,-2.2,0.5,-1.8,0.1
7,John Amaechi\amaecjo01,PF,25,CLE,28,357,3.1,0.456,0,0.471,4.8,14.8,9.7,4.1,1,2.7,28.7,16.8,,-0.9,0.4,-0.6,-0.075,,-9.1,0.1,-9,-0.6
8,Ashraf Amaya\amayaas01,PF,24,VAN,54,1104,11.8,0.534,0.004,0.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,,0.7,1.1,1.8,0.078,,-3.4,-0.5,-3.9,-0.5
9,Greg Anderson\andergr01,PF,31,SAS,46,344,7.7,0.466,0.021,0.532,9.8,22.1,16.2,4,1.3,5,27.5,10.5,,-0.3,0.7,0.4,0.056,,-5.6,3.8,-1.9,0
10,Kenny Anderson\anderke01,PG,25,TOT,69,2344,19.5,0.534,0.307,0.405,3,7.1,5,40.4,2.5,0.5,12.9,21.4,,6.1,1.6,7.7,0.158,,4.2,-1.9,2.3,2.6
10,Kenny Anderson\anderke01,PG,25,NJN,31,1042,19.8,0.511,0.261,0.495,3.8,6.9,5.3,40.4,2.6,0.6,11.1,21.8,,2.7,1,3.7,0.172,,4.3,-1,3.2,1.4
10,Kenny Anderson\anderke01,PG,25,CHH,38,1302,19.2,0.555,0.346,0.33,2.4,7.2,4.8,40.4,2.4,0.3,14.5,21.1,,3.4,0.6,4,0.148,,4.1,-2.5,1.6,1.2
11,Nick Anderson\anderni01,SG,28,ORL,77,2717,16.5,0.562,0.476,0.265,4,13.5,8.9,15.6,2.3,1.2,12.3,19.1,,4.2,3.3,7.4,0.131,,2.4,0.7,3.1,3.5
12,Willie Anderson\anderwi01,SG,29,TOT,76,2060,11.3,0.507,0.182,0.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,,0,1.5,1.4,0.033,,-2.4,-0.1,-2.5,-0.3
12,Willie Anderson\anderwi01,SG,29,TOR,49,1564,11.9,0.518,0.18,0.25,2.7,11.6,7.1,15.1,1.9,2.5,16.9,19.8,,0.1,0.8,0.9,0.027,,-2.1,-0.4,-2.5,-0.2
12,Willie Anderson\anderwi01,SG,29,NYK,27,496,9.2,0.464,0.188,0.233,3.2,10.9,7.2,15,1.8,1.2,14.1,16,,-0.2,0.7,0.5,0.052,,-3.4,0.8,-2.6,-0.1
13,Greg Anthony\anthogr01,PG,28,VAN,69,2096,18.6,0.53,0.347,0.38,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,,2.9,1.9,4.8,0.111,,2.9,-1.6,1.3,1.7
14,B.J. Armstrong\armstbj01,PG,28,GSW,82,2262,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,,6.2,0.8,7,0.149,,2.8,-2.7,0.1,1.2
15,Darrell Armstrong\armstda01,PG,27,ORL,13,41,32.4,0.622,0.375,0.125,0,5.6,2.8,29.3,7.7,0,15.1,43.8,,0,0.1,0.1,0.158,,8,-1.4,6.6,0.1
16,Vincent Askew\askewvi01,SG,29,SEA,69,1725,11.9,0.574,0.197,0.369,4.7,10,7.5,14.6,1.4,0.7,15.9,15.6,,2.2,2.2,4.3,0.12,,-0.5,0.3,-0.2,0.8
17,Keith Askins\askinke01,SF,28,MIA,75,1897,10,0.55,0.606,0.146,7.1,12.7,9.9,9.8,1.3,2.5,16.5,11.9,,1.6,2.8,4.4,0.111,,0,2.5,2.5,2.2
18,Stacey Augmon\augmost01,SF,27,ATL,77,2294,15.9,0.556,0.005,0.43,6.8,9,7.8,10,2.5,1,13.6,19.9,,3.5,2.1,5.6,0.117,,-0.1,0.2,0.1,1.2
19,Anthony Avent\aventan01,PF,26,VAN,71,1586,6.9,0.415,0,0.165,7.7,18.9,13.1,7.4,1,2,17.6,17.5,,-2.8,1.6,-1.2,-0.037,,-7,0.6,-6.4,-1.7
20,Vin Baker\bakervi01,PF,24,MIL,82,3319,18.4,0.527,0.034,0.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,,3.7,2.4,6.2,0.089,,0.4,0.1,0.4,2.1
21,Steve Bardo\bardost01,SG,27,DET,9,123,8.4,0.429,0.174,0.261,2,18.9,10.8,19.2,1.8,0.6,16.3,11.9,,0,0.2,0.2,0.069,,-4.1,1.6,-2.6,0
22,Charles Barkley*\barklch01,PF,32,PHO,71,2632,24.8,0.585,0.151,0.488,10.9,25,18.1,17.4,2.2,1.6,13.4,27.5,,7,3.5,10.5,0.191,,4.5,1.4,5.9,5.2
23,Dana Barros\barroda01,PG,28,BOS,80,2328,15.6,0.596,0.457,0.182,1,8.4,4.6,20.8,1.2,0.1,12.1,18.3,,4.8,0.8,5.6,0.116,,2.6,-2.4,0.2,1.3
24,Brent Barry\barrybr01,SG,24,LAC,79,1898,15.9,0.609,0.496,0.229,2.4,8.4,5.3,18.8,2.6,0.9,15.4,18.3,,3.7,1.2,4.9,0.124,,2.7,-1,1.7,1.8
25,Jon Barry\barryjo01,SG,26,GSW,68,712,14.9,0.638,0.503,0.2,2.7,7.5,5.1,18.5,2.4,1.1,17.3,14.9,,1.4,0.4,1.8,0.122,,1.5,-1.3,0.1,0.4
26,Corey Beck\beckco01,PG,24,CHH,5,33,0.8,0.282,0,0.25,10.8,15,12.9,21,1.6,0,31.1,17.7,,-0.1,0,-0.1,-0.14,,-7.8,-0.4,-8.2,-0.1
27,Benoit Benjamin\benjabe01,C,31,TOT,83,1896,14.4,0.539,0.005,0.329,8.8,26.1,17.3,5.7,1.3,3.4,17.6,19.8,,0.1,2.2,2.3,0.057,,-3.8,0.5,-3.3,-0.6
27,Benoit Benjamin\benjabe01,C,31,VAN,13,404,13.6,0.488,0,0.348,8.7,21.7,15,7.6,1.3,2.8,15.5,24.8,,-0.4,0.5,0.1,0.01,,-5,0.1,-4.9,-0.3
27,Benoit Benjamin\benjabe01,C,31,MIL,70,1492,14.6,0.558,0.007,0.322,8.9,27.3,17.9,5.2,1.2,3.6,18.3,18.4,,0.5,1.7,2.2,0.07,,-3.5,0.6,-2.9,-0.3
28,Elmer Bennett\benneel01,PG,25,PHI,8,66,-0.5,0.293,0,0.235,1.7,7.2,4.4,18.7,0.8,1.1,27.2,17.4,,-0.3,0,-0.3,-0.2,,-11,-3,-14,-0.2
29,Mario Bennett\bennema01,SF,22,PHO,19,230,13.3,0.515,0.016,0.656,10.7,13.9,12.3,3.9,2.5,3.6,11.8,18.1,,0.2,0.3,0.5,0.098,,-2.4,0.4,-2,0
30,David Benoit\benoida01,SF,27,UTA,81,1961,12.2,0.524,0.33,0.193,5.8,17.9,12,6.3,1.2,2.1,10.1,16.4,,1.6,2.3,3.9,0.096,,-0.4,0.8,0.3,1.2
31,Travis Best\besttr01,PG,23,IND,59,571,11.5,0.545,0.153,0.552,2.5,7,4.8,26.8,1.9,0.4,23.7,21.4,,0.2,0.5,0.7,0.057,,-2,-1.9,-3.9,-0.3
32,Mookie Blaylock\blaylmo01,PG,28,ATL,81,2893,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,,5.4,3.6,9,0.149,,4.6,0.6,5.2,5.3
33,Corie Blount\blounco01,PF,27,LAL,57,715,10.9,0.491,0.012,0.263,11.5,16.1,13.8,8.3,1.8,3.4,20.1,14.6,,-0.1,1,0.9,0.063,,-3,2,-1.1,0.2
34,Muggsy Bogues\boguemu01,PG,31,CHH,6,77,10.6,0.415,0.063,0.125,9.3,1.6,5.5,35.1,1.4,0,26.2,13.4,,0,0,0,0.02,,-2.3,-3.7,-6,-0.1
35,Anthony Bonner\bonnean01,PF,27,ORL,4,43,11.3,0.36,0,0.467,16.6,34.4,25.7,13.5,3.6,0,14.2,22.2,,-0.1,0.1,0,0.04,,-5.3,1.5,-3.8,0
36,Melvin Booker\bookeme01,PG,23,HOU,11,131,6.2,0.401,0.38,0.22,0.9,6.8,3.9,24.5,2,0.5,18,22.9,,-0.3,0.1,-0.2,-0.065,,-5.4,-3.2,-8.6,-0.2
37,Anthony Bowie\bowiean01,SG,32,ORL,74,1078,10.4,0.527,0.114,0.169,4.4,8.8,6.6,14.2,1.6,0.7,15.8,14.6,,0.7,0.9,1.6,0.071,,-2.2,-0.7,-3,-0.3
38,Donnie Boyce\boycedo01,SG,22,ATL,8,41,17.7,0.485,0.348,0.174,13.9,15,14.4,13.6,3.9,1.9,19.5,33.7,,-0.1,0.1,0,0.004,,-1.1,-0.7,-1.8,0
39,Shawn Bradley\bradlsh01,C,23,TOT,79,2329,15.7,0.481,0.005,0.282,10.3,20.4,15.2,4.9,1.1,9.4,15.4,21.8,,-1.1,4.1,3,0.062,,-4.3,4,-0.4,1
39,Shawn Bradley\bradlsh01,C,23,PHI,12,334,13.4,0.486,0,0.258,11.4,25.6,18.3,4.1,1.2,8.4,22.3,18.6,,-0.4,0.4,0,0.005,,-6.4,2.7,-3.7,-0.1
39,Shawn Bradley\bradlsh01,C,23,NJN,67,1995,16.1,0.48,0.005,0.285,10.1,19.5,14.7,5,1.1,9.6,14.5,22.4,,-0.7,3.7,3,0.071,,-4,4.2,0.2,1.1
40,Marques Bragg\braggma01,PF,25,MIN,53,369,9.8,0.475,0,0.342,12.3,13.3,12.8,3.6,2.4,1.7,15.8,19.7,,-0.3,0.3,0.1,0.012,,-4.3,-1.5,-5.9,-0.4
41,Terrell Brandon\brandte01,PG,25,CLE,75,2570,25.2,0.573,0.214,0.348,2.4,10.6,6.4,38.1,3,1.1,10.1,27.6,,9.5,3.1,12.7,0.237,,6,-0.1,6,5.2
42,Tim Breaux\breauti01,SF,25,HOU,54,570,6.2,0.445,0.286,0.28,4.5,7.4,6,6.3,1,1,14.2,16.6,,-0.6,0.3,-0.2,-0.021,,-5,-2,-7,-0.7
43,Frank Brickowski\brickfr01,C,36,SEA,63,986,8.6,0.585,0.313,0.341,3.3,14.3,9,9.1,1.3,0.6,21.2,16.7,,0.1,1.4,1.6,0.076,,-2.7,-0.2,-2.9,-0.2
44,Scott Brooks\brooksc01,PG,30,DAL,69,716,16.6,0.544,0.212,0.235,1.5,4.8,3,23.4,3,0.3,11.7,21.3,,1.2,0.4,1.6,0.11,,-0.2,-3.2,-3.4,-0.3
45,Chucky Brown\brownch01,PF,27,HOU,82,2019,13.7,0.568,0.014,0.27,7.7,16.8,12.4,7,1.2,1.3,13.1,15.9,,2.2,2.1,4.2,0.101,,-1.7,0,-1.7,0.2
46,Dee Brown\brownde01,PG,27,BOS,65,1591,13.7,0.507,0.357,0.256,2.5,7.2,4.8,14.3,2.5,0.5,9.7,20.5,,1.4,1,2.4,0.073,,0.3,-1.2,-1,0.4
47,Mike Brown\brownmi01,C,32,PHI,9,162,7.3,0.554,0,1.063,9.7,16.8,13.2,2.8,1,0.9,20.4,8.1,,0.1,0.1,0.1,0.037,,-4,-1,-4.9,-0.1
48,P.J. Brown\brownpj01,C,26,NJN,81,2942,12.6,0.5,0.019,0.332,7.9,13.2,10.5,9.3,1.4,2.6,12.7,15.6,,2,3.3,5.3,0.087,,-1.1,2.3,1.2,2.4
49,Randy Brown\brownra02,PG,27,CHI,68,671,11.2,0.436,0.057,0.24,3,8.5,5.7,15.1,4.5,1.4,12.7,16,,0,1.5,1.5,0.105,,-3,2.8,-0.3,0.3
50,Mark Bryant\bryanma01,PF,30,HOU,71,1587,13.1,0.583,0.004,0.397,9.6,15.3,12.5,5.2,1,0.9,14,17.3,,2.1,1.4,3.6,0.107,,-1.6,-1.2,-2.8,-0.3
51,Jud Buechler\buechju01,SF,27,CHI,74,740,14.1,0.552,0.372,0.091,7.1,10.4,8.7,11.1,2.4,0.7,13.4,17.3,,1,1.2,2.3,0.148,,0.6,0.3,1,0.6
52,Matt Bullard\bullama01,PF,28,ATL,46,460,11.5,0.509,0.444,0.123,4.4,11.3,7.7,6.4,2,1.9,12.3,19,,0.2,0.4,0.6,0.065,,-1.8,-1.4,-3.2,-0.1
53,Scott Burrell\burresc01,SF,25,CHH,20,693,13,0.57,0.476,0.272,4.5,12.9,8.6,10.5,2,1.4,15.7,17.9,,0.6,0.4,1.1,0.075,,1.1,0.1,1.2,0.6
54,Junior Burrough\burroju01,PF,23,BOS,61,495,9,0.448,0,0.547,9.9,14.8,12.3,4.6,1.5,1.4,15.9,21.8,,-0.6,0.4,-0.2,-0.018,,-6,-1.9,-7.9,-0.7
55,Mitchell Butler\butlemi02,SG,25,WSB,61,858,7.4,0.446,0.262,0.362,4.1,12,8.1,11.1,2.4,1,20.1,17.3,,-1.2,1,-0.2,-0.01,,-4.2,0.5,-3.7,-0.4
56,Jason Caffey\caffeja01,PF,22,CHI,57,545,7.9,0.474,0.006,0.42,10.9,12.8,11.9,6.3,1.2,1,20,19.4,,-0.4,0.8,0.4,0.038,,-4.6,-0.4,-5,-0.4
57,Michael Cage\cagemi01,C,34,CLE,82,2631,14.1,0.561,0.003,0.232,14.3,22.7,18.4,3.3,1.9,2.7,11,9.4,,4.1,4,8.1,0.148,,-0.9,2.4,1.5,2.3
58,Adrian Caldwell\caldwad01,PF,29,IND,51,327,10.4,0.556,0,0.434,16.6,25.2,21,3,1.5,1.2,26.2,18.8,,-0.2,0.5,0.3,0.044,,-4,-1.1,-5,-0.3
59,Elden Campbell\campbel01,PF,27,LAL,82,2699,18,0.549,0.006,0.393,7.1,19.5,13.4,10.3,1.7,5.5,11.6,19.6,,3.8,4.4,8.2,0.147,,-0.6,3.4,2.9,3.3
60,Antoine Carr\carran01,SF,34,UTA,80,1532,10.6,0.506,0.006,0.282,5.8,10.1,8,7.6,1,3.5,12,19.5,,0.6,1.5,2.1,0.065,,-2.6,0.6,-1.9,0
61,Chris Carr\carrch01,SG,21,PHO,60,590,10.5,0.493,0.194,0.276,5.4,14.5,10,11.4,0.9,0.6,14.1,21.4,,-0.1,0.3,0.3,0.021,,-3.1,-2.5,-5.6,-0.5
62,Sam Cassell\cassesa01,PG,26,HOU,61,1682,16.8,0.565,0.319,0.433,3.5,9,6.3,27.3,1.6,0.2,16.7,25.1,,2.6,1.2,3.9,0.11,,1.8,-2.2,-0.4,0.7
63,Duane Causwell\causwdu01,C,27,SAC,73,1044,9.9,0.484,0.005,0.444,9.5,18,13.7,2.9,1.3,5.6,17,13.1,,0,1.3,1.3,0.059,,-4.5,2.1,-2.4,-0.1
64,Cedric Ceballos\cebalce01,SF,26,LAL,78,2628,22.1,0.599,0.153,0.34,9.7,13.9,11.9,7.9,1.9,0.6,10.8,26.5,,7.1,2.8,9.8,0.18,,3.5,-1.5,2.1,2.7
65,Rex Chapman\chapmre01,SG,28,MIA,56,1865,13,0.539,0.496,0.166,1.4,7.5,4.5,15.4,1.3,0.4,9.8,19.7,,2.3,1.9,4.2,0.108,,1.4,-0.8,0.6,1.2
66,Calbert Cheaney\cheanca01,SF,24,WSB,70,2324,13,0.528,0.17,0.236,3.5,8.5,6.1,10.6,1.5,0.6,11.4,21.7,,1.5,1.7,3.2,0.065,,-0.4,-1.1,-1.5,0.3
67,Pete Chilcutt\chilcpe01,PF,27,HOU,74,651,12.5,0.525,0.547,0.145,9.1,17.8,13.6,6,1.5,1.5,10.4,14.7,,0.6,0.8,1.4,0.101,,-1,-0.9,-1.9,0
68,Randolph Childress\childra01,PG,23,POR,28,250,6.7,0.468,0.595,0.342,0.5,8.2,4.3,19.1,1.7,0.3,23.6,20.8,,-0.3,0.3,0,-0.009,,-4.2,-1.7,-5.9,-0.2
69,Chris Childs\childch01,PG,28,NJN,78,2408,16.4,0.549,0.333,0.391,2.3,9.1,5.6,38.6,2.4,0.3,20.1,20.7,,3.3,2.5,5.8,0.115,,2.3,-1.1,1.2,1.9
70,Doug Christie\chrisdo01,SF,25,TOT,55,1036,14,0.549,0.315,0.276,3.9,13.8,8.8,18,3.5,1.4,20.1,20.4,,0.2,1.2,1.4,0.065,,-0.7,0.6,-0.1,0.5
70,Doug Christie\chrisdo01,SF,25,NYK,23,218,14.1,0.562,0.26,0.301,4.5,13.7,9.2,19.2,2.9,1.1,18.7,21.7,,0.1,0.4,0.5,0.108,,-1,0.9,-0.1,0.1
70,Doug Christie\chrisdo01,SF,25,TOR,32,818,13.9,0.545,0.33,0.269,3.8,13.8,8.7,17.7,3.7,1.5,20.5,20,,0.1,0.8,0.9,0.054,,-0.7,0.5,-0.1,0.4
71,Robert Churchwell\churcro01,SG,23,GSW,4,20,1.2,0.375,0,0,0,17.4,8.6,8,0,0,20,21.8,,-0.1,0,-0.1,-0.166,,-11.2,-3.7,-14.9,-0.1
72,Charles Claxton\claxtch01,C,25,BOS,3,7,0.2,0.347,0,1,31.2,0,16,0,0,10,25.8,23.9,,0,0,0,-0.179,,-8.5,-2.6,-11.1,0
73,John Coker\cokerjo01,C,24,PHO,5,11,37.3,0.8,0,0,21.4,0,10.5,21.2,0,6.8,0,20.2,,0.1,0,0.1,0.36,,13.6,-0.8,12.8,0
74,Derrick Coleman\colemde01,PF,28,PHI,11,294,12,0.466,0.178,0.271,5,23.8,14.1,19.3,0.7,2.5,17.5,24.3,,-0.4,0.2,-0.2,-0.029,,-4,-0.5,-4.5,-0.2
75,Bimbo Coles\colesbi01,PG,27,TOT,81,2615,12.4,0.513,0.327,0.272,2.2,9.2,5.8,25.9,1.9,0.5,16.4,17.9,,2.2,2.8,5,0.091,,0.1,0,0,1.3
75,Bimbo Coles\colesbi01,PG,27,MIA,52,1882,13,0.523,0.308,0.309,2.4,9.9,6.2,25.7,1.8,0.5,16.2,18.3,,1.9,2.4,4.3,0.109,,0.4,0.6,1,1.4
75,Bimbo Coles\colesbi01,PG,27,GSW,29,733,10.9,0.486,0.376,0.174,1.7,7.6,4.6,26.3,2.2,0.5,17,16.8,,0.3,0.4,0.7,0.047,,-0.7,-1.7,-2.5,-0.1
76,Marty Conlon\conloma01,C,28,MIL,74,958,12.2,0.526,0.092,0.336,7.3,15.5,11.3,11.7,1.1,0.9,17.4,21.7,,0.1,0.5,0.6,0.028,,-2.6,-1.7,-4.3,-0.6
77,Anthony Cook\cookan01,PF,28,POR,11,60,7.6,0.422,0.125,0.25,9.5,13.2,11.4,5.1,0,1.2,5.3,13.7,,0,0.1,0.1,0.057,,-4,-1.1,-5.2,0
78,Tyrone Corbin\corbity01,SF,33,TOT,71,1284,12.6,0.511,0.051,0.342,7.4,14.7,11,10.4,2.5,1.2,14.2,16.2,,0.9,1.6,2.5,0.093,,-1.8,1.4,-0.3,0.5
78,Tyrone Corbin\corbity01,SF,33,SAC,49,930,13.3,0.521,0.046,0.355,6.8,15.5,11.1,10.5,2.6,1.4,14.3,16.5,,0.7,1.1,1.8,0.092,,-1.6,1.3,-0.3,0.4
78,Tyrone Corbin\corbity01,SF,33,MIA,22,354,10.8,0.484,0.065,0.304,8.8,12.5,10.7,10.4,2.4,0.7,14,15.6,,0.2,0.6,0.7,0.097,,-2.2,1.7,-0.5,0.1
79,Joe Courtney\courtjo01,PF,26,CLE,23,200,7,0.443,0,0.514,15.7,16.9,16.3,7.2,1.5,2.7,28.4,15.1,,-0.2,0.2,0,0,,-5.6,1.1,-4.5,-0.1
80,John Crotty\crottjo01,PG,26,CLE,58,617,13,0.59,0.237,0.632,4.2,7.5,5.8,26.9,2.1,0.9,25.9,16.1,,0.8,0.5,1.3,0.101,,-1.9,-1.5,-3.4,-0.2
81,Terry Cummings\cummite01,PF,34,MIL,81,1777,13.9,0.493,0.012,0.274,11,19.9,15.3,8.1,1.7,1.3,9.5,18.6,,1.5,1.5,3,0.08,,-1.4,-0.2,-1.7,0.2
82,Dell Curry\curryde01,SG,31,CHH,82,2371,16.8,0.568,0.417,0.176,3.4,10.2,6.8,12.5,2.4,0.8,11,22.5,,3.8,1.4,5.1,0.104,,2.6,-1.2,1.5,2.1
83,Michael Curry\currymi01,SG-SF,27,TOT,46,783,9.4,0.56,0.329,0.385,4.3,8.6,6.6,5.6,1.7,0.2,11.3,12.9,,0.8,0.8,1.6,0.1,,-1.1,-0.1,-1.2,0.2
83,Michael Curry\currymi01,SF,27,WSB,5,34,8.2,0.425,0.3,0.4,7.1,10.2,8.7,4.1,1.5,0,7.8,16.8,,0,0,0,0.033,,-3.6,-2.6,-6.2,0
83,Michael Curry\currymi01,SG,27,DET,41,749,9.4,0.569,0.331,0.384,4.2,8.6,6.5,5.6,1.7,0.2,11.5,12.7,,0.8,0.8,1.6,0.103,,-1,0,-1,0.2
84,Rastko Cvetkovic\cvetkra01,C,25,DEN,14,48,2.1,0.282,0.063,0.25,9.6,16.9,13.2,9.6,2.2,1.5,14.5,19.3,,-0.2,0.1,-0.1,-0.118,,-8.4,0,-8.4,-0.1
